Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I
LP6005501-DNA_D01_vs_LP6005499-DNA_D01__pv	1566	1447	1999	2248	3177	3338	869	1561	1418
LP6005501-DNA_E01_vs_LP6005499-DNA_E01__pv	623	316	583	377	591	424	0	409	223
LP6005501-DNA_F01_vs_LP6005499-DNA_F01__pv	2069	3740	8989	1273	951	2692	492	5159	1741
LP6005690-DNA_A02_vs_LP6005689-DNA_A02__pv	1832	454	486	1561	2108	4561	816	554	693
LP6005690-DNA_B01_vs_LP6005689-DNA_B01__pv	1759	4197	3326	1845	1555	2661	366	932	683
LP6005690-DNA_B03_vs_LP6005777-DNA_A01__pv	695	6190	9185	1789	1740	1950	1280	6487	667
LP6005690-DNA_C02_vs_LP6005689-DNA_C02__pv	2562	168	502	2481	4097	4278	552	46	1142
LP6005690-DNA_C03_vs_LP6005689-DNA_C03__pv	3383	5828	10434	876	2023	5468	1297	3580	1331
LP6005690-DNA_D02_vs_LP6005689-DNA_D02__pv	2014	12317	10188	1779	2155	1886	1231	5962	2012
LP6005690-DNA_D03_vs_LP6005689-DNA_D03__pv	1308	11188	8651	2686	1084	1695	1031	2376	1678
LP6005690-DNA_E01_vs_LP6005689-DNA_E01__pv	2389	5965	6540	2958	2565	7706	1506	2600	1879
LP6005690-DNA_E02_vs_LP6005689-DNA_E02__pv	10	0	2	4	20	0	0	3	5
LP6005690-DNA_E03_vs_LP6005689-DNA_E03__pv	3006	1008	1740	781	2455	3275	258	702	389
LP6005690-DNA_F01_vs_LP6005689-DNA_F01__pv	3603	6796	7328	2856	2680	2944	427	2126	1125
LP6005690-DNA_F02_vs_LP6005689-DNA_F02__pv	1115	7500	17241	30	1240	1785	0	10928	957
LP6005690-DNA_F03_vs_LP6005689-DNA_F03__pv	3412	1279	2172	1163	2625	3098	215	1257	1718
LP6005690-DNA_G02_vs_LP6005689-DNA_G02__pv	3388	4514	8308	637	2149	3602	353	2208	1019
LP6005690-DNA_H02_vs_LP6005689-DNA_H02__pv	1848	16968	25499	19	2670	2599	621	3830	984
LP6005691-DNA_A01_vs_LP6005689-DNA_C01__pv	1514	850	1239	548	2672	3199	174	563	197
LP6005691-DNA_A02_vs_LP6005689-DNA_F03__pv	973	409	719	579	1226	1005	111	255	415
LP6005691-DNA_B01_vs_LP6005689-DNA_E01__pv	2756	6125	7486	2903	2806	7829	764	3093	1490
LP6005691-DNA_C01_vs_LP6005689-DNA_A02__pv	2570	417	287	0	2494	3708	0	109	645
LP6005691-DNA_D01_vs_LP6005689-DNA_B02__pv	0	26454	26356	405	1150	1394	238	14114	0
LP6005691-DNA_E01_vs_LP6005689-DNA_D01__pv	1243	798	1493	1468	845	469	0	816	12
LP6005691-DNA_F01_vs_LP6005689-DNA_F01__pv	1620	6465	7490	1690	1847	1805	130	1415	389
LP6005691-DNA_G01_vs_LP6005689-DNA_G01__pv	89	0	5	42	98	23	0	8	8
LP6005691-DNA_H01_vs_LP6005689-DNA_H01__pv	642	1487	1585	282	563	893	0	705	218
LP6005935-DNA_A01_vs_LP6005979-DNA_A01__pv	5863	8213	11705	1296	4582	6859	1257	5594	1566
LP6005935-DNA_A02_vs_LP6005934-DNA_A02__pv	589	13472	2129	2872	1927	1230	1725	3282	1711
LP6005935-DNA_A03_vs_LP6005934-DNA_A03__pv	1395	264	242	1461	2991	2881	1319	72	522
LP6005935-DNA_B01_vs_LP6005934-DNA_B01__pv	2028	749	582	4539	623	2175	1091	907	750
LP6005935-DNA_B02_vs_LP6005934-DNA_B02__pv	1254	7081	6551	8249	1106	2699	826	3059	1925
LP6005935-DNA_B03_vs_LP6005934-DNA_B03__pv	452	21053	9603	6299	1732	4089	495	3014	2340
LP6005935-DNA_B04_vs_LP6005934-DNA_B04__pv	2369	923	869	1790	4889	4880	374	576	765
LP6005935-DNA_C01_vs_LP6005934-DNA_C01__pv	19365	12408	0	0	7740	6355	128899	1961	6616
LP6005935-DNA_C02_vs_LP6005979-DNA_B01__pv	5328	6222	7653	2718	3522	3635	309	1780	1767
LP6005935-DNA_C03_vs_LP6005934-DNA_C03__pv	1368	378	376	667	1243	1078	72	135	290
LP6005935-DNA_C04_vs_LP6005934-DNA_C04__pv	2082	12210	14818	2397	3427	5132	1796	12436	2630
LP6005935-DNA_D01_vs_LP6005934-DNA_D01__pv	4211	7083	12259	896	3002	6007	266	2997	911
LP6005935-DNA_D02_vs_LP6005934-DNA_D02__pv	2503	4391	9209	2745	767	1851	719	3805	861
LP6005935-DNA_D04_vs_LP6005934-DNA_C03__pv	1075	934	1055	398	1070	2062	363	639	322
LP6005935-DNA_E01_vs_LP6005934-DNA_E01__pv	946	12808	9988	2810	3432	2783	1186	9561	254
LP6005935-DNA_E02_vs_LP6005934-DNA_E02__pv	3471	3387	4878	3677	1827	1978	131	2595	438
LP6005935-DNA_E03_vs_LP6005934-DNA_E03__pv	3797	3205	3485	1215	2562	3094	0	1015	1861
LP6005935-DNA_E04_vs_LP6005934-DNA_E02__pv	1051	1720	2431	755	1226	1541	159	961	22
LP6005935-DNA_F01_vs_LP6005934-DNA_F01__pv	1385	92	172	3603	472	567	502	120	1864
LP6005935-DNA_F02_vs_LP6005934-DNA_F02__pv	0	24241	28742	3639	0	0	3733	42833	0
LP6005935-DNA_F03_vs_LP6005934-DNA_F03__pv	6530	1255	0	0	22449	1383	28699	770	501
LP6005935-DNA_F04_vs_LP6007426-DNA_A01__pv	0	18669	23097	3206	34	1278	838	7270	6684
LP6005935-DNA_G01_vs_LP6005934-DNA_G01__pv	2358	11622	3533	482	3596	1053	930	7803	1295
LP6005935-DNA_G02_vs_LP6005979-DNA_C01__pv	1783	527	837	3629	2719	7940	1319	599	1628
LP6005935-DNA_G03_vs_LP6005934-DNA_G03__pv	1147	406	1042	2361	1013	2307	643	74	1139
LP6005935-DNA_H01_vs_LP6005934-DNA_H01__pv	2087	4416	6716	5274	2737	5537	877	3245	1364
LP6005935-DNA_H02_vs_LP6005934-DNA_H02__pv	1973	3208	2532	6804	2956	2976	1075	887	2109
LP6005935-DNA_H03_vs_LP6005934-DNA_H03__pv	3753	0	1071	2114	17765	2619	35349	2996	0
LP6007358-DNA_A01_vs_LP6007553-DNA_A01__pv	2489	1646	2278	1651	1632	4020	558	889	867
LP6007394-DNA_A01_vs_LP6007393-DNA_A01__pv	1069	2197	2916	1970	2213	1042	3	1794	141
LP6007396-DNA_A01_vs_LP6007395-DNA_A01__pv	3748	2979	3275	2282	3072	2698	185	1048	1319
LP6007398-DNA_A01_vs_LP6007397-DNA_A01__pv	4880	1159	1805	434	2161	1972	358	471	1424
LP6007399-DNA_A01_vs_LP6007397-DNA_A01__pv	4606	1175	1834	477	2128	1926	396	383	1365
LP6007401-DNA_A01_vs_LP6007400-DNA_A01__pv	2817	10260	8258	8513	1871	2494	1615	2266	1243
LP6007402-DNA_A01_vs_LP6007400-DNA_A01__pv	644	5240	4894	944	1178	1392	401	2354	260
LP6007404-DNA_A01_vs_LP6007403-DNA_A01__pv	1969	929	401	2067	2491	3178	676	364	453
LP6007405-DNA_A01_vs_LP6007403-DNA_A01__pv	537	1063	1240	630	709	1063	115	500	22
LP6007407-DNA_A01_vs_LP6007406-DNA_A01__pv	2334	5874	6569	1913	3557	4031	1145	6979	1809
LP6007409-DNA_A01_vs_LP6007408-DNA_A01__pv	1657	832	1352	2983	3726	2110	565	339	523
LP6007410-DNA_A01_vs_LP6007408-DNA_A01__pv	1700	3374	4306	2075	2873	3169	362	1990	293
LP6007414-DNA_A02_vs_LP6007413-DNA_A02__pv	1278	335	262	1922	2222	3015	847	314	803
LP6007416-DNA_A01_vs_LP6007415-DNA_A01__pv	4318	1222	1482	1795	3215	3847	516	625	1710
LP6007418-DNA_A02_vs_LP6007417-DNA_A02__pv	3823	3258	4956	6441	1204	1677	2416	1273	858
LP6007420-DNA_A01_vs_LP6007419-DNA_A01__pv	3134	11513	16922	2140	636	1301	297	5321	4954
LP6007422-DNA_A01_vs_LP6007421-DNA_A01__pv	1986	1155	1113	2376	1951	2127	839	1326	404
LP6007424-DNA_A01_vs_LP6007423-DNA_A01__pv	3071	1669	5547	6372	1312	2184	978	2926	1485
LP6007425-DNA_A01_vs_LP6007423-DNA_A01__pv	2840	1736	5736	6540	1298	2135	1014	2630	1413
LP6007427-DNA_A01_vs_LP6007426-DNA_A01__pv	0	23534	29670	5576	0	1155	862	9128	8718
LP6007428-DNA_A01_vs_LP6007426-DNA_A01__pv	1307	200	224	683	508	325	0	68	40
LP6007430-DNA_A01_vs_LP6007429-DNA_A01__pv	2694	1615	3604	1585	4110	5110	917	641	1006
LP6007432-DNA_A01_vs_LP6007431-DNA_A01__pv	0	15524	16640	4940	497	355	476	6116	1576
LP6007434-DNA_A01_vs_LP6007433-DNA_A01__pv	1901	4839	4592	3813	1735	3425	1132	2839	803
LP6007436-DNA_A01_vs_LP6007435-DNA_A01__pv	370	9837	10789	2054	2580	2485	1016	6730	1454
LP6007438-DNA_A01_vs_LP6007437-DNA_A01__pv	1555	298	61	3319	862	584	666	311	1278
LP6007440-DNA_A01_vs_LP6007439-DNA_A01__pv	977	21102	14056	4493	3132	3911	2428	10570	2526
LP6007442-DNA_A01_vs_LP6007441-DNA_A01__pv	0	68816	4389	16838	2347	9919	3764	13519	635
LP6007504-DNA_A01_vs_LP6007566-DNA_A01__pv	1074	1551	2244	1138	861	1082	188	1026	555
LP6007506-DNA_A01_vs_LP6007505-DNA_A01__pv	2105	1516	1855	1607	2766	3116	321	1024	2019
LP6007508-DNA_A01_vs_LP6007507-DNA_A01__pv	1926	940	1581	2048	1623	1296	361	1180	1262
LP6007512-DNA_A01_vs_LP6007511-DNA_A01__pv	1720	4442	5051	2880	4427	2231	848	2500	1672
LP6007514-DNA_A01_vs_LP6007513-DNA_A01__pv	2128	527	1205	2499	2438	2503	336	388	431
LP6007516-DNA_A01_vs_LP6007515-DNA_A01__pv	2696	1151	1051	5661	2127	2175	854	438	1390
LP6007518-DNA_A01_vs_LP6007517-DNA_A01__pv	4214	10840	10257	5210	434	3323	808	6785	1617
LP6007520-DNA_A01_vs_LP6007519-DNA_A01__pv	1511	481	919	2112	1990	2992	625	306	511
LP6007521-DNA_A01_vs_LP6007519-DNA_A01__pv	871	175	129	786	1072	1040	144	155	199
LP6007523-DNA_A01_vs_LP6007522-DNA_A01__pv	1991	662	400	2331	2725	4481	468	535	658
LP6007529-DNA_A01_vs_LP6007528-DNA_A01__pv	2955	5045	4558	394	2474	4413	311	2926	2841
LP6007531-DNA_A01_vs_LP6007530-DNA_A01__pv	2231	12165	5513	5678	2283	1443	884	3215	1449
LP6007533-DNA_A01_vs_LP6007532-DNA_A01__pv	1160	350	817	1610	1566	1834	497	451	1371
LP6007535-DNA_A01_vs_LP6007534-DNA_A01__pv	1162	172	1262	1049	1030	1144	397	512	1344
LP6007536-DNA_A01_vs_LP6007534-DNA_A01__pv	605	185	822	2056	773	884	461	183	2923
LP6007538-DNA_A01_vs_LP6007537-DNA_A01__pv	1219	4988	9346	1670	1717	2978	952	3028	1215
LP6007540-DNA_A01_vs_LP6007539-DNA_A01__pv	1645	4077	2972	1456	3250	3574	394	717	460
LP6007542-DNA_A01_vs_LP6007541-DNA_A01__pv	1266	2426	3721	9745	3063	3654	1729	1940	3195
LP6007544-DNA_A01_vs_LP6007569-DNA_A01__pv	2971	2648	1522	2111	2980	4736	454	754	936
LP6007546-DNA_A01_vs_LP6007568-DNA_A01__pv	1847	1893	549	179	2847	2116	109	453	1675
LP6007548-DNA_A01_vs_LP6007547-DNA_A01__pv	663	697	952	367	718	1099	351	681	941
LP6007550-DNA_A01_vs_LP6007549-DNA_A01__pv	1518	10482	8011	1574	2599	3126	754	1294	2189
LP6007552-DNA_A01_vs_LP6007551-DNA_A01__pv	2021	3620	2585	3717	1344	2174	561	1289	2945
LP6007567-DNA_A01_vs_LP6007524-DNA_A01__pv	2416	3595	3119	2851	2609	2283	412	0	841
LP6007591_vs_LP6007590__pv	2413	24941	5608	2127	5876	3553	1054	7975	4764
LP6007592_vs_LP6007590__pv	1373	1191	1508	1349	2800	2057	163	382	530
LP6007594_vs_LP6007593__pv	2457	600	464	2958	4217	4082	1555	631	351
LP6007595_vs_LP6007593__pv	1216	1778	2283	1220	1793	2491	580	957	0
LP6007597_vs_LP6007596__pv	931	0	15489	2682	2562	3978	1203	11092	0
LP6007598_vs_LP6007596__pv	539	0	5452	701	1051	1753	408	2280	103
LP6007600_vs_LP6007599__pv	2225	82	168	926	1269	1003	93	0	201
LP6007602_vs_LP6007601__pv	678	39371	12741	5804	348	0	1303	3846	872
LP6008017-DNA_A01_vs_LP6008018-DNA_B01__pv	915	13738	15367	2160	1655	2755	1256	4282	17
