Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I
LP6008269-DNA_G02_vs_LP6008268-DNA_A03__pv	2966	1144	1874	1003	2181	2036	233	768	1160
LP6008269-DNA_G03_vs_LP6008268-DNA_A04__pv	247	17989	11677	1926	2121	2470	908	7490	427
LP6008269-DNA_G04_vs_LP6008268-DNA_A05__pv	1050	744	676	1108	2433	876	487	447	329
LP6008269-DNA_G06_vs_LP6008268-DNA_H06__pv	1165	16894	10293	2956	3964	2113	158	4205	1453
LP6008269-DNA_G07_vs_LP6008268-DNA_G07__pv	980	8355	6697	882	1050	794	572	447	407
LP6008269-DNA_G08_vs_LP6008268-DNA_G08__pv	1751	2825	2632	2856	2157	1866	1002	1676	698
LP6008269-DNA_G09_vs_LP6008268-DNA_G09__pv	41	4	0	6	26	6	18	0	0
LP6008269-DNA_H01_vs_LP6008268-DNA_B02__pv	576	29	74	249	452	100	0	0	24
LP6008269-DNA_H02_vs_LP6008268-DNA_B03__pv	976	11951	11638	1067	2886	1672	681	9660	305
LP6008269-DNA_H03_vs_LP6008268-DNA_B04__pv	731	2424	814	2475	2920	1252	442	181	1273
LP6008269-DNA_H05_vs_LP6008268-DNA_A06__pv	3937	2202	3083	3692	3985	4328	998	2955	2495
LP6008269-DNA_H06_vs_LP6008268-DNA_A07__pv	2464	2552	6201	3231	2106	3023	1523	2103	1243
LP6008269-DNA_H07_vs_LP6008268-DNA_H07__pv	939	10546	2738	1335	1345	1615	697	2065	801
LP6008269-DNA_H08_vs_LP6008268-DNA_H08__pv	613	1511	1172	12036	1379	2588	1601	1984	3593
LP6008269-DNA_H09_vs_LP6008268-DNA_H09__pv	0	19277	5470	2699	392	0	603	27269	900
LP6008280-DNA_A01_vs_LP6008264-DNA_A01__pv	2248	2478	2100	1585	2258	3660	805	882	1092
LP6008280-DNA_A02_vs_LP6008264-DNA_A02__pv	1039	2173	3651	2007	897	1841	565	1902	350
LP6008280-DNA_A03_vs_LP6008264-DNA_A03__pv	3573	885	1147	858	6296	3431	286	497	1298
LP6008280-DNA_A04_vs_LP6008264-DNA_H03__pv	622	5014	1119	5203	591	586	918	1543	1370
LP6008280-DNA_A05_vs_LP6008264-DNA_H04__pv	985	604	1924	807	931	1094	116	101	119
LP6008280-DNA_A07_vs_LP6008264-DNA_H06__pv	871	1207	2324	685	1037	807	424	673	242
LP6008280-DNA_B01_vs_LP6008264-DNA_B01__pv	1354	1679	704	48	9341	5137	29287	1225	1076
LP6008280-DNA_B02_vs_LP6008264-DNA_B02__pv	1528	0	132	828	2690	1499	554	69	346
LP6008280-DNA_B03_vs_LP6008264-DNA_B03__pv	1014	217	506	1427	2441	2182	312	208	3280
LP6008280-DNA_B04_vs_LP6008264-DNA_A04__pv	79	0	19	18	10	1	37	11	0
LP6008280-DNA_B05_vs_LP6008264-DNA_A05__pv	3020	5636	5852	2547	3212	7134	751	2031	491
LP6008280-DNA_C01_vs_LP6008264-DNA_C01__pv	3319	10851	21857	2607	3050	2733	867	2252	1025
LP6008280-DNA_C02_vs_LP6008264-DNA_C02__pv	1845	10083	8626	2891	2137	1146	1036	3126	3105
LP6008280-DNA_C03_vs_LP6008264-DNA_C03__pv	0	1736	2010	4280	2624	8017	616	0	14977
LP6008280-DNA_C04_vs_LP6008264-DNA_B04__pv	119	0	4	4	19	0	56	26	1
LP6008280-DNA_C05_vs_LP6008264-DNA_B05__pv	1744	1107	1409	1691	2652	1528	529	608	334
LP6008280-DNA_C06_vs_LP6008264-DNA_B06__pv	622	4829	3424	762	1142	900	247	2279	47
LP6008280-DNA_D02_vs_LP6008264-DNA_D02__pv	2924	3611	5866	2054	806	1801	1046	3038	1183
LP6008280-DNA_D03_vs_LP6008264-DNA_H01__pv	161	5	0	63	116	12	26	0	1
LP6008280-DNA_D05_vs_LP6008264-DNA_E04__pv	1349	2609	2380	865	1608	857	280	783	464
LP6008280-DNA_E01_vs_LP6008264-DNA_E01__pv	3441	103	11210	1831	2472	3757	495	1937	888
LP6008280-DNA_E02_vs_LP6008264-DNA_E02__pv	2956	11226	7698	2891	2586	2674	778	5131	2140
LP6008280-DNA_E03_vs_LP6008264-DNA_D03__pv	1086	3795	4034	890	853	1147	308	1335	381
LP6008280-DNA_E04_vs_LP6008264-DNA_D04__pv	2093	4038	7734	1369	5597	5824	162	1170	398
LP6008280-DNA_E05_vs_LP6008264-DNA_D05__pv	620	6208	2058	930	842	226	82	1163	112
LP6008280-DNA_F01_vs_LP6008264-DNA_F01__pv	5927	5317	10021	6715	2121	4510	1605	4404	1498
LP6008280-DNA_F02_vs_LP6008264-DNA_F02__pv	2653	3821	3509	3465	4955	3255	1445	988	449
LP6008280-DNA_F03_vs_LP6008264-DNA_E03__pv	1818	24815	16943	1101	1700	1563	825	6728	919
LP6008280-DNA_F05_vs_LP6008264-DNA_E05__pv	1492	2701	1734	975	1521	1831	586	855	499
LP6008280-DNA_F06_vs_LP6008264-DNA_E06__pv	1227	2373	3183	1061	3570	2183	365	1536	58
LP6008280-DNA_G01_vs_LP6008264-DNA_G01__pv	364	603	273	159	70	47	175	85	27
LP6008280-DNA_G02_vs_LP6008264-DNA_G02__pv	1064	256	274	1770	1489	2013	998	466	700
LP6008280-DNA_G03_vs_LP6008264-DNA_F03__pv	2169	554	608	951	2168	2006	667	371	468
LP6008280-DNA_G04_vs_LP6008264-DNA_F04__pv	2344	936	1224	78	1703	1469	431	444	1324
LP6008280-DNA_G05_vs_LP6008264-DNA_F05__pv	1854	2666	2813	1458	3437	2918	498	514	565
LP6008280-DNA_G06_vs_LP6008264-DNA_F06__pv	745	31	70	507	741	520	13	45	118
LP6008280-DNA_H01_vs_LP6008264-DNA_H01__pv	1712	1131	1449	2267	2979	3320	1039	717	575
LP6008280-DNA_H02_vs_LP6008264-DNA_H02__pv	549	10815	9568	7777	1140	2612	2132	5644	2293
LP6008280-DNA_H04_vs_LP6008264-DNA_G04__pv	2307	2921	6062	1271	4065	2694	723	1467	590
LP6008280-DNA_H05_vs_LP6008264-DNA_G05__pv	1358	856	3397	871	1505	1551	469	1070	241
LP6008280-DNA_H06_vs_LP6008264-DNA_G06__pv	1318	9081	9008	1556	1776	4389	392	2946	708
LP6008334-DNA_A01_vs_LP6008335-DNA_A01__pv	0	40481	48700	0	0	0	0	49656	0
LP6008334-DNA_A03_vs_LP6008335-DNA_E02__pv	2329	4892	3636	2311	2756	4584	1807	1142	7395
LP6008334-DNA_A04_vs_LP6008335-DNA_E03__pv	2218	1570	1816	3906	4218	5171	1601	734	837
LP6008334-DNA_B01_vs_LP6008335-DNA_B01__pv	3772	3588	3456	994	2718	3103	162	1780	769
LP6008334-DNA_B02_vs_LP6008335-DNA_F01__pv	2160	2451	3030	2291	1085	3458	398	1369	746
LP6008334-DNA_B03_vs_LP6008335-DNA_F02__pv	5253	36215	22219	4849	34763	7720	89038	14342	0
LP6008334-DNA_C01_vs_LP6008335-DNA_C01__pv	2628	2013	3184	2908	3123	3711	710	640	1062
LP6008334-DNA_C02_vs_LP6008335-DNA_G01__pv	5408	3922	1931	0	2829	7124	126	1060	4977
LP6008334-DNA_C03_vs_LP6008335-DNA_G02__pv	1326	4253	2160	7674	3840	1837	2349	758	1348
LP6008334-DNA_D01_vs_LP6008335-DNA_D01__pv	1655	1554	3340	1647	2008	2524	503	1371	1272
LP6008334-DNA_D02_vs_LP6008335-DNA_H01__pv	1278	8130	3596	7165	1465	3082	2129	4615	1634
LP6008334-DNA_D03_vs_LP6008335-DNA_H02__pv	2292	6983	10673	6995	1808	13954	2275	3585	1346
LP6008334-DNA_E01_vs_LP6008335-DNA_A01__pv	321	2907	2224	1275	734	373	243	237	1194
LP6008334-DNA_E02_vs_LP6008335-DNA_A02__pv	2547	2617	3477	2263	1740	3597	841	1749	806
LP6008334-DNA_E03_vs_LP6008335-DNA_A03__pv	4047	3307	2281	5060	3114	4859	2166	2385	1313
LP6008334-DNA_F01_vs_LP6008335-DNA_B01__pv	1767	528	520	1586	5056	5950	318	70	223
LP6008334-DNA_F02_vs_LP6008335-DNA_B02__pv	1894	3239	5217	695	1590	2741	258	1689	437
LP6008334-DNA_F03_vs_LP6008335-DNA_B03__pv	1461	286	737	2414	3594	2982	429	177	470
LP6008334-DNA_G01_vs_LP6008335-DNA_C01__pv	803	771	1144	640	909	1226	343	354	172
LP6008334-DNA_G02_vs_LP6008335-DNA_C02__pv	1908	2970	2708	2620	1499	2374	641	2469	1041
LP6008334-DNA_G03_vs_LP6008335-DNA_C03__pv	1917	25	7	1282	2101	1525	446	52	1344
LP6008334-DNA_H01_vs_LP6008335-DNA_D01__pv	2244	1030	1675	1625	1712	2669	1023	790	584
LP6008334-DNA_H02_vs_LP6008335-DNA_D02__pv	3609	1517	1431	4961	2846	3128	951	587	807
LP6008334-DNA_H03_vs_LP6008335-DNA_D03__pv	1270	7955	4723	4844	3151	2253	1205	2783	3037
LP6008336-DNA_A01_vs_LP6008333-DNA_A01__pv	1591	64	145	3814	1919	3105	1010	528	535
LP6008336-DNA_A02_vs_LP6008333-DNA_A02__pv	1459	39	14	1183	1792	1061	326	81	501
LP6008336-DNA_A03_vs_LP6008333-DNA_A03__pv	1078	36	79	985	702	1172	105	85	375
LP6008336-DNA_B01_vs_LP6008333-DNA_B01__pv	1670	380	455	1532	1691	1662	198	124	906
LP6008336-DNA_B02_vs_LP6008333-DNA_B02__pv	1377	2407	1402	1170	2606	732	370	235	1013
LP6008336-DNA_B03_vs_LP6008333-DNA_B03__pv	593	17	70	385	561	124	24	14	32
LP6008336-DNA_C01_vs_LP6008333-DNA_C01__pv	1433	369	390	3333	1515	5658	1469	431	1602
LP6008336-DNA_C02_vs_LP6008333-DNA_C02__pv	473	1358	2070	712	740	1356	270	944	108
LP6008336-DNA_C03_vs_LP6008333-DNA_C03__pv	1944	695	506	2275	2028	2488	1047	222	1575
LP6008336-DNA_D01_vs_LP6008333-DNA_D01__pv	6934	0	3429	5693	13953	2053	34300	3166	793
LP6008336-DNA_D02_vs_LP6008333-DNA_D02__pv	106	2	0	31	28	0	4	0	0
LP6008336-DNA_D03_vs_LP6008333-DNA_D03__pv	2888	8656	9849	6407	1813	4527	1262	1084	1570
LP6008336-DNA_E01_vs_LP6008333-DNA_E01__pv	2579	2179	9602	2618	1116	2947	785	3275	1077
LP6008336-DNA_E02_vs_LP6008333-DNA_E02__pv	2241	20137	15139	2422	2691	1841	862	2361	695
LP6008336-DNA_E03_vs_LP6008333-DNA_E03__pv	1230	397	237	1003	998	504	242	329	285
LP6008336-DNA_F02_vs_LP6008333-DNA_F02__pv	1206	734	1255	2651	1016	2134	969	451	2024
LP6008336-DNA_F03_vs_LP6008333-DNA_F03__pv	6061	885	1219	2560	4097	3955	319	461	8182
LP6008336-DNA_G01_vs_LP6008333-DNA_G01__pv	1881	493	1803	2060	2000	2113	252	994	374
LP6008336-DNA_G02_vs_LP6008333-DNA_G02__pv	1211	3345	877	4310	562	696	899	3656	682
LP6008336-DNA_G03_vs_LP6008333-DNA_G03__pv	1639	1400	3286	6076	1607	5629	1363	1021	1299
LP6008336-DNA_H01_vs_LP6008333-DNA_H01__pv	3763	2275	2494	2327	2518	6315	1054	1436	1291
LP6008336-DNA_H02_vs_LP6008333-DNA_H02__pv	49	0	0	4	39	0	28	11	0
LP6008336-DNA_H03_vs_LP6008333-DNA_H03__pv	1372	801	138	921	1893	8550	307	188	750
LP6008337-DNA_A01_vs_LP6008338-DNA_A01__pv	879	804	1211	721	659	805	193	588	286
LP6008337-DNA_A02_vs_LP6008338-DNA_A02__pv	1386	884	1368	1161	1110	1559	552	498	648
LP6008337-DNA_A03_vs_LP6008338-DNA_A03__pv	953	3145	2707	3501	1429	1911	894	1897	1489
LP6008337-DNA_A04_vs_LP6008338-DNA_A04__pv	815	1028	1224	554	828	842	44	374	130
LP6008337-DNA_A06_vs_LP6008338-DNA_G05__pv	2076	2726	3541	2371	2230	4349	1431	2117	1332
LP6008337-DNA_A07_vs_LP6008338-DNA_E06__pv	0	0	0	2648	728	322	324	0	8833
LP6008337-DNA_B02_vs_LP6008338-DNA_B02__pv	1263	378	234	674	1051	741	127	86	258
LP6008337-DNA_B03_vs_LP6008338-DNA_B03__pv	1041	1205	1329	1012	1312	1291	254	642	316
LP6008337-DNA_B04_vs_LP6008338-DNA_B04__pv	695818	1502	8878	165971	160344	0	76707	3580	0
LP6008337-DNA_B05_vs_LP6008338-DNA_A05__pv	1154	2101	2784	955	1143	1177	113	709	239
LP6008337-DNA_B07_vs_LP6008338-DNA_F06__pv	1665	1240	2129	4408	2526	5163	1829	1470	809
LP6008337-DNA_C01_vs_LP6008338-DNA_C01__pv	2246	3695	4441	2195	3210	2447	267	1161	1057
LP6008337-DNA_C02_vs_LP6008338-DNA_C02__pv	839	129	67	1331	2000	2145	434	179	470
LP6008337-DNA_C03_vs_LP6008338-DNA_C03__pv	1507	2539	5015	717	3491	3305	677	1226	769
LP6008337-DNA_C04_vs_LP6008338-DNA_C04__pv	424	5502	1960	1697	1037	794	262	1676	360
LP6008337-DNA_C05_vs_LP6008338-DNA_B05__pv	1288	2391	3102	1502	1533	3089	377	667	292
LP6008337-DNA_D01_vs_LP6008338-DNA_D01__pv	898	74	663	703	1504	1035	419	307	176
LP6008337-DNA_D02_vs_LP6008338-DNA_D02__pv	569	301	368	495	569	397	155	123	83
LP6008337-DNA_D03_vs_LP6008338-DNA_D03__pv	2157	805	1223	1642	2782	2295	239	467	398
LP6008337-DNA_D04_vs_LP6008338-DNA_D04__pv	622	373	600	651	407	771	237	299	90
LP6008337-DNA_D05_vs_LP6008338-DNA_C05__pv	819	0	341	566	1561	1347	142	37	146
LP6008337-DNA_D06_vs_LP6008338-DNA_A06__pv	3879	19689	20488	3635	2577	9865	1919	8898	878
LP6008337-DNA_E01_vs_LP6008338-DNA_E01__pv	1174	3557	5034	605	1463	1800	330	973	163
LP6008337-DNA_E03_vs_LP6008338-DNA_E03__pv	1638	2086	2787	1020	1386	1582	714	1207	549
LP6008337-DNA_E04_vs_LP6008338-DNA_E04__pv	1204	4374	3935	1228	2081	4707	535	2082	263
LP6008337-DNA_E05_vs_LP6008338-DNA_D05__pv	890	2370	2028	639	1500	1031	268	1120	130
LP6008337-DNA_F01_vs_LP6008338-DNA_F01__pv	664	131	261	324	471	485	63	34	143
LP6008337-DNA_F02_vs_LP6008338-DNA_F02__pv	1783	2361	2493	2552	2513	2753	700	1191	791
LP6008337-DNA_F03_vs_LP6008338-DNA_F03__pv	1894	2282	2576	775	1409	2302	0	683	237
LP6008337-DNA_F04_vs_LP6008338-DNA_F04__pv	1653	6040	6805	2322	4690	3296	406	3954	0
LP6008337-DNA_F05_vs_LP6008338-DNA_E05__pv	3396	3853	3545	2979	5087	7315	975	1546	1661
LP6008337-DNA_F06_vs_LP6008338-DNA_C06__pv	801	10303	12812	1305	1614	1927	517	4313	409
LP6008337-DNA_G01_vs_LP6008338-DNA_G01__pv	2357	2035	2346	1736	3608	3652	367	637	659
LP6008337-DNA_G02_vs_LP6008338-DNA_G02__pv	1482	2162	4429	1052	1208	1916	334	1123	243
LP6008337-DNA_G03_vs_LP6008338-DNA_G03__pv	1632	4702	5746	1825	2445	3776	611	1345	521
LP6008337-DNA_G04_vs_LP6008338-DNA_G04__pv	1338	600	4715	955	2593	1423	277	59	189
LP6008337-DNA_G05_vs_LP6008338-DNA_F05__pv	1282	961	2636	1168	927	1530	488	847	488
LP6008337-DNA_G06_vs_LP6008338-DNA_C06__pv	1645	8407	14155	1456	3312	3027	633	3864	273
LP6008337-DNA_H01_vs_LP6008338-DNA_H01__pv	890	489	485	516	1568	1020	54	136	99
LP6008337-DNA_H02_vs_LP6008338-DNA_H02__pv	346	38332	36676	3210	2296	3506	1283	12075	297
LP6008337-DNA_H03_vs_LP6008338-DNA_H03__pv	2251	1141	1737	1159	1458	1253	328	194	114
LP6008337-DNA_H04_vs_LP6008338-DNA_H04__pv	693	4947	2898	1267	1269	1219	383	1836	353
LP6008337-DNA_H06_vs_LP6008338-DNA_D06__pv	1238	15883	9743	4911	1612	3289	1812	4140	1374
LP6008341-DNA_A01_vs_LP6008340-DNA_A01__pv	1589	3496	3251	1056	3242	3025	93	422	265
LP6008341-DNA_A03_vs_LP6008340-DNA_F02__pv	693863	6113	11237	167414	160087	1215	75853	2716	286
LP6008341-DNA_B01_vs_LP6008340-DNA_B01__pv	1791	12952	7498	4109	993	1654	1060	2240	2017
LP6008341-DNA_B03_vs_LP6008340-DNA_G02__pv	884	588	781	716	1440	808	254	482	258
LP6008341-DNA_C01_vs_LP6008340-DNA_C01__pv	1351	3626	5249	518	1992	1828	354	2865	979
LP6008341-DNA_D01_vs_LP6008340-DNA_D01__pv	4863	10467	10676	1573	3616	4689	969	5944	1958
LP6008341-DNA_D02_vs_LP6008340-DNA_A02__pv	84	7	0	42	52	7	27	0	9
LP6008341-DNA_E01_vs_LP6008340-DNA_E01__pv	650	4323	2399	1084	764	1117	283	1262	747
LP6008341-DNA_E02_vs_LP6008340-DNA_B02__pv	787	5774	7589	1462	1220	2709	565	3119	294
LP6008341-DNA_F01_vs_LP6008340-DNA_F01__pv	1130	2626	1935	1134	1565	2317	310	873	197
LP6008341-DNA_F02_vs_LP6008340-DNA_C02__pv	3447	2282	1650	1932	1947	2126	221	1076	1037
LP6008341-DNA_G01_vs_LP6008340-DNA_G01__pv	2039	3236	2707	2102	3062	2796	1091	1584	651
LP6008341-DNA_G02_vs_LP6008340-DNA_D02__pv	1266	749	721	839	1489	1003	145	219	346
LP6008341-DNA_H01_vs_LP6008340-DNA_H01__pv	1612	11103	7702	6151	3523	5220	2815	3332	2904
LP6008341-DNA_H02_vs_LP6008340-DNA_E02__pv	917	4497	2435	1240	1442	1186	353	123	340
LP6008460-DNA_A01_vs_LP6008340-DNA_A02__pv	1546	2232	2813	3255	4262	997	0	939	1037
LP6008460-DNA_A02_vs_LP6008340-DNA_C04__pv	1820	5177	5206	1107	3169	2584	749	2651	1172
LP6008460-DNA_A03_vs_LP6008340-DNA_G04__pv	2349	3302	2516	1794	1408	3613	1126	2093	2197
LP6008460-DNA_A04_vs_LP6008340-DNA_D05__pv	1942	1303	1762	3874	3950	2747	1344	577	1040
LP6008460-DNA_B01_vs_LP6008340-DNA_A03__pv	1375	770	761	1348	5435	2078	234	541	1427
LP6008460-DNA_B02_vs_LP6008340-DNA_D02__pv	3423	2378	4634	6814	3452	3877	1692	2105	1538
LP6008460-DNA_B03_vs_LP6008340-DNA_H03__pv	2724	561	836	916	2656	2335	0	324	1385
LP6008460-DNA_B04_vs_LP6008340-DNA_F02__pv	617482	7012	8916	152380	134083	1111	62325	1210	878
LP6008460-DNA_C01_vs_LP6008340-DNA_B03__pv	4263	1595	1592	4201	1875	4603	1642	1119	5482
LP6008460-DNA_C02_vs_LP6008340-DNA_D03__pv	1280	145	144	1217	1130	1597	668	213	1087
LP6008460-DNA_C03_vs_LP6008340-DNA_H05__pv	1663	2048	2832	1840	1830	1075	677	589	607
LP6008460-DNA_C04_vs_LP6008340-DNA_F03__pv	16946	0	4683	2606	18713	1687	63857	2572	0
LP6008460-DNA_D01_vs_LP6008340-DNA_E02__pv	350	18057	448	5897	1619	1046	1314	0	2685
LP6008460-DNA_D02_vs_LP6008340-DNA_E03__pv	1500	0	856	3791	292	2407	1160	97	820
LP6008460-DNA_D03_vs_LP6008340-DNA_A05__pv	2313	1543	1483	1521	2388	1404	486	799	1327
LP6008460-DNA_E01_vs_LP6008340-DNA_F04__pv	1645	1259	718	2209	1703	2101	207	623	754
LP6008460-DNA_E02_vs_LP6008340-DNA_E04__pv	2773	3	763	4704	2101	5449	874	358	2037
LP6008460-DNA_E03_vs_LP6008340-DNA_B06__pv	4447	1400	1774	3565	4165	8576	1093	852	1610
LP6008460-DNA_E04_vs_LP6008340-DNA_H02__pv	2225	2024	3057	2890	2789	3543	977	898	1468
LP6008460-DNA_F01_vs_LP6008340-DNA_B02__pv	1705	6200	7995	2184	2364	3101	825	4225	534
LP6008460-DNA_F02_vs_LP6008340-DNA_E05__pv	555	4185	2494	4499	4329	11808	3524	2626	1406
LP6008460-DNA_F03_vs_LP6008340-DNA_C03__pv	0	21786	27478	2039	1562	1598	963	9898	0
LP6008460-DNA_F04_vs_LP6008340-DNA_H04__pv	3458	2118	3282	7104	3021	4445	1055	1047	1219
LP6008460-DNA_G01_vs_LP6008340-DNA_B04__pv	11160	5564	4400	1064	15338	0	59277	3975	98
LP6008460-DNA_G02_vs_LP6008340-DNA_G02__pv	2092	2377	2390	2665	2360	3456	1266	1604	1135
LP6008460-DNA_G03_vs_LP6008340-DNA_C05__pv	1661	8812	7868	5146	2190	2362	2020	1049	1481
LP6008460-DNA_H01_vs_LP6008340-DNA_C02__pv	3350	2795	1977	1480	2273	2112	114	1064	1268
LP6008460-DNA_H02_vs_LP6008340-DNA_G03__pv	1341	2776	3850	861	1307	1199	341	1394	326
LP6008460-DNA_H03_vs_LP6008340-DNA_D04__pv	2126	7328	5419	1295	2057	2715	276	4637	742
PD44724a_vs_PD44724b__pv	938	6783	6358	2802	4346	3148	966	4400	2326
PD44725a_vs_PD44725b__pv	1429	2898	2249	2004	2490	1803	919	1160	510
PD44726a_vs_PD44726b__pv	1275	961	1860	140	1226	1743	106	534	462
PD44727a_vs_PD44727b__pv	1754	4587	9165	5805	2791	1021	578	1113	1123
PD44728a_vs_PD44728b__pv	2214	594	1525	3802	2476	2996	1354	854	2039
PD44729a_vs_PD44729b__pv	2391	273	356	1669	3685	3323	373	436	706
PD44730a_vs_PD44730b__pv	2609	3257	3809	2588	2276	2370	551	1314	1058
PD44731a_vs_PD44731b__pv	1328	698	605	1701	3855	1671	453	221	900
PD44732a_vs_PD44732b__pv	2695	244	50	0	2075	1579	81	279	940
PD44733a_vs_PD44733b__pv	10703	1261	338	742	14861	1018	61044	305	432
PD44734a_vs_PD44734b__pv	3723	3580	4843	2793	2297	3467	851	2957	1510
PD44735a_vs_PD44735b__pv	2476	2344	3150	2001	4799	4308	935	1278	1206
PD44736a_vs_PD44736b__pv	1951	3116	1472	4217	2846	3346	1780	1018	991
PD44737a_vs_PD44737b__pv	2254	2229	2478	3468	3739	4527	602	730	1305
PD44738a_vs_PD44738b__pv	2083	8815	8843	9083	3721	3373	1252	2742	1218
PD44739a_vs_PD44739b__pv	1814	3191	3535	2287	2207	3267	593	3063	453
PD44740a_vs_PD44740b__pv	5088	21837	30935	1947	1811	2834	1372	13858	1000
PD44741a_vs_PD44741b__pv	3273	569	712	2157	2196	1664	541	638	1544
PD44742a_vs_PD44742b__pv	891	5905	1139	6100	1514	3107	3191	2837	3841
PD44743a_vs_PD44743b__pv	2517	860	1981	1761	2554	3180	473	961	828
PD44744a_vs_PD44744b__pv	2514	11599	11516	0	2828	1913	277	6800	4486
PD44745a_vs_PD44745b__pv	3395	9599	14558	5591	4174	4079	1169	5797	3389
PD44746a_vs_PD44746b__pv	951	178	285	1265	1265	1596	714	61	580
PD44747a_vs_PD44747b__pv	1136	3377	2893	1998	1858	2079	528	1188	641
PD44749a_vs_PD44749b__pv	1376	2938	2048	1432	649	717	378	872	1057
PD44751a_vs_PD44751b__pv	193	759	851	370	878	680	253	499	74
PD44752a_vs_PD44752b__pv	1676	728	2075	1208	2945	5881	177	712	828
PD44753a_vs_PD44753b__pv	3371	580	421	1833	1612	1641	693	555	983
PD44758a_vs_PD44758b__pv	1301	3689	5457	1732	1361	1005	884	1027	535
PD44759a_vs_PD44759b__pv	2103	2100	2498	2724	1905	3183	1002	544	743
PD44760a_vs_PD44760b__pv	1771	3087	1303	3123	2028	1577	587	968	697
PD44761a_vs_PD44761b__pv	2334	527	763	3720	4234	2625	342	366	506
PD44762a_vs_PD44762b__pv	1838	192	112	1057	1655	879	414	145	762
PD44763a_vs_PD44763b__pv	1671	2297	2450	2362	2709	3120	963	1975	1047
PD44764a_vs_PD44764b__pv	344	876	795	4369	1863	932	941	205	2619
PD44765a_vs_PD44765b__pv	3793	27604	12177	2902	3020	2603	1399	4530	2324
PD44766a_vs_PD44766b__pv	0	284	2350	1231	28184	352	56094	3252	0
PD44767a_vs_PD44767b__pv	2004	15219	4965	4967	1895	1343	2449	2297	1474
PD44769a_vs_PD44769b__pv	2021	0	357	1896	1817	1868	366	139	719
PD44770a_vs_PD44770b__pv	0	4396	2175	0	9792	1007	24490	190	769
PD44772a_vs_PD44772b__pv	2228	1386	3352	5890	2610	4891	1285	1358	3169
PD44773a_vs_PD44773b__pv	3316	2692	3834	2088	7350	1963	0	1879	394
PD44774a_vs_PD44774b__pv	1623	255	122	1489	2961	462	0	145	1041
PD44775a_vs_PD44775b__pv	0	731	0	0	52401	2722	51096	0	0
PD44776a_vs_PD44776b__pv	200	17100	4582	6006	1154	1040	1046	9026	1610
PD44777a_vs_PD44777b__pv	1401	361	873	2320	3100	3966	1072	751	456
PD44778a_vs_PD44778b__pv	2162	5759	1015	5679	3113	1021	962	1654	1368
PD44780a_vs_PD44780b__pv	1250	74	91	582	1414	2054	0	69	347
PD44781a_vs_PD44781b__pv	2293	8710	13282	2036	2629	2084	2046	6895	2228
PD44782a_vs_PD44782b__pv	335	18141	13667	2910	2104	2346	1066	7526	3153
PD44783a_vs_PD44783b__pv	2016	1747	3088	7829	540	2305	1780	1423	392
PD44784a_vs_PD44784b__pv	2602	514	799	4357	3652	5679	907	482	783
PD44785a_vs_PD44785b__pv	1660	7179	8859	2595	1410	1692	1166	6483	671
PD44786a_vs_PD44786b__pv	917	388	892	837	1249	658	376	480	523
PD44787a_vs_PD44787b__pv	2109	1298	780	1861	3042	4880	371	198	809
PD44788a_vs_PD44788b__pv	1541	1779	2457	3800	2209	5663	1233	1473	2155
PD44789a_vs_PD44789b__pv	4067	4141	4283	4046	2790	3474	1312	1306	2653
PD44790a_vs_PD44790b__pv	1695	6356	4281	2553	1318	2585	993	1037	1021
PD44791a_vs_PD44791b__pv	616	2472	3473	657	982	864	321	418	3
PD44792a_vs_PD44792b__pv	2453	13280	7729	1237	611	2710	1085	5121	1466
PD44793a_vs_PD44793b__pv	1933	377	410	934	2448	2022	473	160	707
PD44794a_vs_PD44794b__pv	2354	55	639	3797	1471	2674	550	170	1880
PD44795a_vs_PD44795b__pv	0	14178	9672	1321	1096	1824	907	5893	297
PD44796a_vs_PD44796b__pv	2751	2018	2097	7184	3303	3109	1674	1878	1402
PD44797a_vs_PD44797b__pv	1951	2861	3577	4861	4143	6752	2215	2843	1781
PD44798a_vs_PD44798b__pv	1471	730	1297	1383	2083	2339	380	522	516
PD44799a_vs_PD44799b__pv	2237	817	1627	1664	2887	2919	656	397	700
PD44800a_vs_PD44800b__pv	2113	2148	3207	2273	2791	3958	877	985	1419
PD44801a_vs_PD44801b__pv	1861	3148	4403	674	3357	3756	663	623	401
PD44802a_vs_PD44802b__pv	1044	245	111	913	1112	766	275	147	262
PD44803a_vs_PD44803b__pv	3730	4842	4704	4131	4227	6964	1209	1511	908
PD44804a_vs_PD44804b__pv	979	891	897	789	897	955	309	650	174
PD44805a_vs_PD44805b__pv	3122	22858	7913	0	2443	1744	525	6988	3105
PD44807a_vs_PD44807b__pv	1737	213	211	1547	1248	737	235	421	1104
PD44808a_vs_PD44808b__pv	1311	469	892	4775	1835	1716	1023	44	2870
PD44809a_vs_PD44809b__pv	1639	1407	1493	4511	2743	2473	574	576	1032
PD44810a_vs_PD44810b__pv	5446	5986	3767	0	3244	2154	1383	5826	3425
PD44811a_vs_PD44811b__pv	902	1852	2910	2183	1415	2065	1387	765	959
PD44813a_vs_PD44813b__pv	1380	3818	2181	2757	2151	1265	1027	1313	863
PD44814a_vs_PD44814b__pv	2490	635	879	4976	2572	3176	910	385	800
