NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
414	1604.115	9.155	248.394	7.997	0.016	0.989	90000.0
415	1605.478	9.187	248.823	8.025	0.016	0.988	40000.0
416	1606.443	9.199	249.034	8.061	0.016	0.988	60000.0
417	1597.998	9.101	247.047	7.971	0.016	0.989	50000.0
418	1603.505	9.144	249.187	7.993	0.015	0.989	60000.0
419	1595.317	9.121	247.222	7.967	0.016	0.989	50000.0
420	1602.267	9.126	248.033	7.995	0.016	0.989	80000.0
421	1594.243	9.096	246.666	7.957	0.016	0.989	50000.0
422	1602.463	9.152	248.444	7.992	0.016	0.989	70000.0
423	1600.395	9.128	247.481	7.974	0.016	0.989	60000.0
424	1601.7	9.163	248.188	8.008	0.016	0.988	80000.0
425	1599.115	9.19	247.724	8.013	0.016	0.988	70000.0
426	1603.176	9.158	247.476	7.991	0.016	0.989	70000.0
427	1600.173	9.122	248.049	7.993	0.015	0.989	70000.0
428	1601.403	9.109	247.795	7.965	0.015	0.989	90000.0
429	1595.385	9.098	246.747	7.961	0.015	0.989	100000.0
430	1599.751	9.118	247.498	7.962	0.015	0.989	60000.0
431	1601.719	9.143	248.299	8.003	0.016	0.989	40000.0
432	1600.629	9.104	247.47	7.935	0.016	0.989	90000.0
433	1604.121	9.165	248.81	8.016	0.016	0.989	100000.0
434	1603.318	9.177	248.776	8.03	0.016	0.988	70000.0
435	1603.138	9.173	248.335	8.001	0.016	0.989	70000.0
436	1597.82	9.128	247.623	7.975	0.016	0.989	90000.0
437	1606.991	9.16	248.598	8.001	0.016	0.989	110000.0
438	1604.509	9.131	248.246	7.99	0.016	0.989	100000.0
439	1602.266	9.155	247.993	7.995	0.016	0.989	60000.0
440	1600.355	9.144	247.581	7.962	0.016	0.989	50000.0
441	1600.507	9.139	247.25	7.96	0.016	0.989	90000.0
442	1599.435	9.146	248.26	8.007	0.016	0.989	110000.0
443	1606.98	9.212	249.111	8.053	0.016	0.988	80000.0
444	1611.697	9.133	249.119	7.963	0.015	0.989	90000.0
445	1606.666	9.185	248.268	8.028	0.016	0.989	100000.0
446	1595.999	9.129	247.79	8.009	0.016	0.988	80000.0
447	1600.272	9.145	247.768	7.976	0.016	0.989	60000.0
448	1600.193	9.164	247.699	8.0	0.016	0.989	90000.0
449	1607.234	9.148	249.263	8.005	0.015	0.989	100000.0
450	1592.895	9.073	247.08	7.931	0.015	0.989	70000.0
451	1599.429	9.139	248.029	7.998	0.016	0.989	50000.0
452	1601.686	9.106	248.072	7.952	0.015	0.989	80000.0
453	1601.785	9.145	247.234	7.986	0.016	0.989	70000.0
454	1598.24	9.132	247.79	7.949	0.016	0.989	60000.0
455	1603.966	9.103	248.601	7.965	0.015	0.989	80000.0
456	1597.361	9.111	247.2	7.958	0.016	0.989	70000.0
457	1599.068	9.135	247.873	7.994	0.016	0.989	40000.0
458	1600.84	9.094	247.639	7.935	0.016	0.989	80000.0
459	1602.637	9.172	248.7	8.001	0.016	0.989	60000.0
460	1596.207	9.07	246.962	7.916	0.016	0.989	110000.0
461	1602.185	9.142	249.04	8.017	0.016	0.989	80000.0
462	1604.375	9.167	248.135	8.006	0.016	0.989	90000.0
463	1603.145	9.127	248.706	7.989	0.016	0.989	90000.0
464	1599.853	9.121	247.566	7.967	0.016	0.989	70000.0
465	1603.379	9.145	248.513	7.991	0.016	0.989	70000.0
466	1600.755	9.164	247.731	8.027	0.016	0.988	60000.0
467	1599.242	9.129	247.633	7.973	0.016	0.989	70000.0
468	1605.521	9.164	248.493	7.991	0.016	0.988	50000.0
469	1604.153	9.092	247.744	7.918	0.015	0.989	60000.0
470	1603.781	9.127	248.573	7.985	0.016	0.989	60000.0
471	1596.566	9.117	246.823	7.965	0.016	0.989	70000.0
472	1594.228	9.067	244.317	7.873	0.016	0.989	60000.0
473	1604.294	9.127	248.679	7.98	0.016	0.989	60000.0
474	1600.049	9.145	247.862	8.009	0.016	0.988	90000.0
475	1597.849	9.159	247.761	8.016	0.016	0.989	50000.0
476	1601.523	9.117	247.602	7.938	0.015	0.989	70000.0
477	1600.603	9.12	249.138	7.978	0.016	0.989	90000.0
478	1598.411	9.137	246.716	7.953	0.016	0.989	80000.0
479	1602.591	9.156	248.79	8.005	0.016	0.989	70000.0
480	1601.676	9.1	248.168	7.958	0.016	0.989	50000.0
481	1597.8	9.085	247.322	7.93	0.015	0.989	80000.0
482	1599.69	9.102	248.031	7.979	0.016	0.989	70000.0
483	1600.604	9.125	248.247	7.997	0.016	0.989	60000.0
484	1604.573	9.194	248.853	8.053	0.016	0.988	110000.0
485	1601.933	9.139	248.035	7.975	0.016	0.989	40000.0
486	1600.156	9.141	248.218	7.988	0.016	0.989	60000.0
487	1599.862	9.121	248.482	7.975	0.016	0.989	120000.0
488	1605.117	9.169	248.692	8.003	0.016	0.989	40000.0
489	1602.123	9.139	248.497	8.002	0.016	0.989	80000.0
490	1603.299	9.141	248.358	8.014	0.016	0.988	70000.0
491	1598.059	9.126	247.466	7.973	0.016	0.989	140000.0
492	1600.598	9.143	248.494	7.986	0.016	0.989	70000.0
493	1596.992	9.118	244.199	7.909	0.016	0.989	80000.0
494	1602.52	9.119	248.422	7.986	0.015	0.989	70000.0
495	1601.8	9.125	247.988	7.954	0.016	0.989	90000.0
496	1596.95	9.137	247.131	7.981	0.016	0.989	80000.0
497	1604.165	9.121	249.302	7.983	0.015	0.989	70000.0
498	1602.566	9.16	248.835	8.022	0.016	0.989	50000.0
499	1595.573	9.11	246.965	7.962	0.016	0.989	120000.0
500	1596.867	9.14	247.19	7.992	0.016	0.989	60000.0
