Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G
LP6008280-DNA_H04_vs_LP6008264-DNA_G04__pv	8966	2021	5239	1717	2897	707	553
LP6008280-DNA_H05_vs_LP6008264-DNA_G05__pv	5157	1648	1982	16	1755	435	325
LP6008280-DNA_H06_vs_LP6008264-DNA_G06__pv	13645	1528	2078	7914	5075	0	934
LP6008334-DNA_A01_vs_LP6008335-DNA_A01__pv	105351	4179	0	24969	0	4338	0
LP6008334-DNA_A03_vs_LP6008335-DNA_E02__pv	5357	2208	3609	4645	4991	1405	8637
LP6008334-DNA_A04_vs_LP6008335-DNA_E03__pv	2294	4282	5109	1720	6180	1337	1149
LP6008334-DNA_B01_vs_LP6008335-DNA_B01__pv	5738	3474	3827	2910	3278	100	1015
LP6008334-DNA_B02_vs_LP6008335-DNA_F01__pv	4613	3561	1448	2036	4107	74	1149
LP6008334-DNA_B03_vs_LP6008335-DNA_F02__pv	35894	3117	37697	35911	8584	93196	0
LP6008334-DNA_C01_vs_LP6008335-DNA_C01__pv	4297	3803	4010	1722	4349	456	1342
LP6008334-DNA_C02_vs_LP6008335-DNA_G01__pv	3419	3328	4057	3504	7203	0	5866
LP6008334-DNA_C03_vs_LP6008335-DNA_G02__pv	2099	6526	4539	5415	3057	2050	1859
LP6008334-DNA_D01_vs_LP6008335-DNA_D01__pv	5182	2388	2603	850	2884	382	1585
LP6008334-DNA_D02_vs_LP6008335-DNA_H01__pv	6662	7184	1458	8678	4561	1829	2722
LP6008334-DNA_D03_vs_LP6008335-DNA_H02__pv	15343	7271	1557	5640	16937	710	2453
LP6008334-DNA_E01_vs_LP6008335-DNA_A01__pv	2954	667	902	2947	529	135	1374
LP6008334-DNA_E02_vs_LP6008335-DNA_A02__pv	5474	3813	2299	2033	4213	594	1211
LP6008334-DNA_E03_vs_LP6008335-DNA_A03__pv	3894	7374	4087	3314	5986	1804	2073
LP6008334-DNA_F01_vs_LP6008335-DNA_B01__pv	485	1843	6089	672	6577	188	164
LP6008334-DNA_F02_vs_LP6008335-DNA_B02__pv	7999	1769	2172	2153	3043	49	575
LP6008334-DNA_F03_vs_LP6008335-DNA_B03__pv	756	2527	4470	411	3503	343	540
LP6008334-DNA_G01_vs_LP6008335-DNA_C01__pv	1669	1026	1152	604	1399	278	234
LP6008334-DNA_G02_vs_LP6008335-DNA_C02__pv	4908	3787	1982	2553	2922	525	1553
LP6008334-DNA_G03_vs_LP6008335-DNA_C03__pv	0	2168	2774	50	1637	485	1585
LP6008334-DNA_H01_vs_LP6008335-DNA_D01__pv	2534	3008	2234	760	3063	908	845
LP6008334-DNA_H02_vs_LP6008335-DNA_D02__pv	1611	6646	3782	1827	4016	676	1279
LP6008334-DNA_H03_vs_LP6008335-DNA_D03__pv	7409	4045	3873	8193	3023	910	3768
LP6008336-DNA_A01_vs_LP6008333-DNA_A01__pv	0	4381	2275	340	4007	779	929
LP6008336-DNA_A02_vs_LP6008333-DNA_A02__pv	0	1886	2330	85	1179	376	600
LP6008336-DNA_A03_vs_LP6008333-DNA_A03__pv	42	1615	946	86	1374	32	522
LP6008336-DNA_B01_vs_LP6008333-DNA_B01__pv	509	2296	2233	438	1898	131	1113
LP6008336-DNA_B02_vs_LP6008333-DNA_B02__pv	1900	1310	3345	2526	724	445	1062
LP6008336-DNA_B03_vs_LP6008333-DNA_B03__pv	62	734	754	34	130	67	39
LP6008336-DNA_C01_vs_LP6008333-DNA_C01__pv	239	3677	1637	633	6779	991	2244
LP6008336-DNA_C02_vs_LP6008333-DNA_C02__pv	3274	924	886	969	1601	183	194
LP6008336-DNA_C03_vs_LP6008333-DNA_C03__pv	511	3004	2604	863	2914	913	1971
LP6008336-DNA_D01_vs_LP6008333-DNA_D01__pv	4584	9593	16047	0	2594	36213	1290
LP6008336-DNA_D02_vs_LP6008333-DNA_D02__pv	0	118	40	2	0	11	0
LP6008336-DNA_D03_vs_LP6008333-DNA_D03__pv	12809	6344	2306	8223	6021	242	2111
LP6008336-DNA_E01_vs_LP6008333-DNA_E01__pv	14381	4436	1736	0	3646	407	1572
LP6008336-DNA_E02_vs_LP6008333-DNA_E02__pv	21220	1229	3386	19453	2291	268	542
LP6008336-DNA_E03_vs_LP6008333-DNA_E03__pv	408	1767	1356	429	596	275	394
LP6008336-DNA_F02_vs_LP6008333-DNA_F02__pv	1608	2806	1292	732	2699	724	2579
LP6008336-DNA_F03_vs_LP6008333-DNA_F03__pv	1991	5389	6091	534	3920	235	9579
LP6008336-DNA_G01_vs_LP6008333-DNA_G01__pv	2809	3119	2643	136	2519	164	580
LP6008336-DNA_G02_vs_LP6008333-DNA_G02__pv	2932	5407	655	3514	1382	929	1419
LP6008336-DNA_G03_vs_LP6008333-DNA_G03__pv	4098	6137	1776	1373	7305	594	2037
LP6008336-DNA_H01_vs_LP6008333-DNA_H01__pv	3949	4734	3292	1879	7128	651	1840
LP6008336-DNA_H02_vs_LP6008333-DNA_H02__pv	0	47	47	1	0	36	0
LP6008336-DNA_H03_vs_LP6008333-DNA_H03__pv	60	1380	1905	951	9500	0	1124
LP6008337-DNA_A01_vs_LP6008338-DNA_A01__pv	1917	1256	887	579	940	166	401
LP6008337-DNA_A02_vs_LP6008338-DNA_A02__pv	2057	1786	1567	663	1835	399	859
LP6008337-DNA_A03_vs_LP6008338-DNA_A03__pv	4434	3387	1766	3011	2632	649	2047
LP6008337-DNA_A04_vs_LP6008338-DNA_A04__pv	1808	953	1078	865	947	20	168
LP6008337-DNA_A06_vs_LP6008338-DNA_G05__pv	5806	3392	2823	2084	5088	1137	1843
LP6008337-DNA_A07_vs_LP6008338-DNA_E06__pv	0	0	986	26	377	640	10826
LP6008337-DNA_B02_vs_LP6008338-DNA_B02__pv	301	1415	1415	409	796	153	323
LP6008337-DNA_B03_vs_LP6008338-DNA_B03__pv	2062	1475	1682	1050	1492	221	420
LP6008337-DNA_B04_vs_LP6008338-DNA_B04__pv	6197	701343	264710	0	0	115736	24814
LP6008337-DNA_B05_vs_LP6008338-DNA_A05__pv	4054	1429	1509	1709	1358	20	296
LP6008337-DNA_B07_vs_LP6008338-DNA_F06__pv	3101	4813	2975	1165	6481	1356	1348
LP6008337-DNA_C01_vs_LP6008338-DNA_C01__pv	6412	2824	4115	3202	2783	176	1207
LP6008337-DNA_C02_vs_LP6008338-DNA_C02__pv	0	1468	2419	259	2477	394	577
LP6008337-DNA_C03_vs_LP6008338-DNA_C03__pv	7422	1013	4366	1540	3560	581	764
LP6008337-DNA_C04_vs_LP6008338-DNA_C04__pv	3428	1419	1177	5853	1074	220	541
LP6008337-DNA_C05_vs_LP6008338-DNA_B05__pv	4331	1854	1870	2053	3609	104	420
LP6008337-DNA_D01_vs_LP6008338-DNA_D01__pv	924	1139	1902	0	1146	463	205
LP6008337-DNA_D02_vs_LP6008338-DNA_D02__pv	506	789	739	285	462	163	116
LP6008337-DNA_D03_vs_LP6008338-DNA_D03__pv	1747	2694	3579	692	2563	245	488
LP6008337-DNA_D04_vs_LP6008338-DNA_D04__pv	905	1033	531	291	929	186	175
LP6008337-DNA_D05_vs_LP6008338-DNA_C05__pv	368	888	1945	0	1467	152	139
LP6008337-DNA_D06_vs_LP6008338-DNA_A06__pv	32482	5743	3116	16372	11540	920	1655
LP6008337-DNA_E01_vs_LP6008338-DNA_E01__pv	7256	917	1873	2743	2013	159	138
LP6008337-DNA_E03_vs_LP6008338-DNA_E03__pv	4379	2011	1841	1570	1780	659	729
LP6008337-DNA_E04_vs_LP6008338-DNA_E04__pv	6370	1726	2421	3835	5356	241	460
LP6008337-DNA_E05_vs_LP6008338-DNA_D05__pv	3371	1012	1904	2099	1131	295	164
LP6008337-DNA_F01_vs_LP6008338-DNA_F01__pv	342	728	647	96	528	52	183
LP6008337-DNA_F02_vs_LP6008338-DNA_F02__pv	3749	3112	3150	2191	3306	566	1063
LP6008337-DNA_F03_vs_LP6008338-DNA_F03__pv	3765	1753	1857	1919	2522	0	342
LP6008337-DNA_F04_vs_LP6008338-DNA_F04__pv	11419	2795	5844	4888	3791	429	0
LP6008337-DNA_F05_vs_LP6008338-DNA_E05__pv	5305	4257	6298	3586	8209	636	2066
LP6008337-DNA_F06_vs_LP6008338-DNA_C06__pv	19774	991	2030	8137	2333	233	503
LP6008337-DNA_G01_vs_LP6008338-DNA_G01__pv	3336	2603	4570	1822	4046	267	753
LP6008337-DNA_G02_vs_LP6008338-DNA_G02__pv	6509	1808	1620	1287	2224	160	341
LP6008337-DNA_G03_vs_LP6008338-DNA_G03__pv	8263	2055	3023	3986	4379	259	638
LP6008337-DNA_G04_vs_LP6008338-DNA_G04__pv	5804	1237	3287	0	1548	242	31
LP6008337-DNA_G05_vs_LP6008338-DNA_F05__pv	3919	1909	1240	406	1812	371	670
LP6008337-DNA_G06_vs_LP6008338-DNA_C06__pv	21293	1506	4270	5694	3486	311	212
LP6008337-DNA_H01_vs_LP6008338-DNA_H01__pv	679	870	1983	472	1079	101	73
LP6008337-DNA_H02_vs_LP6008338-DNA_H02__pv	56217	356	2606	33656	4632	214	340
LP6008337-DNA_H03_vs_LP6008338-DNA_H03__pv	2311	2500	2008	936	1397	304	179
LP6008337-DNA_H04_vs_LP6008338-DNA_H04__pv	4878	1311	1525	4839	1471	334	507
LP6008337-DNA_H06_vs_LP6008338-DNA_D06__pv	14876	3875	1723	15920	4451	1199	1958
LP6008341-DNA_A01_vs_LP6008340-DNA_A01__pv	4463	1195	4017	3292	3296	0	176
LP6008341-DNA_A03_vs_LP6008340-DNA_F02__pv	12540	699752	265256	1530	0	114344	25362
LP6008341-DNA_B01_vs_LP6008340-DNA_B01__pv	10747	3664	1186	13256	2359	561	2541
LP6008341-DNA_B03_vs_LP6008340-DNA_G02__pv	1280	1131	1842	464	885	307	302
LP6008341-DNA_C01_vs_LP6008340-DNA_C01__pv	8894	1380	2627	2346	1937	371	1207
LP6008341-DNA_D01_vs_LP6008340-DNA_D01__pv	18070	4799	5101	8294	5062	821	2608
LP6008341-DNA_D02_vs_LP6008340-DNA_A02__pv	0	97	68	9	7	35	12
LP6008341-DNA_E01_vs_LP6008340-DNA_E01__pv	3856	1064	922	4304	1340	189	954
LP6008341-DNA_E02_vs_LP6008340-DNA_B02__pv	11969	1605	1476	4412	3263	290	504
LP6008341-DNA_F01_vs_LP6008340-DNA_F01__pv	2964	1546	1901	2529	2654	197	296
LP6008341-DNA_F02_vs_LP6008340-DNA_C02__pv	2738	4101	2833	2110	2385	148	1403
LP6008341-DNA_G01_vs_LP6008340-DNA_G01__pv	4353	2938	3835	3011	3216	1056	859
LP6008341-DNA_G02_vs_LP6008340-DNA_D02__pv	1013	1445	1934	720	1090	173	402
LP6008341-DNA_H01_vs_LP6008340-DNA_H01__pv	11447	5111	4011	11192	6624	2220	3757
LP6008341-DNA_H02_vs_LP6008340-DNA_E02__pv	3102	980	1753	4753	1408	203	334
LP6008460-DNA_A01_vs_LP6008340-DNA_A02__pv	4027	3057	5480	2128	1268	0	1121
LP6008460-DNA_A02_vs_LP6008340-DNA_C04__pv	8585	1827	4057	4281	2782	725	1378
LP6008460-DNA_A03_vs_LP6008340-DNA_G04__pv	4477	3260	1829	2905	4105	965	2857
LP6008460-DNA_A04_vs_LP6008340-DNA_D05__pv	2178	4030	4932	1449	3422	1229	1299
LP6008460-DNA_B01_vs_LP6008340-DNA_A03__pv	1263	1105	6870	753	2082	487	1409
LP6008460-DNA_B02_vs_LP6008340-DNA_D02__pv	6645	8069	4452	1986	5198	1282	2281
LP6008460-DNA_B03_vs_LP6008340-DNA_H03__pv	1312	2476	3599	370	2383	0	1597
LP6008460-DNA_B04_vs_LP6008340-DNA_F02__pv	8193	626736	226161	4182	0	96083	24042
LP6008460-DNA_C01_vs_LP6008340-DNA_B03__pv	2385	6293	2768	1513	5392	1207	6814
LP6008460-DNA_C02_vs_LP6008340-DNA_D03__pv	174	1850	1449	195	1832	617	1364
LP6008460-DNA_C03_vs_LP6008340-DNA_H05__pv	3936	2373	2421	1767	1330	596	738
LP6008460-DNA_C04_vs_LP6008340-DNA_F03__pv	5254	16372	20984	0	1456	66998	0
LP6008460-DNA_D01_vs_LP6008340-DNA_E02__pv	0	2544	1567	21414	1908	719	3264
LP6008460-DNA_D02_vs_LP6008340-DNA_E03__pv	663	4277	419	172	3375	681	1336
LP6008460-DNA_D03_vs_LP6008340-DNA_A05__pv	2362	2706	3201	1368	1502	538	1587
LP6008460-DNA_E01_vs_LP6008340-DNA_F04__pv	1057	2932	2173	1399	2527	101	1030
LP6008460-DNA_E02_vs_LP6008340-DNA_E04__pv	563	5812	2635	242	6653	354	2803
LP6008460-DNA_E03_vs_LP6008340-DNA_B06__pv	2380	5998	5263	1354	9723	557	2207
LP6008460-DNA_E04_vs_LP6008340-DNA_H02__pv	4280	3574	3542	1724	4186	718	1847
LP6008460-DNA_F01_vs_LP6008340-DNA_B02__pv	13192	3072	2996	4646	3685	673	869
LP6008460-DNA_F02_vs_LP6008340-DNA_E05__pv	4102	3635	4455	4392	13963	2716	2163
LP6008460-DNA_F03_vs_LP6008340-DNA_C03__pv	42984	718	1929	16963	2291	413	26
LP6008460-DNA_F04_vs_LP6008340-DNA_H04__pv	4018	8289	3820	2292	5921	509	1900
LP6008460-DNA_G01_vs_LP6008340-DNA_B04__pv	6968	9201	16790	5288	0	61955	674
LP6008460-DNA_G02_vs_LP6008340-DNA_G02__pv	3878	3580	3016	2125	4130	1042	1574
LP6008460-DNA_G03_vs_LP6008340-DNA_C05__pv	10300	4198	2577	8851	3352	1465	1846
LP6008460-DNA_H01_vs_LP6008340-DNA_C02__pv	3238	3452	3241	2570	2263	79	1590
LP6008460-DNA_H02_vs_LP6008340-DNA_G03__pv	5966	1562	1755	2060	1353	278	421
LP6008460-DNA_H03_vs_LP6008340-DNA_D04__pv	10180	2870	2743	6319	3041	269	1173
PD44724a_vs_PD44724b__pv	11082	2362	5381	5812	3641	943	2846
PD44725a_vs_PD44725b__pv	3474	2349	3090	2836	2146	909	658
PD44726a_vs_PD44726b__pv	2838	910	1650	513	1828	34	534
PD44727a_vs_PD44727b__pv	12182	5083	3626	3683	1898	102	1363
PD44728a_vs_PD44728b__pv	2095	4496	3173	540	3725	1164	2661
PD44729a_vs_PD44729b__pv	590	2771	4717	272	3652	371	839
PD44730a_vs_PD44730b__pv	5638	3762	3048	2816	2816	375	1377
PD44731a_vs_PD44731b__pv	763	1653	4874	814	1821	575	932
PD44732a_vs_PD44732b__pv	455	1731	2990	34	1447	199	1087
PD44733a_vs_PD44733b__pv	0	7945	15924	1443	805	63628	959
PD44734a_vs_PD44734b__pv	8126	5245	3313	2549	4052	608	2128
PD44735a_vs_PD44735b__pv	4813	2739	6060	1888	4762	861	1374
PD44736a_vs_PD44736b__pv	1946	4554	3459	3606	4236	1515	1421
PD44737a_vs_PD44737b__pv	3294	3886	4586	2237	5310	378	1641
PD44738a_vs_PD44738b__pv	12238	8151	4460	8830	5059	563	1829
PD44739a_vs_PD44739b__pv	6448	3497	2785	2462	3873	506	839
PD44740a_vs_PD44740b__pv	50473	5903	3254	14921	3395	966	1770
PD44741a_vs_PD44741b__pv	1154	4194	3100	499	1846	551	1950
PD44742a_vs_PD44742b__pv	2348	5459	1484	6850	4276	2959	5149
PD44743a_vs_PD44743b__pv	3067	3269	3355	454	3555	338	1077
PD44744a_vs_PD44744b__pv	20866	245	4330	8817	1654	591	5430
PD44745a_vs_PD44745b__pv	22694	6327	5620	7007	5098	690	4315
PD44746a_vs_PD44746b__pv	230	1581	1554	265	1887	636	742
PD44747a_vs_PD44747b__pv	4356	2105	2291	3222	2515	372	837
PD44749a_vs_PD44749b__pv	3129	2002	939	2851	902	296	1348
PD44751a_vs_PD44751b__pv	1418	328	1063	628	773	263	84
PD44752a_vs_PD44752b__pv	3041	1785	3512	307	6534	0	1051
PD44753a_vs_PD44753b__pv	750	4167	2360	549	1831	690	1342
PD44758a_vs_PD44758b__pv	7711	1926	1763	2941	1304	713	633
PD44759a_vs_PD44759b__pv	3265	3529	2406	2024	3850	691	1037
PD44760a_vs_PD44760b__pv	1925	3617	2565	3456	2065	510	1003
PD44761a_vs_PD44761b__pv	736	4368	5346	801	3186	340	640
PD44762a_vs_PD44762b__pv	155	2098	2266	229	927	460	919
PD44763a_vs_PD44763b__pv	4265	3052	3416	1922	3678	843	1418
PD44764a_vs_PD44764b__pv	546	3175	2231	1361	1571	785	3275
PD44765a_vs_PD44765b__pv	18637	2856	3957	28312	3020	844	2726
PD44766a_vs_PD44766b__pv	2689	0	29706	897	0	58455	0
PD44767a_vs_PD44767b__pv	7213	4497	2073	16651	2061	2149	1969
PD44769a_vs_PD44769b__pv	363	2935	2431	31	2206	270	947
PD44770a_vs_PD44770b__pv	1635	0	9845	5334	1011	24647	347
PD44772a_vs_PD44772b__pv	4520	6152	3206	1197	6195	760	4139
PD44773a_vs_PD44773b__pv	6340	3372	9658	1974	1901	118	153
PD44774a_vs_PD44774b__pv	134	2000	3914	369	422	133	1126
PD44775a_vs_PD44775b__pv	0	0	57396	802	0	48752	0
PD44776a_vs_PD44776b__pv	11157	5721	1022	17947	1969	1123	2825
PD44777a_vs_PD44777b__pv	1295	2667	3763	336	4669	914	656
PD44778a_vs_PD44778b__pv	1539	5870	3851	6920	1702	948	1903
PD44780a_vs_PD44780b__pv	96	1279	1774	89	2212	0	431
PD44781a_vs_PD44781b__pv	22110	3497	3638	5658	2457	1946	2897
PD44782a_vs_PD44782b__pv	22853	1611	2510	16604	2932	767	3971
PD44783a_vs_PD44783b__pv	3726	8628	499	2075	3867	1205	1120
PD44784a_vs_PD44784b__pv	728	5216	4466	798	6831	538	1198
PD44785a_vs_PD44785b__pv	15855	4181	1886	5143	2210	1163	1277
PD44786a_vs_PD44786b__pv	1417	1266	1652	213	742	398	632
PD44787a_vs_PD44787b__pv	889	2656	3723	1461	5479	123	1017
PD44788a_vs_PD44788b__pv	3677	3997	2593	1593	6828	734	2888
PD44789a_vs_PD44789b__pv	6085	5777	3903	3832	4212	908	3355
PD44790a_vs_PD44790b__pv	5952	2725	1620	6412	3181	623	1326
PD44791a_vs_PD44791b__pv	4785	555	1215	2019	1017	215	0
PD44792a_vs_PD44792b__pv	13440	2773	933	12509	3088	856	2093
PD44793a_vs_PD44793b__pv	585	1874	3203	351	2154	483	814
PD44794a_vs_PD44794b__pv	462	4743	2036	247	3427	188	2487
PD44795a_vs_PD44795b__pv	16589	639	1099	13163	2283	816	599
PD44796a_vs_PD44796b__pv	2987	7993	4099	2329	4406	1433	2169
PD44797a_vs_PD44797b__pv	5888	5262	4876	2472	8137	1838	2511
PD44798a_vs_PD44798b__pv	1908	1983	2661	556	2666	291	656
PD44799a_vs_PD44799b__pv	2234	2664	3696	617	3262	584	847
PD44800a_vs_PD44800b__pv	4618	2981	3502	1733	4542	636	1759
PD44801a_vs_PD44801b__pv	6181	1148	4203	2497	4059	467	331
PD44802a_vs_PD44802b__pv	135	1463	1465	310	883	276	343
PD44803a_vs_PD44803b__pv	6621	5625	5221	4611	8120	717	1311
PD44804a_vs_PD44804b__pv	1532	1379	1194	752	1112	291	281
PD44805a_vs_PD44805b__pv	15428	965	3426	22880	1444	725	3830
PD44807a_vs_PD44807b__pv	401	2554	1765	225	867	244	1397
PD44808a_vs_PD44808b__pv	565	4272	2332	866	2499	760	3641
PD44809a_vs_PD44809b__pv	1710	4548	3442	1721	3330	288	1409
PD44810a_vs_PD44810b__pv	9492	4177	5111	4345	1746	1929	4431
PD44811a_vs_PD44811b__pv	4053	2115	1702	1563	2599	1164	1242
PD44813a_vs_PD44813b__pv	3367	2930	2677	3999	1666	976	1140
PD44814a_vs_PD44814b__pv	682	5821	3223	1033	4173	634	1257
PD44815a_vs_PD44815b__pv	2655	3351	1225	1741	2001	863	2160
PD44816a_vs_PD44816b__pv	2196	2464	5419	904	3571	631	770
PD44817a_vs_PD44817b__pv	122	3989	1361	0	5025	295	1791
PD44818a_vs_PD44818b__pv	7610	2479	2234	6774	2271	402	904
PD44819a_vs_PD44819b__pv	23823	4875	3826	13728	4925	573	1697
PD44820a_vs_PD44820b__pv	1848	1973	2963	1422	2742	695	982
PD44821a_vs_PD44821b__pv	6512	3007	3537	3716	3404	448	1419
PD44823a_vs_PD44823b__pv	1399	2386	1930	393	1552	574	1172
PD44824a_vs_PD44824b__pv	3925	2596	5479	4314	3771	912	2624
PD44825a_vs_PD44825b__pv	1114	6204	30028	10982	4014	65212	3478
PD44826a_vs_PD44826b__pv	3075	3327	3996	1729	3957	900	1482
PD44827a_vs_PD44827b__pv	1579	2445	1485	1180	2692	1417	1071
PD44828a_vs_PD44828b__pv	13769	1525	4170	6415	3918	763	753
PD44829a_vs_PD44829b__pv	5337	8085	7830	1326	10538	1050	2275
PD44830a_vs_PD44830b__pv	4765	1736	4662	1781	7918	149	949
PD44831a_vs_PD44831b__pv	32860	4404	3070	8624	318	2625	2617
PD44832a_vs_PD44832b__pv	0	0	20329	5152	4737	45825	1660
PD44833a_vs_PD44833b__pv	20722	3462	1865	10235	3529	781	940
PD44834a_vs_PD44834b__pv	2482	4546	2494	1979	1613	773	1951
PD44835a_vs_PD44835b__pv	2973	2599	1425	1015	5339	336	2110
PD44836a_vs_PD44836b__pv	2476	6857	6879	3659	4169	2070	2006
PD44837a_vs_PD44837b__pv	1199	1038	1211	359	1147	0	319
PD44838a_vs_PD44838b__pv	1019	7490	5540	567	5608	26	3071
PD44839a_vs_PD44839b__pv	124	2641	3361	2035	1894	871	2980
PD44840a_vs_PD44840b__pv	5156	2977	2679	3453	2390	705	776
PD44841a_vs_PD44841b__pv	9715	6701	19431	6230	1502	51315	1224
PD44842a_vs_PD44842b__pv	542	1640	2449	551	2082	512	1061
PD44843a_vs_PD44843b__pv	5434	5198	5087	11296	4697	727	2395
PD44844a_vs_PD44844b__pv	135	1917	2638	447	3204	244	806
PD44845a_vs_PD44845b__pv	4580	2865	4057	271	3866	0	1546
PD44846a_vs_PD44846b__pv	10526	2485	1805	0	2894	960	530
PD44847a_vs_PD44847b__pv	2931	2245	4194	2568	2167	383	685
PD44848a_vs_PD44848b__pv	9258	10775	3011	15557	4465	2783	5238
PD44849a_vs_PD44849b__pv	919	4603	4017	348	6222	1019	2320
PD44850a_vs_PD44850b__pv	5208	3314	5457	8090	2138	916	1288
PD44851a_vs_PD44851b__pv	3482	1818	3757	1639	2184	873	2690
PD44852a_vs_PD44852b__pv	2943	6397	4089	3814	3790	865	1026
PD44853a_vs_PD44853b__pv	2841	879	3513	1907	4383	428	529
PD44854a_vs_PD44854b__pv	3305	3366	3423	2026	3072	599	1894
PD44855a_vs_PD44855b__pv	6174	2948	2806	1203	3916	459	1128
PD44856a_vs_PD44856b__pv	18707	2614	4596	5172	2463	180	785
PD44857a_vs_PD44857b__pv	17457	1747	2350	12492	2015	849	625
PD44859a_vs_PD44859b__pv	6973	2875	6526	7735	1480	28515	2531
PD44861a_vs_PD44861b__pv	5207	5050	2820	2034	4230	1267	2018
PD44862a_vs_PD44862b__pv	1313	4039	1572	2144	313	826	6923
PD44863a_vs_PD44863b__pv	5672	667	3544	5019	4470	0	2539
PD44864a_vs_PD44864b__pv	9141	2977	2497	5792	2373	265	1822
PD44904a_vs_PD44904b__pv	17061	11837	3288	5861	4909	1519	1497
PD44905a_vs_PD44905b__pv	1411	6810	2451	956	2064	967	3411
PD44906a_vs_PD44906b__pv	2925	4302	1544	1806	1964	640	1004
PD44908a_vs_PD44908b__pv	6696	3008	3139	7833	1699	830	1057
PD44909a_vs_PD44909b__pv	509	1272	3819	155	2575	0	39
PD44910a_vs_PD44910b__pv	7189	2214	4109	1997	4704	895	1388
PD44912a_vs_PD44912b__pv	31944	3260	3334	9567	5087	188	2588
PD44913a_vs_PD44913b__pv	1057	4924	2245	1571	2815	629	1113
PD44914a_vs_PD44914b__pv	508	7844	2447	3169	2870	1041	2856
PD44915a_vs_PD44915b__pv	2971	2103	1530	3489	3766	259	987
PD44916a_vs_PD44916b__pv	732	2951	2748	925	1790	202	1511
PD44917a_vs_PD44917b__pv	0	1271	767	107	633	67	665
PD44918a_vs_PD44918b__pv	4928	1302	2918	3013	2391	270	1492
PD44919a_vs_PD44919b__pv	9036	2027	3179	0	1981	340	709
PD44920a_vs_PD44920b__pv	11502	2499	1834	3952	1714	799	782
PD44921a_vs_PD44921b__pv	1386	1426	1044	1310	607	265	339
PD44922a_vs_PD44922b__pv	41895	7783	1746	12802	3584	768	4322
PD44923a_vs_PD44923b__pv	3459	11885	5744	1589	6240	916	4280
PD44924a_vs_PD44924b__pv	743	2434	5736	929	2515	210	838
PD44925a_vs_PD44925b__pv	4297	5509	2343	2197	7590	818	2557
PD44926a_vs_PD44926b__pv	1197	1931	4470	754	3052	318	583
PD44927a_vs_PD44927b__pv	11025	1390	3335	3216	2545	762	1020
PD44928a_vs_PD44928b__pv	5759	2423	4656	623	5279	707	457
PD44929a_vs_PD44929b__pv	9581	2851	3571	2306	2162	803	1161
PD44930a_vs_PD44930b__pv	3161	6916	1989	12498	4153	1134	5425
PD44931a_vs_PD44931b__pv	9788	0	13723	14829	2235	56640	900
PD44932a_vs_PD44932b__pv	12911	2105	2436	239	3120	363	419
PD44933a_vs_PD44933b__pv	58	1602	1886	92	70	354	5156
PD44934a_vs_PD44934b__pv	58685	1530	2618	1172	3637	1066	1205
PD44935a_vs_PD44935b__pv	1817	4757	1896	1029	4442	894	1317
PD44936a_vs_PD44936b__pv	1160	1551	2013	1093	894	533	471
PD44937a_vs_PD44937b__pv	4638	5993	4149	4512	3604	495	3671
PD44938a_vs_PD44938b__pv	7250	4762	2104	2551	3313	1541	1008
PD44939a_vs_PD44939b__pv	2195	3306	4071	763	3695	586	1659
PD44941a_vs_PD44941b__pv	1304	4416	3015	737	3747	217	1051
PD44942a_vs_PD44942b__pv	6494	1762	4064	1964	2780	249	506
PD44943a_vs_PD44943b__pv	338	2352	1911	379	2441	598	353
PD44944a_vs_PD44944b__pv	5547	3297	2886	1360	3625	1047	770
PD44945a_vs_PD44945b__pv	21061	2453	1401	13172	4197	357	1756
PD44946a_vs_PD44946b__pv	3086	3074	3398	2812	2900	134	954
PD44947a_vs_PD44947b__pv	712	981	779	220	979	95	378
PD44948a_vs_PD44948b__pv	8422	2177	2718	7565	1630	438	5116
PD44949a_vs_PD44949b__pv	4510	936	3705	1035	1524	267	3158
PD44950a_vs_PD44950b__pv	996	805	1026	291	1745	149	443
PD46225a_vs_PD46225b__pv	2881	2566	4405	3054	5726	359	2570
PD46226a_vs_PD46226b__pv	2533	3538	6625	185	3700	866	2106
PD46227a_vs_PD46227b__pv	1450	15009	0	24407	3559	2233	3252
PD46228a_vs_PD46228b__pv	11114	0	3167	3720	5238	0	599
PD46229a_vs_PD46229b__pv	12807	3028	3129	11613	4209	872	1803
PD46230a_vs_PD46230b__pv	3316	2113	2467	1364	3739	1044	7519
PD46231a_vs_PD46231b__pv	292	1469	1445	38	1345	209	1497
PD46232a_vs_PD46232b__pv	3316	3017	2566	1345	2817	0	1045
PD46233a_vs_PD46233b__pv	2923	10239	2838	7464	3345	1674	3207
PD46234a_vs_PD46234b__pv	126	2919	1433	135	1967	744	941
PD46235a_vs_PD46235b__pv	5992	1902	6654	1722	3586	410	1381
PD46236a_vs_PD46236b__pv	2530	2857	4727	1147	5174	391	652
PD46237a_vs_PD46237b__pv	20579	7438	4423	0	4495	1019	1540
PD46238a_vs_PD46238b__pv	1516	7982	59	1039	3169	741	1662
PD46239a_vs_PD46239b__pv	3624	2025	2936	1967	2062	649	809
PD46240a_vs_PD46240b__pv	735	3036	2176	723	1501	659	502
PD46241a_vs_PD46241b__pv	21657	4714	6454	4927	5899	515	1093
