Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G
LP6007538-DNA_A01_vs_LP6007537-DNA_A01__pv	14251	1926	2204	3076	3525	612	1519
LP6007540-DNA_A01_vs_LP6007539-DNA_A01__pv	4210	1615	4001	4031	3986	221	481
LP6007542-DNA_A01_vs_LP6007541-DNA_A01__pv	4790	8484	3549	2816	5502	1187	4411
LP6007544-DNA_A01_vs_LP6007569-DNA_A01__pv	2216	3619	3794	2727	5309	212	1235
LP6007546-DNA_A01_vs_LP6007568-DNA_A01__pv	1088	966	3703	1890	2034	159	1828
LP6007548-DNA_A01_vs_LP6007547-DNA_A01__pv	1679	742	941	449	1192	322	1144
LP6007550-DNA_A01_vs_LP6007549-DNA_A01__pv	11231	798	3236	10084	3514	300	2384
LP6007552-DNA_A01_vs_LP6007551-DNA_A01__pv	3832	4126	1830	3678	2783	274	3733
LP6007567-DNA_A01_vs_LP6007524-DNA_A01__pv	3511	3378	3390	3924	2763	171	989
LP6007591_vs_LP6007590__pv	12335	1957	7308	26214	3599	1181	5717
LP6007592_vs_LP6007590__pv	2108	1631	3531	1085	2280	155	563
LP6007594_vs_LP6007593__pv	581	3917	5214	805	4762	1509	527
LP6007595_vs_LP6007593__pv	3486	1792	2223	1456	2888	436	37
LP6007597_vs_LP6007596__pv	20875	7069	2704	0	4738	1947	604
LP6007598_vs_LP6007596__pv	6610	1770	1147	0	1996	530	234
LP6007600_vs_LP6007599__pv	158	2414	1825	91	1066	115	298
LP6007602_vs_LP6007601__pv	18157	2029	0	42697	686	333	1061
LP6008017-DNA_A01_vs_LP6008018-DNA_B01__pv	22933	1284	2022	11665	3530	658	53
LP6008017-DNA_A02_vs_LP6008018-DNA_B01__pv	44811	0	1947	9586	3721	53	0
LP6008017-DNA_A03_vs_LP6008018-DNA_C01__pv	26406	1727	3035	12361	5717	321	713
LP6008017-DNA_A04_vs_LP6008018-DNA_A01__pv	9649	1325	4601	2057	3320	1278	7512
LP6008017-DNA_B01_vs_LP6008018-DNA_B01__pv	32647	0	1944	14052	3400	448	0
LP6008017-DNA_B02_vs_LP6008018-DNA_B01__pv	22923	957	1698	11062	3276	488	76
LP6008017-DNA_B03_vs_LP6008018-DNA_C01__pv	26665	1946	3209	12610	5947	465	740
LP6008017-DNA_B04_vs_LP6008018-DNA_A01__pv	4550	1217	1675	1196	1887	409	1293
LP6008017-DNA_C01_vs_LP6008018-DNA_B01__pv	41256	0	1730	19508	3787	0	0
LP6008017-DNA_C02_vs_LP6008018-DNA_C01__pv	25800	1848	2816	12084	5674	169	590
LP6008017-DNA_C03_vs_LP6008018-DNA_C01__pv	26395	1772	2990	12599	5694	350	677
LP6008017-DNA_C04_vs_LP6008018-DNA_C01__pv	0	49	36	7	6	19	18
LP6008017-DNA_D01_vs_LP6008018-DNA_B01__pv	33023	116	1874	16130	3708	449	0
LP6008017-DNA_D02_vs_LP6008018-DNA_C01__pv	26795	2786	2960	12290	6210	314	769
LP6008017-DNA_D03_vs_LP6008018-DNA_A01__pv	8486	2490	4366	2636	3568	888	3830
LP6008017-DNA_E01_vs_LP6008018-DNA_B01__pv	39906	0	1750	18066	3909	228	0
LP6008017-DNA_E02_vs_LP6008018-DNA_C01__pv	27069	3427	2808	12161	6767	275	928
LP6008017-DNA_E03_vs_LP6008018-DNA_A01__pv	8340	2216	3598	2454	3543	866	2921
LP6008017-DNA_F01_vs_LP6008018-DNA_B01__pv	24720	1269	1729	13328	4255	783	86
LP6008017-DNA_F02_vs_LP6008018-DNA_C01__pv	27671	2435	2934	13002	6150	393	772
LP6008017-DNA_F03_vs_LP6008018-DNA_A01__pv	6278	1243	2233	1677	2157	391	3002
LP6008017-DNA_G01_vs_LP6008018-DNA_B01__pv	27250	976	2100	12361	3630	555	0
LP6008017-DNA_G02_vs_LP6008018-DNA_C01__pv	29493	3196	2783	14086	6858	613	1154
LP6008017-DNA_G03_vs_LP6008018-DNA_A01__pv	8710	2419	3933	2300	4027	784	4488
LP6008017-DNA_H01_vs_LP6008018-DNA_B01__pv	32710	441	1741	17664	3848	387	0
LP6008017-DNA_H02_vs_LP6008018-DNA_C01__pv	26339	2846	2807	12388	6491	209	825
LP6008017-DNA_H03_vs_LP6008018-DNA_A01__pv	11908	1077	4670	1651	3249	1305	7479
