Samples	SBS96A	SBS96B	SBS96C	SBS96D
LP6005501-DNA_F01_vs_LP6005499-DNA_F01__pv	14609	2348	6388	3761
LP6005690-DNA_A02_vs_LP6005689-DNA_A02__pv	1041	2181	2420	7423
LP6005690-DNA_B01_vs_LP6005689-DNA_B01__pv	8397	1700	2641	4586
LP6005690-DNA_B03_vs_LP6005777-DNA_A01__pv	18498	4126	4059	3300
LP6005690-DNA_C02_vs_LP6005689-DNA_C02__pv	411	4576	3400	7441
LP6005690-DNA_C03_vs_LP6005689-DNA_C03__pv	17806	3138	4863	8413
LP6005690-DNA_D02_vs_LP6005689-DNA_D02__pv	25770	3799	6418	3557
LP6005690-DNA_D03_vs_LP6005689-DNA_D03__pv	21936	1545	4973	3243
LP6005690-DNA_E01_vs_LP6005689-DNA_E01__pv	14038	2028	5825	12217
LP6005690-DNA_E02_vs_LP6005689-DNA_E02__pv	2	27	12	3
LP6005690-DNA_E03_vs_LP6005689-DNA_E03__pv	2890	3207	2031	5486
LP6005690-DNA_F01_vs_LP6005689-DNA_F01__pv	15538	4055	4920	5372
LP6005690-DNA_F02_vs_LP6005689-DNA_F02__pv	29114	3628	5684	2370
LP6005690-DNA_F03_vs_LP6005689-DNA_F03__pv	3640	3400	4981	4918
LP6005690-DNA_G02_vs_LP6005689-DNA_G02__pv	13589	3048	3761	5780
LP6005690-DNA_H02_vs_LP6005689-DNA_H02__pv	44063	3266	2550	5159
LP6005691-DNA_A01_vs_LP6005689-DNA_C01__pv	2134	2642	709	5471
LP6005691-DNA_A02_vs_LP6005689-DNA_F03__pv	1124	1549	1242	1777
LP6005691-DNA_B01_vs_LP6005689-DNA_E01__pv	15355	2033	5294	12570
LP6005691-DNA_C01_vs_LP6005689-DNA_A02__pv	588	2075	1632	5935
LP6005691-DNA_D01_vs_LP6005689-DNA_B02__pv	61706	2419	2968	3018
LP6005691-DNA_E01_vs_LP6005689-DNA_D01__pv	2769	1870	1451	1054
LP6005691-DNA_F01_vs_LP6005689-DNA_F01__pv	15019	2297	1965	3570
LP6005691-DNA_G01_vs_LP6005689-DNA_G01__pv	1	153	53	66
LP6005691-DNA_H01_vs_LP6005689-DNA_H01__pv	3446	607	836	1486
LP6005935-DNA_A01_vs_LP6005979-DNA_A01__pv	22260	6875	6607	11193
LP6005935-DNA_A02_vs_LP6005934-DNA_A02__pv	18776	2502	4612	3047
LP6005935-DNA_A03_vs_LP6005934-DNA_A03__pv	379	4089	1549	5130
LP6005935-DNA_B01_vs_LP6005934-DNA_B01__pv	1978	2443	5151	3872
LP6005935-DNA_B02_vs_LP6005934-DNA_B02__pv	16435	2302	9005	5008
LP6005935-DNA_B03_vs_LP6005934-DNA_B03__pv	34761	0	6744	7572
LP6005935-DNA_B04_vs_LP6005934-DNA_B04__pv	1745	4970	2151	8569
LP6005935-DNA_C01_vs_LP6005934-DNA_C01__pv	16662	144573	21875	234
LP6005935-DNA_C02_vs_LP6005979-DNA_B01__pv	14754	5245	6532	6403
LP6005935-DNA_C03_vs_LP6005934-DNA_C03__pv	769	1701	1197	1940
LP6005935-DNA_C04_vs_LP6005934-DNA_C04__pv	32635	6248	9897	8148
LP6005935-DNA_D01_vs_LP6005934-DNA_D01__pv	20643	3453	3909	9627
LP6005935-DNA_D02_vs_LP6005934-DNA_D02__pv	15643	3082	5271	2855
LP6005935-DNA_D04_vs_LP6005934-DNA_C03__pv	2245	1212	1141	3320
LP6005935-DNA_E01_vs_LP6005934-DNA_E01__pv	28340	5863	3992	5573
LP6005935-DNA_E02_vs_LP6005934-DNA_E02__pv	9877	4021	4752	3732
LP6005935-DNA_E03_vs_LP6005934-DNA_E03__pv	6961	2910	5261	5102
LP6005935-DNA_E04_vs_LP6005934-DNA_E02__pv	4659	1659	802	2746
LP6005935-DNA_F01_vs_LP6005934-DNA_F01__pv	317	1539	5992	929
LP6005935-DNA_F02_vs_LP6005934-DNA_F02__pv	75690	12596	14902	0
LP6005935-DNA_F03_vs_LP6005934-DNA_F03__pv	688	53476	0	7423
LP6005935-DNA_F04_vs_LP6007426-DNA_A01__pv	44491	0	15038	1547
LP6005935-DNA_G01_vs_LP6005934-DNA_G01__pv	19302	5880	4845	2645
LP6005935-DNA_G02_vs_LP6005979-DNA_C01__pv	1392	1728	4968	12893
LP6005935-DNA_G03_vs_LP6005934-DNA_G03__pv	1415	1285	3609	3823
LP6005935-DNA_H01_vs_LP6005934-DNA_H01__pv	12916	3476	6337	9524
LP6005935-DNA_H02_vs_LP6005934-DNA_H02__pv	6530	4451	7722	5817
LP6005935-DNA_H03_vs_LP6005934-DNA_H03__pv	1131	57144	3	7389
LP6007358-DNA_A01_vs_LP6007553-DNA_A01__pv	4341	1900	3353	6436
LP6007394-DNA_A01_vs_LP6007393-DNA_A01__pv	5926	3238	1699	2482
LP6007396-DNA_A01_vs_LP6007395-DNA_A01__pv	6683	4372	4734	4817
LP6007398-DNA_A01_vs_LP6007397-DNA_A01__pv	2949	3989	4674	3052
LP6007399-DNA_A01_vs_LP6007397-DNA_A01__pv	2966	3876	4436	3012
LP6007401-DNA_A01_vs_LP6007400-DNA_A01__pv	21695	4512	7886	5244
LP6007402-DNA_A01_vs_LP6007400-DNA_A01__pv	11620	1622	1463	2602
LP6007404-DNA_A01_vs_LP6007403-DNA_A01__pv	1508	3218	2167	5635
LP6007405-DNA_A01_vs_LP6007403-DNA_A01__pv	2630	849	497	1903
LP6007407-DNA_A01_vs_LP6007406-DNA_A01__pv	15281	5545	6659	6726
LP6007409-DNA_A01_vs_LP6007408-DNA_A01__pv	2166	5048	2352	4521
LP6007410-DNA_A01_vs_LP6007408-DNA_A01__pv	8653	3593	2067	5829
LP6007414-DNA_A02_vs_LP6007413-DNA_A02__pv	612	2715	2516	5155
LP6007416-DNA_A01_vs_LP6007415-DNA_A01__pv	2761	4374	5337	6258
LP6007418-DNA_A02_vs_LP6007417-DNA_A02__pv	9688	6014	7077	3127
LP6007420-DNA_A01_vs_LP6007419-DNA_A01__pv	30055	1761	12785	1617
LP6007422-DNA_A01_vs_LP6007421-DNA_A01__pv	2910	3625	2827	3915
LP6007424-DNA_A01_vs_LP6007423-DNA_A01__pv	8654	4433	8603	3854
LP6007425-DNA_A01_vs_LP6007423-DNA_A01__pv	8832	4324	8337	3849
LP6007427-DNA_A01_vs_LP6007426-DNA_A01__pv	56847	0	20315	1481
LP6007428-DNA_A01_vs_LP6007426-DNA_A01__pv	495	1267	958	635
LP6007430-DNA_A01_vs_LP6007429-DNA_A01__pv	5078	4671	2898	8635
LP6007432-DNA_A01_vs_LP6007431-DNA_A01__pv	36650	1376	6537	1561
LP6007434-DNA_A01_vs_LP6007433-DNA_A01__pv	11395	2900	4608	6176
LP6007436-DNA_A01_vs_LP6007435-DNA_A01__pv	23852	3802	5087	4574
LP6007438-DNA_A01_vs_LP6007437-DNA_A01__pv	540	2385	4854	1155
