Samples	SBS96A	SBS96B	SBS96C	SBS96D
LP6008341-DNA_A01_vs_LP6008340-DNA_A01__pv	6945	3101	810	5583
LP6008341-DNA_A03_vs_LP6008340-DNA_F02__pv	23282	699589	395913	0
LP6008341-DNA_B01_vs_LP6008340-DNA_B01__pv	23107	1512	6363	3332
LP6008341-DNA_B03_vs_LP6008340-DNA_G02__pv	1484	2086	1014	1627
LP6008341-DNA_C01_vs_LP6008340-DNA_C01__pv	9836	2805	2999	3122
LP6008341-DNA_D01_vs_LP6008340-DNA_D01__pv	24069	5640	7259	7787
LP6008341-DNA_D02_vs_LP6008340-DNA_A02__pv	9	134	63	22
LP6008341-DNA_E01_vs_LP6008340-DNA_E01__pv	7697	772	2171	1989
LP6008341-DNA_E02_vs_LP6008340-DNA_B02__pv	15272	1623	2040	4584
LP6008341-DNA_F01_vs_LP6008340-DNA_F01__pv	5219	1694	1127	4047
LP6008341-DNA_F02_vs_LP6008340-DNA_C02__pv	4549	3209	4279	3681
LP6008341-DNA_G01_vs_LP6008340-DNA_G01__pv	6773	4551	2774	5170
LP6008341-DNA_G02_vs_LP6008340-DNA_D02__pv	1530	2058	1274	1915
LP6008341-DNA_H01_vs_LP6008340-DNA_H01__pv	21429	4901	8770	9262
LP6008341-DNA_H02_vs_LP6008340-DNA_E02__pv	7463	1529	1053	2488
LP6008460-DNA_A01_vs_LP6008340-DNA_A02__pv	5184	5386	3405	3106
LP6008460-DNA_A02_vs_LP6008340-DNA_C04__pv	11413	4119	3388	4715
LP6008460-DNA_A03_vs_LP6008340-DNA_G04__pv	6832	2087	6134	5345
LP6008460-DNA_A04_vs_LP6008340-DNA_D05__pv	3189	5872	3926	5552
LP6008460-DNA_B01_vs_LP6008340-DNA_A03__pv	1336	5638	2565	4430
LP6008460-DNA_B02_vs_LP6008340-DNA_D02__pv	8026	6671	7900	7316
LP6008460-DNA_B03_vs_LP6008340-DNA_H03__pv	1287	3013	3582	3855
LP6008460-DNA_B04_vs_LP6008340-DNA_F02__pv	21842	606870	356685	0
LP6008460-DNA_C01_vs_LP6008340-DNA_B03__pv	3401	2898	13664	6409
LP6008460-DNA_C02_vs_LP6008340-DNA_D03__pv	291	1748	2950	2492
LP6008460-DNA_C03_vs_LP6008340-DNA_H05__pv	5170	3230	2492	2269
LP6008460-DNA_C04_vs_LP6008340-DNA_F03__pv	4713	97927	5823	2601
LP6008460-DNA_D01_vs_LP6008340-DNA_E02__pv	21275	442	6262	3437
LP6008460-DNA_D02_vs_LP6008340-DNA_E03__pv	892	1339	4489	4203
LP6008460-DNA_D03_vs_LP6008340-DNA_A05__pv	3227	3587	3832	2618
LP6008460-DNA_E01_vs_LP6008340-DNA_F04__pv	2345	2185	2962	3727
LP6008460-DNA_E02_vs_LP6008340-DNA_E04__pv	682	2376	7121	8883
LP6008460-DNA_E03_vs_LP6008340-DNA_B06__pv	3350	4321	5826	13985
LP6008460-DNA_E04_vs_LP6008340-DNA_H02__pv	5353	3751	4686	6081
LP6008460-DNA_F01_vs_LP6008340-DNA_B02__pv	16455	3810	3414	5454
LP6008460-DNA_F02_vs_LP6008340-DNA_E05__pv	8174	3476	4247	19529
LP6008460-DNA_F03_vs_LP6008340-DNA_C03__pv	55516	3335	2856	3617
LP6008460-DNA_F04_vs_LP6008340-DNA_H04__pv	6155	5129	7169	8296
LP6008460-DNA_G01_vs_LP6008340-DNA_B04__pv	12118	83913	4845	0
LP6008460-DNA_G02_vs_LP6008340-DNA_G02__pv	5545	3604	4255	5941
LP6008460-DNA_G03_vs_LP6008340-DNA_C05__pv	18306	4029	5461	4793
LP6008460-DNA_H01_vs_LP6008340-DNA_C02__pv	5294	3218	4247	3674
LP6008460-DNA_H02_vs_LP6008340-DNA_G03__pv	7311	2211	1690	2183
LP6008460-DNA_H03_vs_LP6008340-DNA_D04__pv	15394	2843	3636	4722
PD44724a_vs_PD44724b__pv	14779	5172	6136	5980
PD44725a_vs_PD44725b__pv	5837	3823	2208	3594
PD44726a_vs_PD44726b__pv	2871	1337	1316	2783
PD44727a_vs_PD44727b__pv	14455	4988	5499	2995
PD44728a_vs_PD44728b__pv	2256	4088	6422	5088
PD44729a_vs_PD44729b__pv	571	4324	2409	5908
PD44730a_vs_PD44730b__pv	7781	3560	4227	4264
PD44731a_vs_PD44731b__pv	1179	4530	2144	3579
PD44732a_vs_PD44732b__pv	274	2708	2379	2582
PD44733a_vs_PD44733b__pv	1465	84162	4301	776
PD44734a_vs_PD44734b__pv	9776	4167	6323	5755
PD44735a_vs_PD44735b__pv	5675	5711	3383	7728
PD44736a_vs_PD44736b__pv	5488	4656	4367	6226
PD44737a_vs_PD44737b__pv	4977	4148	4287	7920
PD44738a_vs_PD44738b__pv	20294	5997	7490	7349
PD44739a_vs_PD44739b__pv	8300	3288	3157	5665
PD44740a_vs_PD44740b__pv	60517	6793	8685	4687
PD44741a_vs_PD44741b__pv	1415	3911	5121	2847
PD44742a_vs_PD44742b__pv	9127	3588	10883	4927
PD44743a_vs_PD44743b__pv	3020	3477	3252	5366
PD44744a_vs_PD44744b__pv	25298	3523	9838	3274
PD44745a_vs_PD44745b__pv	26518	6555	11327	7351
PD44746a_vs_PD44746b__pv	419	1906	1832	2738
PD44747a_vs_PD44747b__pv	7058	2358	2452	3830
PD44749a_vs_PD44749b__pv	5622	1310	3300	1235
PD44751a_vs_PD44751b__pv	1799	1143	305	1310
PD44752a_vs_PD44752b__pv	2753	1832	2134	9511
PD44753a_vs_PD44753b__pv	1222	3571	4174	2722
PD44758a_vs_PD44758b__pv	9800	2820	2346	2025
PD44759a_vs_PD44759b__pv	5043	2919	3311	5529
PD44760a_vs_PD44760b__pv	5289	3247	3359	3246
PD44761a_vs_PD44761b__pv	1285	5727	2911	5494
PD44762a_vs_PD44762b__pv	289	2701	2402	1662
PD44763a_vs_PD44763b__pv	5553	3769	3782	5490
PD44764a_vs_PD44764b__pv	1695	2653	6600	1996
PD44765a_vs_PD44765b__pv	44589	3127	6605	6031
PD44766a_vs_PD44766b__pv	2218	84433	0	5096
PD44767a_vs_PD44767b__pv	23704	3935	5590	3384
PD44769a_vs_PD44769b__pv	273	2716	2831	3363
PD44770a_vs_PD44770b__pv	6835	32626	0	3358
PD44772a_vs_PD44772b__pv	5062	3439	9704	7964
PD44773a_vs_PD44773b__pv	6693	9380	2072	5371
PD44774a_vs_PD44774b__pv	303	3683	2573	1539
PD44775a_vs_PD44775b__pv	0	92906	0	14044
PD44776a_vs_PD44776b__pv	28678	2416	7955	2715
PD44777a_vs_PD44777b__pv	1324	3887	2023	7066
PD44778a_vs_PD44778b__pv	8492	5285	5919	3037
PD44780a_vs_PD44780b__pv	94	1312	1097	3378
PD44781a_vs_PD44781b__pv	24792	6092	7686	3633
PD44782a_vs_PD44782b__pv	36077	2239	8423	4509
PD44783a_vs_PD44783b__pv	6340	3815	6558	4407
PD44784a_vs_PD44784b__pv	1357	4326	4040	10052
PD44785a_vs_PD44785b__pv	19640	4170	4994	2911
PD44786a_vs_PD44786b__pv	1340	2017	1661	1302
PD44787a_vs_PD44787b__pv	2132	2625	2454	8137
PD44788a_vs_PD44788b__pv	4783	2040	6417	9070
PD44789a_vs_PD44789b__pv	9114	4607	8375	5976
PD44790a_vs_PD44790b__pv	11957	1785	3594	4503
PD44791a_vs_PD44791b__pv	6266	1422	379	1739
PD44792a_vs_PD44792b__pv	24854	1278	5269	4291
PD44793a_vs_PD44793b__pv	706	3170	2037	3551
PD44794a_vs_PD44794b__pv	623	2206	6296	4465
PD44795a_vs_PD44795b__pv	28161	1384	2057	3586
PD44796a_vs_PD44796b__pv	5172	6516	7545	6183
PD44797a_vs_PD44797b__pv	7603	5499	6383	11499
PD44798a_vs_PD44798b__pv	2109	2572	1936	4104
PD44799a_vs_PD44799b__pv	2408	3856	2506	5134
PD44800a_vs_PD44800b__pv	5621	3362	4199	6589
PD44801a_vs_PD44801b__pv	7633	3624	1072	6557
PD44802a_vs_PD44802b__pv	400	1784	1198	1493
PD44803a_vs_PD44803b__pv	10658	5037	4497	12034
PD44804a_vs_PD44804b__pv	2127	1550	1132	1732
PD44805a_vs_PD44805b__pv	35411	2258	7303	3726
PD44807a_vs_PD44807b__pv	519	2165	3430	1339
PD44808a_vs_PD44808b__pv	1264	2835	7776	3060
PD44809a_vs_PD44809b__pv	3224	3786	4437	5001
PD44810a_vs_PD44810b__pv	11970	6544	9458	3259
PD44811a_vs_PD44811b__pv	5137	2592	3147	3562
PD44813a_vs_PD44813b__pv	6983	3653	3351	2768
PD44814a_vs_PD44814b__pv	1708	4321	4773	6021
PD44815a_vs_PD44815b__pv	4129	2196	5261	2410
PD44816a_vs_PD44816b__pv	2505	5151	2246	6053
PD44817a_vs_PD44817b__pv	69	1092	4628	6794
PD44818a_vs_PD44818b__pv	13643	2457	2930	3644
PD44819a_vs_PD44819b__pv	35268	4559	6205	7415
PD44820a_vs_PD44820b__pv	2907	3067	2406	4245
PD44821a_vs_PD44821b__pv	9321	3559	3875	5288
PD44823a_vs_PD44823b__pv	1548	2540	3041	2277
PD44824a_vs_PD44824b__pv	7233	4951	5321	6116
PD44825a_vs_PD44825b__pv	11589	90427	8696	10320
PD44826a_vs_PD44826b__pv	4279	4283	3890	6014
PD44827a_vs_PD44827b__pv	2653	2704	2852	3660
PD44828a_vs_PD44828b__pv	18293	4206	2451	6363
PD44829a_vs_PD44829b__pv	5824	7933	7148	15536
PD44830a_vs_PD44830b__pv	5710	2673	1929	11648
PD44831a_vs_PD44831b__pv	37687	7820	8425	586
PD44832a_vs_PD44832b__pv	4696	61516	879	10612
PD44833a_vs_PD44833b__pv	29282	3119	4188	4945
PD44834a_vs_PD44834b__pv	4198	3840	5496	2304
PD44835a_vs_PD44835b__pv	3620	688	4503	6986
PD44836a_vs_PD44836b__pv	5756	8953	6446	6961
PD44837a_vs_PD44837b__pv	1366	1090	998	1819
PD44838a_vs_PD44838b__pv	1301	5431	8360	8229
PD44839a_vs_PD44839b__pv	1923	3386	5731	2866
PD44840a_vs_PD44840b__pv	8093	3445	2843	3755
PD44841a_vs_PD44841b__pv	14883	71757	5139	4339
PD44842a_vs_PD44842b__pv	903	2417	2316	3201
PD44843a_vs_PD44843b__pv	16149	4872	6314	7499
PD44844a_vs_PD44844b__pv	462	2199	1942	4788
PD44845a_vs_PD44845b__pv	3982	3369	3812	6022
PD44846a_vs_PD44846b__pv	9421	3325	2452	4002
PD44847a_vs_PD44847b__pv	4885	4138	2170	3980
PD44848a_vs_PD44848b__pv	24714	6517	14155	5701
PD44849a_vs_PD44849b__pv	1004	4003	5573	8868
PD44850a_vs_PD44850b__pv	12357	5820	3765	4469
PD44851a_vs_PD44851b__pv	4206	3639	5112	3486
PD44852a_vs_PD44852b__pv	6712	5638	4754	5820
PD44853a_vs_PD44853b__pv	4185	2557	997	6741
PD44854a_vs_PD44854b__pv	4769	3645	4650	4621
PD44855a_vs_PD44855b__pv	6595	3035	3355	5649
PD44856a_vs_PD44856b__pv	21319	5196	3508	4494
PD44857a_vs_PD44857b__pv	28118	3126	2793	3498
PD44859a_vs_PD44859b__pv	14460	34712	5829	1634
PD44861a_vs_PD44861b__pv	6761	4178	5825	5862
PD44862a_vs_PD44862b__pv	2938	1943	12244	5
PD44863a_vs_PD44863b__pv	9404	1557	4290	6660
PD44864a_vs_PD44864b__pv	13784	2660	4784	3639
PD44904a_vs_PD44904b__pv	22451	8038	9247	6236
PD44905a_vs_PD44905b__pv	2244	4353	9007	2466
PD44906a_vs_PD44906b__pv	4681	2944	3912	2648
PD44908a_vs_PD44908b__pv	13773	3857	3451	3181
PD44909a_vs_PD44909b__pv	400	3107	439	4423
PD44910a_vs_PD44910b__pv	8027	4044	3357	7068
PD44912a_vs_PD44912b__pv	37672	3729	7517	7050
PD44913a_vs_PD44913b__pv	2690	3496	4198	3970
PD44914a_vs_PD44914b__pv	3950	4602	8582	3601
PD44915a_vs_PD44915b__pv	6290	1037	2492	5286
PD44916a_vs_PD44916b__pv	1462	2831	3768	2798
PD44917a_vs_PD44917b__pv	90	882	1654	884
PD44918a_vs_PD44918b__pv	6979	2411	3091	3833
PD44919a_vs_PD44919b__pv	7632	3848	2490	3302
PD44920a_vs_PD44920b__pv	14301	3196	3083	2502
PD44921a_vs_PD44921b__pv	2578	1488	1307	1004
PD44922a_vs_PD44922b__pv	50640	4918	13456	3886
PD44923a_vs_PD44923b__pv	4710	7872	12835	8696
PD44924a_vs_PD44924b__pv	1269	5106	2295	4735
PD44925a_vs_PD44925b__pv	6214	2232	6681	10184
PD44926a_vs_PD44926b__pv	1554	3984	1615	5152
PD44927a_vs_PD44927b__pv	12567	3787	2815	4124
PD44928a_vs_PD44928b__pv	5448	4530	1742	8184
PD44929a_vs_PD44929b__pv	10511	4651	3727	3546
PD44930a_vs_PD44930b__pv	15574	2408	12161	5133
PD44931a_vs_PD44931b__pv	24785	68857	156	4317
PD44932a_vs_PD44932b__pv	11635	3199	2283	4476
PD44933a_vs_PD44933b__pv	0	1363	7742	113
PD44934a_vs_PD44934b__pv	53130	6460	6231	4092
PD44935a_vs_PD44935b__pv	2811	2880	4388	6073
PD44936a_vs_PD44936b__pv	2038	2523	1505	1649
PD44937a_vs_PD44937b__pv	8464	4506	8839	5253
PD44938a_vs_PD44938b__pv	9407	4276	4276	4570
PD44939a_vs_PD44939b__pv	2475	4077	4099	5624
PD44941a_vs_PD44941b__pv	1886	3336	3756	5509
PD44942a_vs_PD44942b__pv	7344	3892	1825	4758
PD44943a_vs_PD44943b__pv	669	2483	1536	3684
PD44944a_vs_PD44944b__pv	6314	3957	2915	5346
PD44945a_vs_PD44945b__pv	32230	1384	5058	5725
PD44946a_vs_PD44946b__pv	5461	3306	2990	4601
PD44947a_vs_PD44947b__pv	830	833	1067	1414
PD44948a_vs_PD44948b__pv	14016	2063	9460	2527
PD44949a_vs_PD44949b__pv	4249	2804	5373	2709
PD44950a_vs_PD44950b__pv	1119	813	1034	2489
PD46225a_vs_PD46225b__pv	5266	2966	5023	8306
PD46226a_vs_PD46226b__pv	1955	6471	4947	6180
PD46227a_vs_PD46227b__pv	28801	4466	12967	3676
PD46228a_vs_PD46228b__pv	13228	1511	1163	7936
PD46229a_vs_PD46229b__pv	23054	3158	4849	6400
PD46230a_vs_PD46230b__pv	3619	1506	12255	4182
PD46231a_vs_PD46231b__pv	206	1287	2954	1848
PD46232a_vs_PD46232b__pv	4231	2485	3148	4242
PD46233a_vs_PD46233b__pv	10854	6170	10534	4132
PD46234a_vs_PD46234b__pv	244	2402	2883	2736
PD46235a_vs_PD46235b__pv	6267	5832	3153	6395
PD46236a_vs_PD46236b__pv	3173	4167	2113	8025
PD46237a_vs_PD46237b__pv	18411	7632	7370	6081
PD46238a_vs_PD46238b__pv	2958	2607	7255	3348
PD46239a_vs_PD46239b__pv	5005	3348	2322	3397
PD46240a_vs_PD46240b__pv	1402	3246	2257	2427
PD46241a_vs_PD46241b__pv	23828	7292	4962	9177
PD46242a_vs_PD46242b__pv	83432	0	8367	4886
PD46243a_vs_PD46243b__pv	1765	5197	6917	3927
PD46244a_vs_PD46244b__pv	78	3642	991	5055
PD46245a_vs_PD46245b__pv	356	1865	8125	6287
PD46246a_vs_PD46246b__pv	9164	7039	9756	5398
PD46247a_vs_PD46247b__pv	6065	7964	3950	5853
PD46248a_vs_PD46248b__pv	30256	5471	3748	3087
PD46249a_vs_PD46249b__pv	21128	5718	2454	8443
PD46250a_vs_PD46250b__pv	228	1412	8509	684
PD46251a_vs_PD46251b__pv	715	38788	0	3984
PD46252a_vs_PD46252b__pv	2546	0	0	31556
PD46253a_vs_PD46253b__pv	13391	5476	5788	5846
PD46254a_vs_PD46254b__pv	10369	3484	3236	4727
PD46255a_vs_PD46255b__pv	1372	4015	3016	4975
PD46256a_vs_PD46256b__pv	5344	4209	1569	3477
PD46257a_vs_PD46257b__pv	13	4143	916	4995
PD46258a_vs_PD46258b__pv	7546	2713	4905	4745
PD46259a_vs_PD46259b__pv	5085	2981	6603	3053
PD46260a_vs_PD46260b__pv	463	1504	6969	2256
PD46261a_vs_PD46261b__pv	857	2357	2000	2299
PD46262a_vs_PD46262b__pv	1355	1417	2245	1489
PD46263a_vs_PD46263b__pv	7660	974	1239	6003
PD46264a_vs_PD46264b__pv	6209	1534	4827	3846
PD46265a_vs_PD46265b__pv	12063	3870	3718	4865
PD46267a_vs_PD46267b__pv	37	205	269	91
PD46268a_vs_PD46268b__pv	1941	3178	3048	4096
SLX-16751	3334	1623	829	2025
SLX-16752	17805	1814	1500	2213
SLX-18929	308850	133938	169991	191001
SLX-18949	33405	4500	3145	5374
SLX-18950	805	1210	681	928
SM-4AX82_vs_SM-4AWN8__pv	4155	3406	2603	7936
SM-4AX83_vs_SM-4AWN9__pv	2149	1185	2424	1539
SM-4AX84_vs_SM-4AWNA__pv	16497	2696	2110	6747
SM-4AX85_vs_SM-4AWNB__pv	709	4856	4437	5378
SM-4AX86_vs_SM-4AWNC__pv	8901	2083	5239	3925
SM-4AX87_vs_SM-4AWND__pv	231	732	720	3287
SM-4B295_vs_SM-4AWNE__pv	14283	3908	6997	4772
SM-4B296_vs_SM-4AWNF__pv	16792	4615	22504	3617
SM-4JPP6_vs_SM-4JPUS__pv	3015	2368	5127	9884
SM-4JPP7_vs_SM-4JPUT__pv	2340	2865	3457	2230
SM-4JPP9_vs_SM-4JPUT__pv	2502	2733	3290	2114
SM-4JPPA_vs_LP6005333-DNA_B01__pv	4365	6841	6130	12386
SM-4JPPB_vs_LP6005333-DNA_B01__pv	3904	6676	6028	12264
SM-4JPPC_vs_LP6005333-DNA_B01__pv	4449	6884	6107	12352
SM-4JPUV_vs_SM-4JPUS__pv	376	1523	1406	1808
SM-4JPUW_vs_SM-4JPUS__pv	8	64	59	19
SM-4JPUX_vs_SM-4JPUT__pv	1236	2530	3064	1861
SM-4JPUY_vs_LP6005333-DNA_B01__pv	6598	7039	6329	12665
SM-4JPUZ_vs_LP6005333-DNA_B01__pv	6474	6488	6369	12177
SM-4JPV1_vs_SM-4JPUS__pv	2680	2141	4410	8361
SM-4JPV2_vs_SM-4JPUS__pv	3911	2230	4897	9938
SS6003109_vs_SS6003108__pv	9234	1736	9097	3347
SS6003111_vs_SS6003110__pv	6286	4850	5180	8052
SS6003113_vs_SS6003112__pv	11418	796	850	4401
SS6003115_vs_SS6003114__pv	19948	2673	3826	4818
SS6003117_vs_SS6003116__pv	0	650	8944	1242
SS6003119_vs_SS6003118__pv	461	2099	1926	2095
SS6003121_vs_SS6003120__pv	37628	1562	4899	4759
SS6003125_vs_SS6003124__pv	11074	1491	2270	4645
SS6003129_vs_SS6003128__pv	14304	5313	5667	7941
SS6003131_vs_SS6003130__pv	504	2138	1525	3321
SS6003133_vs_SS6003132__pv	212	0	5483	9500
SS6003135_vs_SS6003134__pv	26531	2617	3768	2848
SS6003137_vs_SS6003136__pv	3033	3000	1545	6827
SS6003149_vs_SS6003148__pv	48453	6593	13812	1921
SS6003302_vs_SS6003301__pv	6867	2723	3935	4975
SS6003303_vs_SS6003301__pv	4738	1619	2726	3699
SS6003305_vs_SS6003304__pv	547	2730	6754	3057
SS6003306_vs_SS6003304__pv	614	2289	3797	2027
SS6003308_vs_SS6003307__pv	1289	2190	2922	2367
SS6003309_vs_SS6003307__pv	1390	2569	4174	3178
SS6003311_vs_SS6003310__pv	0	0	0	21234
SS6003312_vs_SS6003310__pv	0	0	0	19333
SS6003314_vs_SS6003313__pv	11087	2252	4613	2297
SS6003315_vs_SS6003313__pv	11164	2277	4620	2259
SS6003317_vs_SS6003316__pv	26691	3379	3310	4575
SS6003318_vs_SS6003316__pv	26757	3481	3511	4635
SS6003320_vs_SS6003319__pv	12952	4685	3897	4737
SS6003321_vs_SS6003319__pv	12581	4311	3451	4592
SS6003323_vs_SS6003322__pv	6682	5015	3876	4030
SS6003324_vs_SS6003322__pv	4900	4217	3595	3531
