Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H
LP6008280-DNA_B05_vs_LP6008264-DNA_A05__pv	7392	3249	4943	3560	2389	7818	700	623
LP6008280-DNA_C01_vs_LP6008264-DNA_C01__pv	26932	3938	8341	3687	0	2942	1339	1382
LP6008280-DNA_C02_vs_LP6008264-DNA_C02__pv	11391	2913	9153	2395	2257	1362	1022	3502
LP6008280-DNA_C03_vs_LP6008264-DNA_C03__pv	2120	2329	1736	2929	0	8843	47	16256
LP6008280-DNA_C04_vs_LP6008264-DNA_B04__pv	0	53	0	24	76	0	72	4
LP6008280-DNA_C05_vs_LP6008264-DNA_B05__pv	1739	2390	939	3057	844	1624	648	361
LP6008280-DNA_C06_vs_LP6008264-DNA_B06__pv	4675	492	4467	1180	2239	1060	84	55
LP6008280-DNA_D02_vs_LP6008264-DNA_D02__pv	7326	2521	2890	996	4071	2108	1000	1417
LP6008280-DNA_D03_vs_LP6008264-DNA_H01__pv	0	146	0	142	36	4	53	3
LP6008280-DNA_D05_vs_LP6008264-DNA_E04__pv	3096	1284	2308	1854	845	893	394	521
LP6008280-DNA_E01_vs_LP6008264-DNA_E01__pv	11685	3417	0	2904	2115	3965	957	1091
LP6008280-DNA_E02_vs_LP6008264-DNA_E02__pv	10493	2633	10351	2841	5683	3126	525	2428
LP6008280-DNA_E03_vs_LP6008264-DNA_D03__pv	5210	1005	3326	972	1223	1304	312	477
LP6008280-DNA_E04_vs_LP6008264-DNA_D04__pv	9460	2164	3173	6299	527	6140	248	374
LP6008280-DNA_E05_vs_LP6008264-DNA_D05__pv	3214	821	5976	886	747	316	110	171
LP6008280-DNA_F01_vs_LP6008264-DNA_F01__pv	12290	8412	4153	2669	5752	5283	1606	1953
LP6008280-DNA_F02_vs_LP6008264-DNA_F02__pv	4498	4498	3447	5666	753	3544	1616	518
LP6008280-DNA_F03_vs_LP6008264-DNA_E03__pv	23185	0	22875	1585	4959	1949	658	1201
LP6008280-DNA_F05_vs_LP6008264-DNA_E05__pv	2334	1257	2463	1744	1170	2013	632	581
LP6008280-DNA_F06_vs_LP6008264-DNA_E06__pv	4033	1336	2036	3994	1528	2306	323	0
LP6008280-DNA_G01_vs_LP6008264-DNA_G01__pv	383	299	553	87	159	47	228	47
LP6008280-DNA_G02_vs_LP6008264-DNA_G02__pv	284	2095	257	1685	702	2252	967	788
LP6008280-DNA_G03_vs_LP6008264-DNA_F03__pv	718	1613	400	2568	1177	2142	817	527
LP6008280-DNA_G04_vs_LP6008264-DNA_F04__pv	1497	729	665	2066	1415	1481	648	1452
LP6008280-DNA_G05_vs_LP6008264-DNA_F05__pv	3553	2156	2323	3921	442	3083	639	606
LP6008280-DNA_G06_vs_LP6008264-DNA_F06__pv	61	825	3	881	264	542	81	133
LP6008280-DNA_H01_vs_LP6008264-DNA_H01__pv	1757	2781	986	3392	945	3660	1024	644
LP6008280-DNA_H02_vs_LP6008264-DNA_H02__pv	12605	7070	10124	1038	4031	3527	1391	2744
LP6008280-DNA_H04_vs_LP6008264-DNA_G04__pv	7440	2017	2203	4669	1463	2820	863	625
LP6008280-DNA_H05_vs_LP6008264-DNA_G05__pv	4062	1297	462	1738	1310	1671	499	279
LP6008280-DNA_H06_vs_LP6008264-DNA_G06__pv	11667	1379	8095	1841	2218	4892	218	864
LP6008334-DNA_A01_vs_LP6008335-DNA_A01__pv	62569	0	35506	0	40762	0	0	0
LP6008334-DNA_A03_vs_LP6008335-DNA_E02__pv	4725	2256	4454	3203	1319	4993	1782	8120
LP6008334-DNA_A04_vs_LP6008335-DNA_E03__pv	2177	4650	1436	4788	767	5737	1558	958
LP6008334-DNA_B01_vs_LP6008335-DNA_B01__pv	4456	1806	3019	3260	3220	3348	335	898
LP6008334-DNA_B02_vs_LP6008335-DNA_F01__pv	3765	2814	2088	1279	1896	3880	347	919
LP6008334-DNA_B03_vs_LP6008335-DNA_F02__pv	30390	3059	34373	35871	11868	8768	90070	0
LP6008334-DNA_C01_vs_LP6008335-DNA_C01__pv	3865	3840	1635	3660	846	4070	830	1233
LP6008334-DNA_C02_vs_LP6008335-DNA_G01__pv	2558	886	3355	3481	3670	7560	373	5494
LP6008334-DNA_C03_vs_LP6008335-DNA_G02__pv	2799	8134	4225	4355	0	2389	2089	1554
LP6008334-DNA_D01_vs_LP6008335-DNA_D01__pv	4062	2023	1182	2309	1673	2763	456	1406
LP6008334-DNA_D02_vs_LP6008335-DNA_H01__pv	5214	6690	8008	1438	4269	3992	1504	1979
LP6008334-DNA_D03_vs_LP6008335-DNA_H02__pv	13046	6997	6023	1732	3000	15792	1540	1781
LP6008334-DNA_E01_vs_LP6008335-DNA_A01__pv	2867	1198	2662	828	0	452	196	1305
LP6008334-DNA_E02_vs_LP6008335-DNA_A02__pv	4322	2821	2191	2022	2484	4023	803	971
LP6008334-DNA_E03_vs_LP6008335-DNA_A03__pv	2962	5900	3028	3661	3683	5616	2072	1610
LP6008334-DNA_F01_vs_LP6008335-DNA_B01__pv	542	2229	485	5675	298	6332	305	152
LP6008334-DNA_F02_vs_LP6008335-DNA_B02__pv	6504	998	2594	1839	2048	2998	254	525
LP6008334-DNA_F03_vs_LP6008335-DNA_B03__pv	821	3015	243	4125	153	3250	448	495
LP6008334-DNA_G01_vs_LP6008335-DNA_C01__pv	1404	887	630	1045	487	1336	368	205
LP6008334-DNA_G02_vs_LP6008335-DNA_C02__pv	3530	2741	2690	1705	3149	2774	438	1203
LP6008334-DNA_G03_vs_LP6008335-DNA_C03__pv	0	2020	0	2496	491	1578	637	1477
LP6008334-DNA_H01_vs_LP6008335-DNA_D01__pv	2003	2310	790	2008	1510	2928	1106	697
LP6008334-DNA_H02_vs_LP6008335-DNA_D02__pv	1712	6387	1336	3462	1188	3578	1130	1044
LP6008334-DNA_H03_vs_LP6008335-DNA_D03__pv	6531	4631	7585	3522	1857	2747	936	3412
LP6008336-DNA_A01_vs_LP6008333-DNA_A01__pv	51	4488	137	2198	684	3554	935	664
LP6008336-DNA_A02_vs_LP6008333-DNA_A02__pv	0	1804	0	2111	429	1107	457	548
LP6008336-DNA_A03_vs_LP6008333-DNA_A03__pv	47	1377	1	860	441	1291	158	442
LP6008336-DNA_B01_vs_LP6008333-DNA_B01__pv	511	2164	295	2023	512	1792	306	1015
LP6008336-DNA_B02_vs_LP6008333-DNA_B02__pv	1915	1688	2221	3020	113	714	548	1093
LP6008336-DNA_B03_vs_LP6008333-DNA_B03__pv	59	672	0	674	166	111	100	38
LP6008336-DNA_C01_vs_LP6008333-DNA_C01__pv	315	3664	406	1671	706	6328	1271	1839
LP6008336-DNA_C02_vs_LP6008333-DNA_C02__pv	2582	736	1150	796	938	1518	182	129
LP6008336-DNA_C03_vs_LP6008333-DNA_C03__pv	572	2920	625	2393	628	2739	1131	1772
LP6008336-DNA_D01_vs_LP6008333-DNA_D01__pv	3377	8125	0	15111	4978	2301	35425	1004
LP6008336-DNA_D02_vs_LP6008333-DNA_D02__pv	0	89	0	36	25	0	21	0
LP6008336-DNA_D03_vs_LP6008333-DNA_D03__pv	12339	7351	7598	2177	0	5290	1286	2015
LP6008336-DNA_E01_vs_LP6008333-DNA_E01__pv	11530	3108	1107	1371	3735	3397	616	1314
LP6008336-DNA_E02_vs_LP6008333-DNA_E02__pv	20180	2625	18352	2958	0	2094	1198	982
LP6008336-DNA_E03_vs_LP6008333-DNA_E03__pv	300	1455	341	1204	712	552	328	333
LP6008336-DNA_F02_vs_LP6008333-DNA_F02__pv	1467	2962	641	1212	490	2452	924	2292
LP6008336-DNA_F03_vs_LP6008333-DNA_F03__pv	1337	3994	474	5196	2873	4113	759	8993
LP6008336-DNA_G01_vs_LP6008333-DNA_G01__pv	2124	2664	285	2358	1496	2351	250	442
LP6008336-DNA_G02_vs_LP6008333-DNA_G02__pv	1484	4047	3395	550	4339	1163	430	830
LP6008336-DNA_G03_vs_LP6008333-DNA_G03__pv	3831	6675	1210	1833	554	6513	1087	1617
LP6008336-DNA_H01_vs_LP6008333-DNA_H01__pv	3037	3171	1880	2946	2914	6946	1063	1516
LP6008336-DNA_H02_vs_LP6008333-DNA_H02__pv	0	26	0	43	27	0	35	0
LP6008336-DNA_H03_vs_LP6008333-DNA_H03__pv	53	965	774	2001	917	9313	64	833
LP6008337-DNA_A01_vs_LP6008338-DNA_A01__pv	1501	962	655	774	819	892	209	334
LP6008337-DNA_A02_vs_LP6008338-DNA_A02__pv	1684	1413	691	1357	901	1774	580	766
LP6008337-DNA_A03_vs_LP6008338-DNA_A03__pv	3562	3385	2943	1603	1719	2360	640	1714
LP6008337-DNA_A04_vs_LP6008338-DNA_A04__pv	1539	832	871	962	480	904	95	156
LP6008337-DNA_A06_vs_LP6008338-DNA_G05__pv	4426	2485	2336	2514	2761	4899	1229	1523
LP6008337-DNA_A07_vs_LP6008338-DNA_E06__pv	0	1649	0	910	0	401	220	9675
LP6008337-DNA_B02_vs_LP6008338-DNA_B02__pv	283	1171	305	1266	467	769	254	297
LP6008337-DNA_B03_vs_LP6008338-DNA_B03__pv	1679	1291	1049	1511	822	1421	269	360
LP6008337-DNA_B04_vs_LP6008338-DNA_B04__pv	0	474806	0	220401	211771	0	184907	20915
LP6008337-DNA_B05_vs_LP6008338-DNA_A05__pv	3498	1348	1770	1332	677	1275	179	296
LP6008337-DNA_B07_vs_LP6008338-DNA_F06__pv	2527	4645	1116	2837	1620	5955	1541	998
LP6008337-DNA_C01_vs_LP6008338-DNA_C01__pv	5600	2988	3180	3706	1038	2621	405	1181
LP6008337-DNA_C02_vs_LP6008338-DNA_C02__pv	34	1645	152	2257	269	2328	416	493
LP6008337-DNA_C03_vs_LP6008338-DNA_C03__pv	6150	1092	1967	3936	1114	3493	696	798
LP6008337-DNA_C04_vs_LP6008338-DNA_C04__pv	3009	1441	5344	1070	1286	1003	127	432
LP6008337-DNA_C05_vs_LP6008338-DNA_B05__pv	3856	1882	2045	1734	564	3404	380	376
LP6008337-DNA_D01_vs_LP6008338-DNA_D01__pv	753	1032	0	1730	520	1100	463	181
LP6008337-DNA_D02_vs_LP6008338-DNA_D02__pv	450	733	250	670	225	425	205	102
LP6008337-DNA_D03_vs_LP6008338-DNA_D03__pv	1462	2469	626	3244	949	2443	378	437
LP6008337-DNA_D04_vs_LP6008338-DNA_D04__pv	725	846	300	479	468	865	244	123
LP6008337-DNA_D05_vs_LP6008338-DNA_C05__pv	306	921	0	1785	189	1410	208	140
LP6008337-DNA_D06_vs_LP6008338-DNA_A06__pv	26491	3021	17408	2509	8747	11189	1249	1214
LP6008337-DNA_E01_vs_LP6008338-DNA_E01__pv	6321	957	2962	1655	643	1928	415	218
LP6008337-DNA_E03_vs_LP6008338-DNA_E03__pv	3497	1418	1735	1601	1596	1732	753	637
LP6008337-DNA_E04_vs_LP6008338-DNA_E04__pv	5108	1110	3951	2211	2226	5206	293	304
LP6008337-DNA_E05_vs_LP6008338-DNA_D05__pv	2683	740	2135	1681	1226	1127	248	136
LP6008337-DNA_F01_vs_LP6008338-DNA_F01__pv	300	581	75	575	239	511	126	169
LP6008337-DNA_F02_vs_LP6008338-DNA_F02__pv	3151	3023	2108	2874	1312	3083	677	909
LP6008337-DNA_F03_vs_LP6008338-DNA_F03__pv	3248	1322	1915	1670	1109	2486	101	307
LP6008337-DNA_F04_vs_LP6008338-DNA_F04__pv	8804	2198	5364	5165	3847	3666	122	0
LP6008337-DNA_F05_vs_LP6008338-DNA_E05__pv	4466	3804	3422	5774	2180	7940	943	1828
LP6008337-DNA_F06_vs_LP6008338-DNA_C06__pv	16415	860	8943	1642	3110	2229	281	521
LP6008337-DNA_G01_vs_LP6008338-DNA_G01__pv	2911	2515	1727	4159	983	3905	480	717
LP6008337-DNA_G02_vs_LP6008338-DNA_G02__pv	5425	1493	1641	1406	1184	2102	377	321
LP6008337-DNA_G03_vs_LP6008338-DNA_G03__pv	7258	2186	4060	2749	947	4159	607	637
LP6008337-DNA_G04_vs_LP6008338-DNA_G04__pv	5459	1633	46	3012	0	1433	396	170
LP6008337-DNA_G05_vs_LP6008338-DNA_F05__pv	3169	1566	655	1089	1066	1696	507	579
LP6008337-DNA_G06_vs_LP6008338-DNA_C06__pv	17717	1572	6863	3673	2748	3325	527	347
LP6008337-DNA_H01_vs_LP6008338-DNA_H01__pv	601	882	414	1803	287	1049	133	88
LP6008337-DNA_H02_vs_LP6008338-DNA_H02__pv	48212	863	34478	1865	6942	4390	609	662
LP6008337-DNA_H03_vs_LP6008338-DNA_H03__pv	2104	2114	858	1784	694	1309	588	184
LP6008337-DNA_H04_vs_LP6008338-DNA_H04__pv	4042	1077	4651	1347	1647	1428	260	413
LP6008337-DNA_H06_vs_LP6008338-DNA_D06__pv	13427	4297	14947	1574	2421	4057	1526	1753
LP6008341-DNA_A01_vs_LP6008340-DNA_A01__pv	4183	1610	3095	3689	154	3198	228	282
LP6008341-DNA_A03_vs_LP6008340-DNA_F02__pv	0	473999	0	220474	222028	0	181817	20466
LP6008341-DNA_B01_vs_LP6008340-DNA_B01__pv	10355	4326	12159	1065	774	2053	1137	2445
LP6008341-DNA_B03_vs_LP6008340-DNA_G02__pv	975	1000	491	1655	677	857	287	269
LP6008341-DNA_C01_vs_LP6008340-DNA_C01__pv	6660	369	3028	2203	3283	2009	168	1042
LP6008341-DNA_D01_vs_LP6008340-DNA_D01__pv	13903	1660	9101	4141	7681	5236	800	2233
LP6008341-DNA_D02_vs_LP6008340-DNA_A02__pv	0	84	4	62	24	4	39	11
LP6008341-DNA_E01_vs_LP6008340-DNA_E01__pv	3352	969	4067	809	1056	1294	223	859
LP6008341-DNA_E02_vs_LP6008340-DNA_B02__pv	9657	1133	4993	1242	2724	3110	281	379
LP6008341-DNA_F01_vs_LP6008340-DNA_F01__pv	2548	1371	2404	1743	944	2546	294	237
LP6008341-DNA_F02_vs_LP6008340-DNA_C02__pv	2149	2864	1957	2423	2328	2348	421	1228
LP6008341-DNA_G01_vs_LP6008340-DNA_G01__pv	3535	2549	2927	3466	1892	3086	1083	730
LP6008341-DNA_G02_vs_LP6008340-DNA_D02__pv	898	1337	635	1744	476	1045	260	382
LP6008341-DNA_H01_vs_LP6008340-DNA_H01__pv	10321	6017	10447	3790	1871	6073	2491	3352
LP6008341-DNA_H02_vs_LP6008340-DNA_E02__pv	3279	1360	4173	1621	0	1320	391	389
LP6008460-DNA_A01_vs_LP6008340-DNA_A02__pv	3566	4010	1989	4941	409	1073	0	1093
LP6008460-DNA_A02_vs_LP6008340-DNA_C04__pv	6778	1133	4571	3547	2886	2819	640	1261
LP6008460-DNA_A03_vs_LP6008340-DNA_G04__pv	3277	1987	2981	1579	3064	4031	1019	2460
LP6008460-DNA_A04_vs_LP6008340-DNA_D05__pv	2136	4679	1177	4557	363	3073	1383	1171
LP6008460-DNA_B01_vs_LP6008340-DNA_A03__pv	978	1781	710	6190	529	2093	285	1403
LP6008460-DNA_B02_vs_LP6008340-DNA_D02__pv	5600	7993	1965	4077	2238	4559	1614	1867
LP6008460-DNA_B03_vs_LP6008340-DNA_H03__pv	982	1812	338	3205	1334	2426	137	1503
LP6008460-DNA_B04_vs_LP6008340-DNA_F02__pv	0	425600	0	187252	197118	0	156239	19188
LP6008460-DNA_C01_vs_LP6008340-DNA_B03__pv	1860	5106	1326	2400	2612	5180	1723	6165
LP6008460-DNA_C02_vs_LP6008340-DNA_D03__pv	119	1620	113	1329	623	1746	720	1211
LP6008460-DNA_C03_vs_LP6008340-DNA_H05__pv	3533	2470	1716	2169	541	1190	819	723
LP6008460-DNA_C04_vs_LP6008340-DNA_F03__pv	3519	10304	0	19906	8920	1211	67204	0
LP6008460-DNA_D01_vs_LP6008340-DNA_E02__pv	2174	4330	17913	1602	0	1660	790	2947
LP6008460-DNA_D02_vs_LP6008340-DNA_E03__pv	822	4323	0	449	173	2931	1139	1086
LP6008460-DNA_D03_vs_LP6008340-DNA_A05__pv	1884	2241	1311	2828	1414	1481	640	1465
LP6008460-DNA_E01_vs_LP6008340-DNA_F04__pv	926	2751	1181	1990	941	2342	224	864
LP6008460-DNA_E02_vs_LP6008340-DNA_E04__pv	632	5676	0	2508	926	6122	832	2366
LP6008460-DNA_E03_vs_LP6008340-DNA_B06__pv	1987	4877	1119	4849	2308	9361	1129	1852
LP6008460-DNA_E04_vs_LP6008340-DNA_H02__pv	3729	3580	1690	3237	1045	3918	1004	1668
LP6008460-DNA_F01_vs_LP6008340-DNA_B02__pv	10204	1977	5367	2554	4370	3558	482	621
LP6008460-DNA_F02_vs_LP6008340-DNA_E05__pv	3229	3678	4162	4445	2395	13239	2710	1568
LP6008460-DNA_F03_vs_LP6008340-DNA_C03__pv	35329	320	18959	1281	6948	2156	231	100
LP6008460-DNA_F04_vs_LP6008340-DNA_H04__pv	3910	8587	1848	3608	1001	5164	1081	1550
LP6008460-DNA_G01_vs_LP6008340-DNA_B04__pv	5289	4456	4840	16006	8339	0	61512	434
LP6008460-DNA_G02_vs_LP6008340-DNA_G02__pv	3038	2938	2114	2714	2141	3930	1156	1314
LP6008460-DNA_G03_vs_LP6008340-DNA_C05__pv	10034	5519	8003	2456	0	2839	1967	1771
LP6008460-DNA_H01_vs_LP6008340-DNA_C02__pv	2609	2324	2424	2784	2217	2286	333	1456
LP6008460-DNA_H02_vs_LP6008340-DNA_G03__pv	4861	1149	2317	1500	1509	1314	358	387
LP6008460-DNA_H03_vs_LP6008340-DNA_D04__pv	7363	731	6704	2194	5630	3136	0	837
PD44724a_vs_PD44724b__pv	8395	2045	6219	4752	4131	3601	449	2475
PD44725a_vs_PD44725b__pv	2963	2364	2669	2813	1138	2009	929	577
PD44726a_vs_PD44726b__pv	2267	442	692	1439	951	1846	160	510
PD44727a_vs_PD44727b__pv	11092	6646	3688	3314	0	1331	526	1340
PD44728a_vs_PD44728b__pv	1744	4488	470	2914	1196	3397	1336	2309
PD44729a_vs_PD44729b__pv	371	2422	179	4280	1204	3553	461	742
PD44730a_vs_PD44730b__pv	4804	3369	2788	2697	1638	2637	655	1244
PD44731a_vs_PD44731b__pv	762	2223	648	4427	178	1738	538	918
PD44732a_vs_PD44732b__pv	59	464	45	2587	1742	1641	354	1051
PD44733a_vs_PD44733b__pv	0	5045	880	15455	4058	731	63696	839
PD44734a_vs_PD44734b__pv	6097	3343	2946	2766	4368	3958	772	1771
PD44735a_vs_PD44735b__pv	3915	2584	1969	5486	1665	4641	954	1283
PD44736a_vs_PD44736b__pv	2006	4771	3026	3248	925	3849	1726	1186
PD44737a_vs_PD44737b__pv	3039	4321	1996	4266	690	4941	624	1455
PD44738a_vs_PD44738b__pv	11369	9990	8118	4236	611	4150	1068	1588
PD44739a_vs_PD44739b__pv	4547	2269	2832	2434	3796	3729	289	514
PD44740a_vs_PD44740b__pv	39477	740	18300	1859	14735	3594	635	1342
PD44741a_vs_PD44741b__pv	814	3280	383	2712	1803	1784	772	1746
PD44742a_vs_PD44742b__pv	1970	5674	6022	1520	2448	3826	2733	4332
PD44743a_vs_PD44743b__pv	2348	2537	579	2997	1758	3441	526	929
PD44744a_vs_PD44744b__pv	14953	0	10152	3024	7145	1920	0	4739
PD44745a_vs_PD44745b__pv	18329	5747	8083	4795	5364	4760	812	3861
PD44746a_vs_PD44746b__pv	294	1617	151	1460	206	1759	750	658
PD44747a_vs_PD44747b__pv	3782	2195	3087	2090	976	2348	476	744
PD44749a_vs_PD44749b__pv	2739	1736	2683	790	1007	837	446	1229
PD44751a_vs_PD44751b__pv	1097	343	682	964	456	747	203	65
PD44752a_vs_PD44752b__pv	2393	1543	490	3300	1208	6359	55	882
PD44753a_vs_PD44753b__pv	472	2977	395	2043	1904	1778	958	1162
PD44758a_vs_PD44758b__pv	6829	2256	3086	1571	450	1124	1006	669
PD44759a_vs_PD44759b__pv	3074	3461	1815	2233	662	3561	1078	918
PD44760a_vs_PD44760b__pv	1852	3679	2970	2352	993	1837	621	837
PD44761a_vs_PD44761b__pv	860	4860	487	4907	445	2851	456	551
PD44762a_vs_PD44762b__pv	108	1716	111	2009	765	914	580	851
PD44763a_vs_PD44763b__pv	3134	2456	2056	3060	2432	3527	769	1160
PD44764a_vs_PD44764b__pv	842	4300	932	2133	0	1224	669	2844
PD44765a_vs_PD44765b__pv	17811	2456	26094	3299	3038	3117	1670	2867
PD44766a_vs_PD44766b__pv	2857	821	760	29601	0	0	57708	0
PD44767a_vs_PD44767b__pv	7661	5240	14713	1986	828	1753	2580	1852
PD44769a_vs_PD44769b__pv	243	2648	0	2190	693	2058	512	839
PD44770a_vs_PD44770b__pv	2593	0	4308	9917	0	1038	24370	593
PD44772a_vs_PD44772b__pv	3919	6608	1165	3031	1189	5578	1086	3593
PD44773a_vs_PD44773b__pv	4867	3305	2198	8534	2423	1931	0	258
PD44774a_vs_PD44774b__pv	152	2213	217	3493	411	410	117	1085
PD44775a_vs_PD44775b__pv	0	0	704	56049	0	706	49491	0
PD44776a_vs_PD44776b__pv	7758	3566	16935	734	8990	1919	0	1862
PD44777a_vs_PD44777b__pv	981	2647	314	3498	1017	4396	951	496
PD44778a_vs_PD44778b__pv	1842	6408	5766	3571	1232	1344	967	1603
PD44780a_vs_PD44780b__pv	59	1032	20	1650	538	2179	32	371
PD44781a_vs_PD44781b__pv	16855	1301	7282	2861	7341	2533	1539	2491
PD44782a_vs_PD44782b__pv	18530	931	16799	1982	6180	2981	314	3531
PD44783a_vs_PD44783b__pv	3662	9052	1634	685	764	2980	1636	707
PD44784a_vs_PD44784b__pv	818	5307	474	4206	874	6315	854	927
PD44785a_vs_PD44785b__pv	11458	1844	6286	1404	7214	2191	540	778
PD44786a_vs_PD44786b__pv	1081	1112	279	1466	692	713	405	572
PD44787a_vs_PD44787b__pv	935	2537	1181	3472	647	5274	407	895
PD44788a_vs_PD44788b__pv	2958	3916	1608	2460	1622	6392	921	2433
PD44789a_vs_PD44789b__pv	5421	5092	3569	3428	2001	3960	1507	3094
PD44790a_vs_PD44790b__pv	5734	2943	5876	1492	517	2944	1072	1261
PD44791a_vs_PD44791b__pv	4349	902	2077	1115	0	934	392	37
PD44792a_vs_PD44792b__pv	10814	475	12346	517	5745	3227	814	1754
PD44793a_vs_PD44793b__pv	467	1553	260	2884	784	2134	615	767
PD44794a_vs_PD44794b__pv	605	4633	0	1869	605	3085	602	2191
PD44795a_vs_PD44795b__pv	13293	0	13209	822	4874	2296	318	376
PD44796a_vs_PD44796b__pv	2582	8197	1946	3837	1883	3745	1539	1687
PD44797a_vs_PD44797b__pv	4431	4937	2623	4553	3066	7627	1760	1987
PD44798a_vs_PD44798b__pv	1556	1818	569	2414	839	2549	401	575
PD44799a_vs_PD44799b__pv	1917	2465	589	3362	876	3127	789	779
PD44800a_vs_PD44800b__pv	3920	2861	1785	3199	1206	4326	884	1590
PD44801a_vs_PD44801b__pv	5483	1234	2595	3822	546	3980	790	436
PD44802a_vs_PD44802b__pv	129	1306	208	1321	434	831	346	300
PD44803a_vs_PD44803b__pv	5920	5267	4290	4829	1875	7677	1256	1112
PD44804a_vs_PD44804b__pv	1149	995	771	1047	981	1073	314	211
PD44805a_vs_PD44805b__pv	12180	0	21573	2498	7217	1900	0	3330
PD44807a_vs_PD44807b__pv	231	2128	148	1544	1013	814	334	1241
PD44808a_vs_PD44808b__pv	910	5150	471	2206	0	2086	907	3205
PD44809a_vs_PD44809b__pv	1835	5190	1338	3216	232	2891	529	1217
PD44810a_vs_PD44810b__pv	5311	0	5239	3874	9603	2345	1156	3703
PD44811a_vs_PD44811b__pv	3584	2411	1585	1595	439	2361	1345	1118
PD44813a_vs_PD44813b__pv	3007	3063	3621	2442	1115	1495	1012	1000
PD44814a_vs_PD44814b__pv	953	6101	604	3047	510	3647	962	999
PD44815a_vs_PD44815b__pv	2417	3581	1572	1157	616	1721	1036	1896
PD44816a_vs_PD44816b__pv	2033	2618	786	4935	488	3454	852	789
PD44817a_vs_PD44817b__pv	0	2685	0	1195	1471	4872	821	1539
PD44818a_vs_PD44818b__pv	7138	2371	6359	1939	819	2159	929	960
PD44819a_vs_PD44819b__pv	20780	4349	13836	3186	3572	4647	1368	1709
PD44820a_vs_PD44820b__pv	1769	2152	1254	2736	313	2598	878	925
PD44821a_vs_PD44821b__pv	5683	2513	3658	3120	1558	3314	832	1365
PD44823a_vs_PD44823b__pv	1104	2151	381	1732	907	1444	659	1028
PD44824a_vs_PD44824b__pv	3502	3323	3944	5020	925	3586	898	2423
PD44825a_vs_PD44825b__pv	2827	11272	8695	28889	0	3399	62610	3340
PD44826a_vs_PD44826b__pv	2529	2847	1649	3601	1595	3820	1106	1319
PD44827a_vs_PD44827b__pv	1498	2487	1022	1425	468	2463	1590	916
PD44828a_vs_PD44828b__pv	11163	1071	6914	3655	3267	3863	692	688
PD44829a_vs_PD44829b__pv	4725	8218	1186	7271	1723	9797	1612	1909
PD44830a_vs_PD44830b__pv	4222	1819	1832	4351	617	7685	540	894
PD44831a_vs_PD44831b__pv	22739	0	11599	1839	15178	773	737	1653
PD44832a_vs_PD44832b__pv	0	0	4892	19450	0	5000	46259	2102
PD44833a_vs_PD44833b__pv	16227	1863	11048	1427	6588	3408	395	578
PD44834a_vs_PD44834b__pv	2097	4375	1751	2234	1453	1376	882	1670
PD44835a_vs_PD44835b__pv	2712	2710	992	1392	406	5019	703	1863
PD44836a_vs_PD44836b__pv	2366	6762	3014	6254	1838	3816	2306	1760
PD44837a_vs_PD44837b__pv	974	687	375	1066	646	1154	78	293
PD44838a_vs_PD44838b__pv	879	6779	229	4991	2076	5207	480	2680
PD44839a_vs_PD44839b__pv	482	3688	1525	3136	0	1646	773	2656
PD44840a_vs_PD44840b__pv	4264	2522	3376	2380	1893	2259	790	652
PD44841a_vs_PD44841b__pv	8546	6696	5794	18491	3697	1333	50349	1212
PD44842a_vs_PD44842b__pv	158	1156	546	2198	1366	2067	442	904
PD44843a_vs_PD44843b__pv	5073	5288	10036	4657	2487	4408	803	2082
PD44844a_vs_PD44844b__pv	275	1983	263	2453	203	3052	436	726
PD44845a_vs_PD44845b__pv	3414	1100	595	3513	2900	4056	168	1439
PD44846a_vs_PD44846b__pv	8655	892	382	1577	3915	2851	622	306
PD44847a_vs_PD44847b__pv	2866	2855	2271	3838	66	2004	559	714
PD44848a_vs_PD44848b__pv	9566	11194	13590	2802	1703	3742	3762	4728
PD44849a_vs_PD44849b__pv	462	3021	246	3589	2553	6140	1425	2012
PD44850a_vs_PD44850b__pv	4293	3239	7414	4904	2746	2090	622	1103
PD44851a_vs_PD44851b__pv	2991	2190	1638	3396	648	2101	942	2537
PD44852a_vs_PD44852b__pv	3024	6943	3153	3832	754	3238	1164	816
PD44853a_vs_PD44853b__pv	2300	530	1908	3213	1167	4360	515	487
PD44854a_vs_PD44854b__pv	2530	3007	1990	3074	1944	2913	594	1633
PD44855a_vs_PD44855b__pv	5610	3172	1338	2567	228	3633	977	1109
PD44856a_vs_PD44856b__pv	15327	1269	6212	3773	4046	2536	492	862
PD44857a_vs_PD44857b__pv	15492	2369	12267	2035	1626	1816	1189	741
PD44859a_vs_PD44859b__pv	5740	3053	7330	6506	3218	1251	27455	2082
PD44861a_vs_PD44861b__pv	3564	3002	2275	2386	4319	4149	1329	1602
PD44862a_vs_PD44862b__pv	457	2746	2056	1195	3224	441	747	6264
PD44863a_vs_PD44863b__pv	5524	895	4709	3227	11	4498	463	2584
PD44864a_vs_PD44864b__pv	8147	2317	5693	2073	1667	2328	829	1813
PD44904a_vs_PD44904b__pv	13183	9773	6465	2795	7221	4207	1517	811
PD44905a_vs_PD44905b__pv	981	5889	734	2128	2452	1789	1182	2915
PD44906a_vs_PD44906b__pv	1765	3092	1865	1318	3249	1803	456	637
PD44908a_vs_PD44908b__pv	6385	3193	7144	2798	908	1557	1197	1080
