Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H
LP6005935-DNA_G01_vs_LP6005934-DNA_G01__pv	5771	0	11114	3758	9488	1255	70	1216
LP6005935-DNA_G02_vs_LP6005979-DNA_C01__pv	823	3924	517	3013	994	8824	1035	1851
LP6005935-DNA_G03_vs_LP6005934-DNA_G03__pv	1174	2785	323	1222	41	2625	633	1329
LP6005935-DNA_H01_vs_LP6005934-DNA_H01__pv	8331	5515	3824	3046	3075	6365	480	1617
LP6005935-DNA_H02_vs_LP6005934-DNA_H02__pv	3212	7743	3111	3438	15	3526	1017	2458
LP6005935-DNA_H03_vs_LP6005934-DNA_H03__pv	1214	3149	0	18931	3669	2522	36182	0
LP6007358-DNA_A01_vs_LP6007553-DNA_A01__pv	2763	2280	1319	1928	1698	4422	592	1028
LP6007394-DNA_A01_vs_LP6007393-DNA_A01__pv	3712	2117	1936	2484	1741	1196	0	159
LP6007396-DNA_A01_vs_LP6007395-DNA_A01__pv	4116	3491	2486	3704	1943	2889	463	1514
LP6007398-DNA_A01_vs_LP6007397-DNA_A01__pv	2172	1896	648	2844	2601	1996	852	1655
LP6007399-DNA_A01_vs_LP6007397-DNA_A01__pv	2208	1887	681	2783	2320	1951	874	1586
LP6007401-DNA_A01_vs_LP6007400-DNA_A01__pv	10804	9785	9534	2185	490	3161	1669	1709
LP6007402-DNA_A01_vs_LP6007400-DNA_A01__pv	6446	642	4726	1232	2106	1618	225	312
LP6007404-DNA_A01_vs_LP6007403-DNA_A01__pv	487	2719	864	2876	838	3487	730	527
LP6007405-DNA_A01_vs_LP6007403-DNA_A01__pv	1570	751	928	795	521	1181	94	39
LP6007407-DNA_A01_vs_LP6007406-DNA_A01__pv	8608	847	5181	3849	8802	4669	350	1905
LP6007409-DNA_A01_vs_LP6007408-DNA_A01__pv	1614	3808	737	4293	129	2294	649	563
LP6007410-DNA_A01_vs_LP6007408-DNA_A01__pv	5442	2379	2922	3233	2065	3516	251	334
LP6007414-DNA_A02_vs_LP6007413-DNA_A02__pv	261	2301	331	2528	557	3318	813	889
LP6007416-DNA_A01_vs_LP6007415-DNA_A01__pv	1754	3097	867	3908	2248	4109	814	1933
