Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J	SBS96K	SBS96L	SBS96M	SBS96N	SBS96O	SBS96P	SBS96Q	SBS96R	SBS96S	SBS96T
LP6005334-DNA_E02_vs_LP6005333-DNA_E02__pv	1438	743	199	442	336	0	76	120	466	100	21	0	426	133	327	256	238	137	100	75
LP6005334-DNA_E03_vs_LP6005333-DNA_E03__pv	1171	1232	771	871	460	3300	511	670	798	664	708	584	2929	701	2343	522	1919	198	783	475
LP6005334-DNA_F01_vs_LP6005333-DNA_F01__pv	1874	1802	673	583	1852	2011	1456	4898	2431	1132	671	627	1065	682	755	629	1369	300	755	911
LP6005334-DNA_F02_vs_LP6005333-DNA_F02__pv	8918	5180	577	7391	178	1964	927	1723	2819	1920	1891	70	722	0	669	660	267	1914	554	759
LP6005334-DNA_F03_vs_LP6005333-DNA_F03__pv	201	175	271	113	209	285	118	238	329	68	186	41	198	74	200	76	25	66	0	22
LP6005334-DNA_G01_vs_LP6005333-DNA_G01__pv	3584	3431	0	2080	1924	215	820	2866	2755	1763	0	254	998	929	42	5494	3565	632	472	905
LP6005334-DNA_G02_vs_LP6005333-DNA_G02__pv	6352	6665	649	3006	1375	1497	825	2306	2914	628	765	564	2139	691	897	971	1241	0	527	465
LP6005334-DNA_G03_vs_LP6005333-DNA_G03__pv	1164	2450	420	976	655	706	420	1122	1606	510	222	41	862	58	192	650	510	0	0	91
LP6005334-DNA_H01_vs_LP6005333-DNA_H01__pv	2691	5097	495	2935	1081	1286	2285	2349	2037	732	208	643	1140	1812	301	2279	898	964	435	669
LP6005334-DNA_H02_vs_LP6005333-DNA_H02__pv	11151	14214	519	7146	542	1282	2590	2739	2708	953	786	23	1556	1203	713	819	504	228	351	604
LP6005334-DNA_H03_vs_LP6005333-DNA_H03__pv	18282	5719	87	4169	1473	134	634	2138	2459	821	185	1221	2083	1324	1535	592	808	0	564	804
LP6005335-DNA_A01_vs_LP6005333-DNA_A03__pv	2983	5299	525	1313	1229	851	407	1791	1166	516	398	454	746	146	419	523	266	515	66	526
LP6005409-DNA_A01_vs_LP6005408-DNA_A01__pv	0	0	494	142	608	351	265	747	491	511	243	261	396	0	25	1567	520	452	661	144
LP6005409-DNA_A02_vs_LP6005408-DNA_A02__pv	722	844	50	46	416	1222	614	1001	448	502	448	13	1701	532	602	390	455	0	407	415
LP6005409-DNA_A03_vs_LP6005408-DNA_A03__pv	9644	10325	0	6774	9291	3224	4194	1172	0	0	2306	0	0	1925	0	0	323	221	0	743
LP6005409-DNA_A04_vs_LP6005408-DNA_A04__pv	4148	3123	367	1438	515	568	1660	809	1173	187	528	368	461	646	484	967	949	0	395	645
LP6005409-DNA_B01_vs_LP6005408-DNA_B01__pv	21339	19315	166	13692	520	0	961	3938	833	219	837	298	864	2044	1273	633	535	1119	639	1395
LP6005409-DNA_B02_vs_LP6005408-DNA_B02__pv	944	491	756	495	2204	1410	805	1545	1477	895	288	264	1177	0	191	698	510	0	458	648
LP6005409-DNA_B04_vs_LP6005408-DNA_B04__pv	630	34	304	44	757	604	50	38	447	306	0	350	850	428	1948	783	2988	473	227	137
LP6005409-DNA_C01_vs_LP6005408-DNA_C01__pv	617	793	435	412	1515	366	515	377	850	346	0	545	478	85	454	802	455	69	184	329
LP6005409-DNA_C02_vs_LP6005408-DNA_C02__pv	477	816	178	203	575	211	308	1019	703	134	129	3	205	123	196	106	115	297	40	189
LP6005409-DNA_C04_vs_LP6005408-DNA_C04__pv	232	247	448	286	388	1981	385	360	834	451	255	506	1476	232	1130	499	380	0	639	316
LP6005409-DNA_D01_vs_LP6005408-DNA_D01__pv	11919	7366	919	3769	1780	1284	1909	1142	1358	587	121	826	1839	512	2287	638	963	46	623	481
LP6005409-DNA_D02_vs_LP6005408-DNA_D02__pv	8215	5462	1012	1828	2761	4259	2110	921	635	235	1349	757	1227	1247	1300	1018	1587	1296	136	1243
LP6005409-DNA_D03_vs_LP6005408-DNA_D03__pv	18683	9207	334	5508	1282	1478	1555	814	1379	511	836	720	1313	96	1243	830	887	1056	181	645
LP6005409-DNA_E01_vs_LP6005408-DNA_E01__pv	446	123	909	232	1121	930	638	725	1134	680	0	181	1127	0	270	651	677	0	255	282
LP6005409-DNA_E02_vs_LP6005408-DNA_E02__pv	747	851	473	464	1013	442	330	730	1030	379	202	433	373	295	539	704	325	284	321	323
LP6005409-DNA_E03_vs_LP6005408-DNA_E03__pv	8810	3196	978	2915	1745	2991	384	1385	1325	552	878	907	1989	660	2133	451	962	600	689	528
LP6005409-DNA_F01_vs_LP6005408-DNA_F01__pv	4361	8272	299	2557	1173	363	389	1763	982	455	374	245	412	1011	702	151	78	0	383	302
LP6005409-DNA_F02_vs_LP6005408-DNA_F02__pv	1678	2635	331	937	1131	417	214	1720	741	567	43	333	1149	643	163	1344	413	160	435	653
LP6005409-DNA_F03_vs_LP6005408-DNA_F03__pv	178	83	709	34	730	357	507	296	367	163	89	194	800	0	57	328	432	0	229	345
LP6005409-DNA_G02_vs_LP6005408-DNA_G02__pv	4120	5014	247	3124	500	833	775	403	0	107	435	343	1990	783	230	471	419	47	393	548
LP6005409-DNA_G03_vs_LP6005408-DNA_G03__pv	8823	6164	113	1062	1220	380	1013	976	1300	350	235	563	1748	1090	713	600	208	0	418	289
LP6005409-DNA_H01_vs_LP6005408-DNA_H01__pv	9	0	628	314	1994	897	267	56	1866	359	638	1426	331	0	674	429	267	693	288	449
LP6005409-DNA_H02_vs_LP6005408-DNA_H02__pv	2990	3696	69	1572	1007	1281	840	1364	1409	422	605	487	1069	725	391	305	353	618	454	466
