Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J	SBS96K	SBS96L	SBS96M	SBS96N	SBS96O	SBS96P	SBS96Q	SBS96R	SBS96S	SBS96T
LP6008269-DNA_B06_vs_LP6008268-DNA_C06__pv	4.98E+01	9.14E+01	1.09E+01	7.47E+01	1.20E+01	9.94E+00	1.44E+01	9.98E+00	2.82E+01	1.61E+01	1.71E+01	1.16E+01	1.58E+01	2.64E+01	7.99E+00	9.96E+00	3.43E+00	9.98E+01	6.33E+00	2.20E+01
LP6008269-DNA_B07_vs_LP6008268-DNA_B07__pv	2.05E+00	3.06E+00	1.17E+01	2.51E+00	8.36E+00	9.07E+00	7.15E+00	6.33E+00	2.87E+01	8.12E+00	1.37E+01	9.84E+00	2.27E+01	1.26E+01	4.59E+00	4.66E+00	2.78E+00	2.24E+01	4.66E+00	7.01E+00
LP6008269-DNA_B08_vs_LP6008268-DNA_B08__pv	1.94E+01	2.84E+01	5.64E+00	1.61E+01	3.97E+00	3.84E+00	4.27E+00	4.02E+00	8.62E+00	4.63E+00	7.12E+00	4.15E+00	6.58E+00	8.38E+00	3.91E+00	2.58E+00	2.06E+00	3.11E+01	4.10E+00	5.71E+00
LP6008269-DNA_B09_vs_LP6008268-DNA_B09__pv	5.68E+00	7.80E+00	7.92E+00	5.96E+00	8.46E+00	6.17E+00	8.35E+00	1.41E+01	1.50E+01	1.13E+01	8.88E+00	1.00E+01	1.29E+01	1.20E+01	4.29E+00	5.08E+00	2.53E+00	1.35E+01	4.09E+00	1.49E+01
LP6008269-DNA_B10_vs_LP6008268-DNA_B10__pv	1.54E+01	1.85E+01	7.17E+00	1.70E+01	1.52E+01	1.33E+01	1.43E+01	2.01E+01	3.32E+01	2.50E+01	2.89E+01	1.49E+01	3.05E+01	2.94E+01	9.94E+00	8.23E+00	3.90E+00	3.49E+01	8.08E+00	2.26E+01
LP6008269-DNA_C04_vs_LP6008268-DNA_E04__pv	7.11E+01	3.23E+02	1.74E+03	4.93E+02	1.16E+03	1.74E+03	1.43E+03	3.26E+02	6.62E+02	1.51E+03	1.73E+03	6.00E+02	6.05E+02	1.50E+03	9.91E+02	5.85E+02	3.38E+02	9.95E+02	3.66E+02	3.60E+02
LP6008269-DNA_C05_vs_LP6008268-DNA_E05__pv	5.51E+01	6.74E+01	6.44E+00	2.66E+01	9.38E+00	6.22E+00	7.37E+00	7.76E+00	1.81E+01	9.99E+00	9.74E+00	8.79E+00	1.16E+01	1.80E+01	7.41E+00	4.16E+00	3.06E+00	8.05E+01	5.73E+00	1.30E+01
LP6008269-DNA_C06_vs_LP6008268-DNA_D06__pv	1.24E+01	1.14E+01	1.59E+01	1.11E+01	8.51E+00	1.61E+01	1.13E+01	1.11E+01	2.12E+01	1.70E+01	8.71E+00	1.17E+01	2.34E+01	2.03E+01	1.08E+01	6.94E+00	7.32E+00	2.47E+01	1.24E+01	1.14E+01
LP6008269-DNA_C07_vs_LP6008268-DNA_C07__pv	8.34E+00	1.24E+01	7.86E+00	8.81E+00	7.74E+00	8.44E+00	1.41E+01	1.15E+01	1.54E+01	2.07E+01	1.13E+01	8.74E+00	1.30E+01	1.21E+01	4.51E+00	9.88E+00	3.73E+00	1.61E+01	5.20E+00	1.32E+01
LP6008269-DNA_C08_vs_LP6008268-DNA_C08__pv	4.20E+01	4.01E+01	1.00E+01	3.74E+01	1.14E+01	1.21E+01	1.25E+01	1.58E+01	2.35E+01	1.24E+01	1.26E+01	1.02E+01	2.00E+01	2.24E+01	6.78E+00	6.51E+00	4.09E+00	5.97E+01	6.19E+00	2.05E+01
LP6008269-DNA_C09_vs_LP6008268-DNA_C09__pv	4.62E+01	5.21E+01	6.02E+00	3.90E+01	4.50E+00	4.96E+00	4.83E+00	3.86E+00	9.99E+00	5.72E+00	9.43E+00	5.78E+00	7.33E+00	1.18E+01	5.85E+00	3.70E+00	3.46E+00	7.47E+01	3.95E+00	9.86E+00
LP6008269-DNA_C10_vs_LP6008268-DNA_C10__pv	1.51E+01	1.73E+01	5.95E+00	8.46E+00	6.96E+00	4.66E+00	5.68E+00	4.09E+00	1.29E+01	7.61E+00	7.10E+00	7.72E+00	1.18E+01	1.11E+01	3.96E+00	3.54E+00	1.79E+00	2.39E+01	3.60E+00	6.05E+00
LP6008269-DNA_D02_vs_LP6008268-DNA_F02__pv	1.38E+01	1.73E+01	1.24E+01	1.13E+01	1.19E+01	9.36E+00	1.23E+01	7.98E+00	2.80E+01	1.03E+01	1.36E+01	1.33E+01	2.91E+01	1.93E+01	7.10E+00	6.98E+00	4.44E+00	3.44E+01	5.65E+00	1.09E+01
LP6008269-DNA_D03_vs_LP6008268-DNA_F03__pv	1.62E+01	2.27E+01	8.63E+00	1.44E+01	8.65E+00	7.35E+00	9.05E+00	1.30E+01	1.61E+01	1.09E+01	1.31E+01	1.05E+01	1.32E+01	1.35E+01	4.56E+00	5.13E+00	2.53E+00	3.00E+01	4.57E+00	1.27E+01
LP6008269-DNA_D04_vs_LP6008268-DNA_F04__pv	3.70E+00	4.56E+00	3.73E+00	2.68E+00	3.51E+00	2.90E+00	3.19E+00	4.41E+00	6.37E+00	4.20E+00	3.85E+00	3.61E+00	5.44E+00	5.12E+00	2.45E+00	2.14E+00	1.05E+00	6.55E+00	2.23E+00	4.60E+00
LP6008269-DNA_D05_vs_LP6008268-DNA_F05__pv	4.62E+01	2.04E+01	2.71E+01	5.22E+01	9.19E+01	1.28E+01	3.13E+01	2.11E+01	4.99E+01	2.07E+02	2.32E+02	1.01E+02	2.26E+01	1.37E+02	6.84E+00	1.05E+01	3.96E+00	1.11E+02	1.39E+01	3.11E+01
LP6008269-DNA_D06_vs_LP6008268-DNA_E06__pv	1.31E+01	1.47E+01	6.15E+00	5.94E+00	5.34E+00	5.39E+00	5.75E+00	7.66E+00	1.09E+01	6.12E+00	7.23E+00	5.84E+00	9.80E+00	8.74E+00	4.84E+00	3.57E+00	2.18E+00	1.74E+01	4.39E+00	8.73E+00
LP6008269-DNA_D07_vs_LP6008268-DNA_D07__pv	2.82E+01	3.45E+01	8.16E+00	2.31E+01	1.04E+01	7.71E+00	9.19E+00	1.51E+01	1.96E+01	1.18E+01	1.14E+01	1.17E+01	1.84E+01	1.62E+01	5.84E+00	4.91E+00	2.79E+00	4.92E+01	5.16E+00	1.63E+01
LP6008269-DNA_D08_vs_LP6008268-DNA_D08__pv	2.89E+02	3.29E+02	1.47E+01	1.42E+02	8.13E+00	1.22E+01	1.16E+01	1.09E+01	2.07E+01	1.22E+01	3.27E+01	1.55E+01	2.42E+01	5.48E+01	1.35E+01	8.75E+00	6.58E+00	4.22E+02	1.04E+01	3.35E+01
LP6008269-DNA_D09_vs_LP6008268-DNA_D09__pv	7.59E+01	3.13E+02	1.73E+03	4.90E+02	1.15E+03	1.73E+03	1.42E+03	3.29E+02	6.69E+02	1.49E+03	1.72E+03	6.06E+02	6.03E+02	1.51E+03	9.86E+02	5.80E+02	3.37E+02	9.96E+02	3.64E+02	3.57E+02
LP6008269-DNA_D10_vs_LP6008268-DNA_D10__pv	1.79E+01	2.04E+01	1.07E+01	1.11E+01	1.58E+01	1.14E+01	1.09E+01	1.63E+01	2.07E+01	1.63E+01	1.27E+01	1.85E+01	1.85E+01	1.82E+01	8.42E+00	5.63E+00	4.89E+00	2.49E+01	7.00E+00	1.70E+01
LP6008269-DNA_E01_vs_LP6008268-DNA_E01__pv	7.22E+00	1.17E+01	7.09E+00	7.97E+00	8.31E+00	7.01E+00	7.77E+00	1.11E+01	1.71E+01	1.12E+01	1.41E+01	7.83E+00	1.52E+01	1.55E+01	5.15E+00	4.31E+00	2.36E+00	1.49E+01	4.29E+00	1.27E+01
LP6008269-DNA_E02_vs_LP6008268-DNA_G02__pv	3.41E+01	4.05E+01	6.48E+00	1.94E+01	7.39E+00	4.72E+00	6.40E+00	5.15E+00	1.47E+01	6.91E+00	8.10E+00	8.79E+00	1.19E+01	1.15E+01	6.04E+00	5.56E+00	5.17E+00	5.26E+01	5.66E+00	8.60E+00
LP6008269-DNA_E03_vs_LP6008268-DNA_G03__pv	7.84E+00	8.08E+00	7.08E+00	4.11E+00	9.03E+00	6.40E+00	7.04E+00	6.90E+00	2.02E+01	6.97E+00	1.08E+01	9.63E+00	1.87E+01	1.38E+01	5.39E+00	4.10E+00	2.42E+00	1.79E+01	3.85E+00	9.22E+00
LP6008269-DNA_E04_vs_LP6008268-DNA_G04__pv	6.94E+01	1.05E+02	1.03E+01	7.41E+01	1.02E+01	8.25E+00	7.83E+00	1.47E+01	2.23E+01	9.04E+00	1.94E+01	1.09E+01	1.76E+01	2.70E+01	7.59E+00	4.83E+00	3.49E+00	1.29E+02	4.83E+00	2.08E+01
LP6008269-DNA_E06_vs_LP6008268-DNA_F06__pv	3.07E+00	3.58E+00	1.05E+01	3.45E+00	7.19E+00	5.66E+00	6.63E+00	4.22E+00	2.30E+01	6.44E+00	1.10E+01	8.96E+00	1.86E+01	1.16E+01	4.84E+00	3.76E+00	1.61E+00	1.85E+01	3.60E+00	4.69E+00
LP6008269-DNA_E07_vs_LP6008268-DNA_E07__pv	2.76E+01	3.53E+01	4.79E+01	2.37E+01	9.36E+01	1.49E+01	3.97E+01	2.05E+01	4.67E+01	3.28E+02	3.27E+02	1.11E+02	3.13E+01	2.14E+02	1.04E+01	9.60E+00	5.56E+00	4.17E+01	1.07E+01	3.54E+01
LP6008269-DNA_E08_vs_LP6008268-DNA_E08__pv	1.62E+01	1.89E+01	6.91E+00	1.10E+01	4.68E+00	7.35E+00	5.64E+00	6.25E+00	9.78E+00	6.75E+00	7.32E+00	6.36E+00	9.73E+00	7.88E+00	5.16E+00	4.04E+00	3.86E+00	2.28E+01	4.60E+00	6.95E+00
LP6008269-DNA_E09_vs_LP6008268-DNA_E09__pv	3.03E+00	3.61E+00	5.20E+00	2.55E+00	4.80E+00	4.44E+00	4.07E+00	3.47E+00	1.27E+01	3.55E+00	6.65E+00	5.65E+00	8.82E+00	6.77E+00	3.41E+00	2.79E+00	1.85E+00	8.75E+00	2.89E+00	3.44E+00
LP6008269-DNA_E10_vs_LP6008268-DNA_E10__pv	2.59E+01	3.81E+01	8.66E+00	2.13E+01	5.99E+00	1.01E+01	9.61E+00	1.40E+01	1.52E+01	1.13E+01	1.01E+01	7.82E+00	1.54E+01	1.23E+01	6.91E+00	7.53E+00	3.95E+00	4.55E+01	6.24E+00	1.28E+01
LP6008269-DNA_F01_vs_LP6008268-DNA_H01__pv	3.33E+00	4.20E+00	4.49E+00	3.28E+00	3.02E+00	3.01E+00	3.35E+00	2.46E+00	7.47E+00	3.73E+00	3.91E+00	3.70E+00	6.31E+00	4.46E+00	2.22E+00	1.71E+00	1.25E+00	7.15E+00	2.03E+00	2.61E+00
LP6008269-DNA_F02_vs_LP6008268-DNA_H02__pv	1.38E+01	1.81E+01	7.44E+00	9.49E+00	6.16E+00	8.61E+00	7.45E+00	7.83E+00	1.66E+01	6.42E+00	8.85E+00	6.86E+00	1.61E+01	1.19E+01	5.45E+00	4.94E+00	3.02E+00	2.71E+01	4.90E+00	7.95E+00
LP6008269-DNA_F03_vs_LP6008268-DNA_H03__pv	1.42E+01	1.84E+01	8.57E+00	1.06E+01	8.06E+00	7.13E+00	1.27E+01	1.31E+01	1.65E+01	9.90E+00	9.53E+00	9.12E+00	1.43E+01	1.18E+01	4.68E+00	9.18E+00	4.32E+00	1.60E+01	5.10E+00	1.42E+01
LP6008269-DNA_F04_vs_LP6008268-DNA_H04__pv	7.94E+00	8.68E+00	6.02E+00	3.67E+00	6.73E+00	4.38E+00	6.11E+00	1.15E+01	1.24E+01	6.79E+00	7.23E+00	8.42E+00	1.01E+01	7.56E+00	3.46E+00	4.18E+00	3.19E+00	1.31E+01	3.38E+00	1.32E+01
LP6008269-DNA_F06_vs_LP6008268-DNA_G06__pv	7.03E+00	9.42E+00	7.14E+00	5.60E+00	5.54E+00	6.67E+00	5.92E+00	7.51E+00	1.44E+01	6.58E+00	8.03E+00	6.61E+00	1.16E+01	8.02E+00	3.67E+00	3.45E+00	2.76E+00	1.35E+01	4.00E+00	7.60E+00
LP6008269-DNA_F07_vs_LP6008268-DNA_F07__pv	2.18E+00	1.59E+00	4.19E+00	2.10E+00	3.89E+00	3.70E+00	3.33E+00	1.07E+00	5.24E+00	4.27E+00	3.47E+00	4.90E+00	3.19E+00	5.08E+00	3.13E+00	2.01E+00	1.58E+00	5.74E+00	2.78E+00	2.60E+00
LP6008269-DNA_F08_vs_LP6008268-DNA_F08__pv	3.20E+01	5.42E+01	7.78E+00	3.11E+01	4.95E+00	7.33E+00	6.70E+00	6.43E+00	1.11E+01	9.73E+00	1.18E+01	6.80E+00	1.01E+01	1.25E+01	5.98E+00	4.86E+00	3.81E+00	5.46E+01	6.14E+00	9.20E+00
LP6008269-DNA_F09_vs_LP6008268-DNA_F09__pv	8.34E+00	9.87E+00	6.52E+00	5.86E+00	8.98E+00	6.66E+00	6.64E+00	5.55E+00	1.58E+01	6.86E+00	9.05E+00	8.91E+00	1.28E+01	1.35E+01	4.32E+00	4.04E+00	2.38E+00	1.26E+01	4.91E+00	8.13E+00
LP6008269-DNA_G01_vs_LP6008268-DNA_A02__pv	3.28E+01	2.57E+01	5.09E+00	2.41E+01	3.32E+00	4.10E+00	3.64E+00	2.57E+00	8.00E+00	4.27E+00	5.81E+00	4.26E+00	5.98E+00	7.18E+00	3.68E+00	1.97E+00	1.81E+00	4.27E+01	2.41E+00	5.83E+00
LP6008269-DNA_G02_vs_LP6008268-DNA_A03__pv	8.34E+00	1.09E+01	6.44E+00	6.52E+00	5.32E+00	5.54E+00	8.59E+00	5.41E+00	1.08E+01	1.26E+01	8.34E+00	5.90E+00	7.81E+00	8.16E+00	3.84E+00	6.31E+00	2.51E+00	1.06E+01	3.76E+00	7.07E+00
LP6008269-DNA_G03_vs_LP6008268-DNA_A04__pv	8.02E+01	8.92E+01	9.62E+00	8.17E+01	7.47E+00	1.04E+01	6.50E+00	1.27E+01	2.54E+01	8.73E+00	1.73E+01	9.85E+00	1.80E+01	2.36E+01	8.05E+00	4.43E+00	3.68E+00	1.31E+02	5.33E+00	2.41E+01
LP6008269-DNA_G04_vs_LP6008268-DNA_A05__pv	5.74E+00	7.40E+00	6.68E+00	6.12E+00	7.04E+00	4.86E+00	5.08E+00	3.50E+00	1.63E+01	5.54E+00	8.28E+00	8.24E+00	1.57E+01	1.04E+01	3.39E+00	3.19E+00	1.77E+00	1.64E+01	3.43E+00	5.92E+00
LP6008269-DNA_G06_vs_LP6008268-DNA_H06__pv	7.77E+01	8.72E+01	8.87E+00	5.82E+01	8.27E+00	7.59E+00	7.41E+00	7.24E+00	1.69E+01	1.11E+01	1.45E+01	1.01E+01	1.10E+01	1.74E+01	7.58E+00	5.36E+00	4.58E+00	1.28E+02	6.95E+00	1.60E+01
LP6008269-DNA_G07_vs_LP6008268-DNA_G07__pv	4.61E+01	5.30E+01	5.72E+00	2.41E+01	4.27E+00	4.62E+00	3.92E+00	3.20E+00	1.10E+01	4.41E+00	8.02E+00	5.50E+00	9.59E+00	1.13E+01	4.70E+00	2.72E+00	2.15E+00	6.54E+01	3.41E+00	6.70E+00
LP6008269-DNA_G08_vs_LP6008268-DNA_G08__pv	1.53E+01	2.11E+01	9.68E+00	1.68E+01	7.23E+00	9.99E+00	6.05E+00	6.57E+00	2.37E+01	7.60E+00	1.08E+01	9.30E+00	1.98E+01	1.31E+01	5.50E+00	4.41E+00	2.92E+00	3.28E+01	5.44E+00	7.31E+00
LP6008269-DNA_G09_vs_LP6008268-DNA_G09__pv	8.68E-02	1.15E-01	4.89E-01	1.48E-02	3.11E-01	2.83E-01	2.20E-01	1.74E-01	7.45E-02	1.07E-01	2.17E-01	3.90E-01	2.55E-01	2.02E-01	9.19E-02	3.37E-02	6.01E-02	1.67E-01	9.87E-02	9.08E-02
LP6008269-DNA_H01_vs_LP6008268-DNA_B02__pv	9.31E-01	1.20E+00	2.60E+00	7.54E-01	1.70E+00	1.83E+00	1.82E+00	9.49E-01	4.48E+00	1.19E+00	2.44E+00	1.70E+00	3.37E+00	1.92E+00	9.24E-01	1.04E+00	6.64E-01	2.94E+00	1.34E+00	7.12E-01
LP6008269-DNA_H02_vs_LP6008268-DNA_B03__pv	6.51E+01	8.94E+01	7.98E+00	8.28E+01	8.12E+00	8.11E+00	9.25E+00	5.83E+00	1.94E+01	1.16E+01	1.84E+01	8.45E+00	1.56E+01	1.98E+01	4.19E+00	6.21E+00	2.97E+00	1.16E+02	5.39E+00	1.98E+01
LP6008269-DNA_H03_vs_LP6008268-DNA_B04__pv	1.16E+01	1.18E+01	6.06E+00	6.12E+00	8.00E+00	4.74E+00	6.12E+00	4.35E+00	1.42E+01	7.36E+00	8.25E+00	7.91E+00	1.31E+01	1.36E+01	5.07E+00	4.93E+00	4.26E+00	1.56E+01	4.05E+00	7.57E+00
LP6008269-DNA_H05_vs_LP6008268-DNA_A06__pv	2.03E+01	2.74E+01	1.37E+01	2.40E+01	1.28E+01	1.33E+01	1.50E+01	1.40E+01	3.34E+01	1.22E+01	1.70E+01	1.44E+01	3.18E+01	2.26E+01	8.31E+00	9.16E+00	5.17E+00	4.39E+01	7.02E+00	1.55E+01
LP6008269-DNA_H06_vs_LP6008268-DNA_A07__pv	2.31E+01	3.79E+01	1.39E+01	2.51E+01	1.26E+01	8.64E+00	9.03E+00	1.05E+01	3.43E+01	8.74E+00	1.84E+01	1.54E+01	3.08E+01	2.17E+01	9.25E+00	6.43E+00	3.28E+00	4.83E+01	5.81E+00	1.12E+01
LP6008269-DNA_H07_vs_LP6008268-DNA_H07__pv	4.52E+01	3.58E+01	6.47E+00	2.86E+01	7.53E+00	5.65E+00	7.08E+00	5.36E+00	1.66E+01	7.17E+00	8.48E+00	6.83E+00	9.48E+00	1.51E+01	6.34E+00	4.60E+00	2.71E+00	5.35E+01	3.39E+00	1.16E+01
LP6008269-DNA_H08_vs_LP6008268-DNA_H08__pv	2.32E+01	2.25E+01	2.24E+00	2.27E+01	1.22E+01	2.66E+01	1.24E+01	1.34E+01	3.42E+01	1.70E+01	2.51E+01	1.46E+01	2.49E+01	2.12E+01	3.92E+01	1.08E+01	1.52E+01	4.06E+01	1.37E+01	3.09E+01
LP6008269-DNA_H09_vs_LP6008268-DNA_H09__pv	2.33E+02	1.63E+02	1.49E+01	1.89E+02	6.88E+00	9.74E+00	1.43E+01	4.39E+00	1.05E+01	1.47E+01	2.97E+01	1.24E+01	1.93E+01	4.03E+01	1.50E+01	1.14E+01	5.55E+00	1.97E+02	6.88E+00	2.95E+01
LP6008280-DNA_A01_vs_LP6008264-DNA_A01__pv	1.31E+01	1.47E+01	6.84E+00	8.39E+00	6.71E+00	6.40E+00	7.64E+00	1.03E+01	1.48E+01	7.55E+00	7.70E+00	7.57E+00	8.47E+00	1.05E+01	4.56E+00	5.07E+00	2.97E+00	1.62E+01	4.45E+00	1.20E+01
LP6008280-DNA_A02_vs_LP6008264-DNA_A02__pv	1.30E+01	2.13E+01	5.98E+00	1.60E+01	3.69E+00	6.38E+00	4.84E+00	5.85E+00	7.85E+00	6.39E+00	7.21E+00	4.65E+00	7.98E+00	7.18E+00	3.80E+00	3.08E+00	2.92E+00	2.33E+01	3.76E+00	7.61E+00
LP6008280-DNA_A03_vs_LP6008264-DNA_A03__pv	7.01E+00	8.43E+00	8.39E+00	5.60E+00	9.04E+00	7.77E+00	1.30E+01	1.07E+01	1.64E+01	1.43E+01	1.35E+01	1.09E+01	1.07E+01	1.23E+01	4.46E+00	9.29E+00	2.84E+00	1.06E+01	6.03E+00	1.14E+01
LP6008280-DNA_A04_vs_LP6008264-DNA_H03__pv	2.17E+01	1.85E+01	7.31E+00	1.44E+01	4.52E+00	7.77E+00	5.42E+00	5.08E+00	1.18E+01	6.18E+00	1.26E+01	6.45E+00	1.31E+01	1.20E+01	1.03E+01	4.73E+00	5.03E+00	2.83E+01	5.24E+00	7.91E+00
LP6008280-DNA_A05_vs_LP6008264-DNA_H04__pv	9.90E+00	1.14E+01	4.37E+00	4.90E+00	3.16E+00	3.06E+00	3.10E+00	3.76E+00	6.11E+00	3.28E+00	4.27E+00	3.65E+00	5.36E+00	4.81E+00	2.86E+00	1.92E+00	1.15E+00	1.07E+01	2.63E+00	4.66E+00
LP6008280-DNA_A07_vs_LP6008264-DNA_H06__pv	8.60E+00	1.37E+01	4.82E+00	8.63E+00	3.50E+00	3.65E+00	3.12E+00	2.87E+00	6.30E+00	3.07E+00	5.29E+00	4.59E+00	5.04E+00	5.91E+00	2.74E+00	2.11E+00	1.36E+00	1.41E+01	2.45E+00	3.65E+00
LP6008280-DNA_B01_vs_LP6008264-DNA_B01__pv	2.87E+01	2.20E+01	1.63E+01	2.57E+01	3.52E+01	1.25E+01	2.94E+01	2.11E+01	5.31E+01	2.67E+02	2.56E+02	7.10E+01	1.87E+01	1.01E+02	2.46E+00	1.10E+01	3.68E+00	7.22E+01	1.20E+01	5.28E+01
LP6008280-DNA_B02_vs_LP6008264-DNA_B02__pv	9.99E-01	1.80E+00	7.29E+00	1.64E+00	6.04E+00	4.70E+00	5.76E+00	5.23E+00	1.45E+01	5.84E+00	7.38E+00	7.66E+00	1.30E+01	9.58E+00	2.24E+00	3.62E+00	1.59E+00	1.21E+01	3.63E+00	5.52E+00
LP6008280-DNA_B03_vs_LP6008264-DNA_B03__pv	4.76E+00	5.44E+00	5.14E+00	3.42E+00	5.01E+00	4.52E+00	6.14E+00	8.56E+00	9.53E+00	6.25E+00	6.91E+00	5.79E+00	5.75E+00	7.73E+00	3.45E+00	9.04E+00	8.40E+00	7.70E+00	4.03E+00	9.72E+00
LP6008280-DNA_B04_vs_LP6008264-DNA_A04__pv	1.90E-01	3.70E-01	8.94E-01	3.44E-01	3.18E-01	5.07E-01	2.48E-01	1.77E-01	9.84E-02	5.44E-02	8.38E-01	4.80E-01	1.78E-01	6.46E-01	1.80E-01	2.20E-01	9.01E-02	2.62E-01	5.52E-02	4.38E-02
LP6008280-DNA_B05_vs_LP6008264-DNA_A05__pv	2.89E+01	4.00E+01	1.21E+01	2.82E+01	1.14E+01	8.97E+00	9.90E+00	2.98E+01	2.32E+01	1.25E+01	1.82E+01	1.46E+01	2.30E+01	1.58E+01	6.26E+00	5.79E+00	3.51E+00	5.52E+01	5.87E+00	2.95E+01
LP6008280-DNA_C01_vs_LP6008264-DNA_C01__pv	9.94E+01	1.30E+02	1.03E+01	5.39E+01	7.58E+00	8.61E+00	9.60E+00	7.21E+00	1.53E+01	1.63E+01	1.90E+01	1.12E+01	1.25E+01	2.41E+01	6.92E+00	6.98E+00	3.37E+00	1.41E+02	7.36E+00	1.08E+01
LP6008280-DNA_C02_vs_LP6008264-DNA_C02__pv	4.65E+01	5.55E+01	8.67E+00	3.42E+01	6.99E+00	6.72E+00	7.81E+00	4.88E+00	1.29E+01	1.05E+01	1.51E+01	9.10E+00	9.15E+00	1.33E+01	7.07E+00	7.98E+00	7.37E+00	7.34E+01	4.74E+00	9.96E+00
LP6008280-DNA_C03_vs_LP6008264-DNA_C03__pv	1.35E+01	1.51E+01	1.10E+01	7.18E+00	1.40E+01	5.68E+00	1.06E+01	4.52E+01	2.04E+01	1.81E+01	2.02E+01	1.13E+01	1.12E+01	1.93E+01	6.26E+00	4.41E+01	4.11E+01	1.77E+01	1.05E+01	4.61E+01
LP6008280-DNA_C04_vs_LP6008264-DNA_B04__pv	3.05E-02	1.92E-01	1.15E+00	4.37E-01	3.86E-01	6.49E-01	4.78E-01	4.57E-02	9.99E-03	2.22E-01	1.01E+00	6.73E-01	1.13E-01	9.96E-01	1.60E-02	2.45E-01	1.58E-01	3.59E-01	1.25E-01	1.09E-01
LP6008280-DNA_C05_vs_LP6008264-DNA_B05__pv	7.51E+00	1.00E+01	7.12E+00	7.21E+00	5.86E+00	5.34E+00	5.59E+00	6.13E+00	1.16E+01	5.93E+00	9.69E+00	7.57E+00	9.36E+00	8.11E+00	3.56E+00	3.22E+00	2.10E+00	1.46E+01	3.58E+00	5.75E+00
LP6008280-DNA_C06_vs_LP6008264-DNA_B06__pv	2.18E+01	2.48E+01	5.30E+00	2.36E+01	3.54E+00	3.53E+00	3.23E+00	3.83E+00	7.81E+00	2.62E+00	8.14E+00	4.78E+00	6.91E+00	8.45E+00	3.43E+00	2.18E+00	1.59E+00	3.53E+01	2.72E+00	7.24E+00
LP6008280-DNA_D02_vs_LP6008264-DNA_D02__pv	2.09E+01	3.61E+01	8.24E+00	2.77E+01	6.15E+00	7.55E+00	8.25E+00	8.31E+00	1.29E+01	1.01E+01	1.27E+01	6.92E+00	9.98E+00	1.47E+01	4.67E+00	6.74E+00	3.11E+00	4.14E+01	5.02E+00	9.16E+00
LP6008280-DNA_D03_vs_LP6008264-DNA_H01__pv	1.48E-01	9.85E-02	1.22E+00	1.14E-01	6.92E-01	7.33E-01	7.38E-01	2.40E-01	1.18E+00	4.73E-01	9.09E-01	9.23E-01	7.82E-01	8.42E-01	5.31E-01	3.53E-01	2.17E-01	6.51E-01	3.22E-01	1.98E-01
LP6008280-DNA_D05_vs_LP6008264-DNA_E04__pv	1.29E+01	1.53E+01	6.35E+00	1.06E+01	3.97E+00	3.84E+00	4.21E+00	3.27E+00	8.16E+00	4.33E+00	8.66E+00	5.22E+00	6.46E+00	7.37E+00	3.30E+00	2.91E+00	2.06E+00	2.00E+01	2.83E+00	4.01E+00
LP6008280-DNA_E01_vs_LP6008264-DNA_E01__pv	3.96E+01	5.77E+01	8.58E+00	3.29E+01	6.86E+00	8.55E+00	1.03E+01	9.45E+00	1.39E+01	1.67E+01	1.40E+01	7.88E+00	1.13E+01	1.48E+01	4.91E+00	7.45E+00	2.76E+00	5.13E+01	5.72E+00	1.13E+01
LP6008280-DNA_E02_vs_LP6008264-DNA_E02__pv	5.21E+01	4.70E+01	1.09E+01	4.71E+01	5.99E+00	9.79E+00	1.04E+01	8.24E+00	1.47E+01	1.42E+01	1.70E+01	9.90E+00	1.00E+01	1.66E+01	6.54E+00	8.27E+00	5.96E+00	7.32E+01	5.20E+00	1.28E+01
LP6008280-DNA_E03_vs_LP6008264-DNA_D03__pv	2.10E+01	2.92E+01	4.82E+00	1.76E+01	3.51E+00	4.24E+00	5.06E+00	3.61E+00	7.88E+00	5.64E+00	6.01E+00	3.49E+00	7.62E+00	8.40E+00	4.00E+00	3.23E+00	1.59E+00	3.77E+01	3.41E+00	5.75E+00
LP6008280-DNA_E04_vs_LP6008264-DNA_D04__pv	3.45E+01	4.70E+01	9.97E+00	2.59E+01	1.11E+01	7.32E+00	8.46E+00	2.36E+01	2.22E+01	1.16E+01	1.46E+01	1.26E+01	1.92E+01	1.67E+01	6.15E+00	5.35E+00	2.74E+00	5.60E+01	4.90E+00	2.48E+01
LP6008280-DNA_E05_vs_LP6008264-DNA_D05__pv	2.68E+01	2.25E+01	4.42E+00	1.66E+01	2.71E+00	3.23E+00	2.61E+00	2.03E+00	4.93E+00	2.14E+00	4.61E+00	3.82E+00	4.08E+00	5.27E+00	2.97E+00	1.75E+00	1.62E+00	3.50E+01	2.56E+00	4.63E+00
LP6008280-DNA_F01_vs_LP6008264-DNA_F01__pv	3.14E+01	5.44E+01	1.65E+01	3.77E+01	1.04E+01	1.51E+01	1.56E+01	1.86E+01	3.39E+01	2.08E+01	2.36E+01	1.27E+01	2.77E+01	2.27E+01	1.21E+01	1.10E+01	5.51E+00	5.92E+01	8.73E+00	1.78E+01
