Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J	SBS96K	SBS96L	SBS96M
LP6008221-DNA_F02_vs_LP6008220-DNA_F02__pv	3100	173	8692	0	0	2192	437	31934	6629	159	1946	2158	1383
LP6008221-DNA_F03_vs_LP6008220-DNA_F03__pv	7041	7437	1327	2399	1694	1644	4379	2600	4278	2311	2341	0	930
LP6008221-DNA_G01_vs_LP6008220-DNA_G01__pv	50	47	969	1928	685	842	84	333	2066	396	289	567	673
LP6008221-DNA_G02_vs_LP6008220-DNA_G02__pv	3112	1908	436	1535	1593	1500	965	925	1632	4023	1535	415	731
LP6008221-DNA_G03_vs_LP6008220-DNA_H02__pv	463	580	363	430	602	269	234	72	491	442	217	258	179
LP6008221-DNA_H01_vs_LP6008220-DNA_H01__pv	1189	1564	426	0	2749	2978	1025	350	2190	1076	404	3051	270
LP6008221-DNA_H02_vs_LP6008220-DNA_H02__pv	1367	1269	1211	5396	1317	767	395	1070	1576	2075	2546	1219	1882
LP6008221-DNA_H03_vs_LP6008220-DNA_D03__pv	1172	1038	295	429	543	184	251	88	474	542	223	122	29
LP6008267-DNA_A01_vs_LP6008266-DNA_A01__pv	17999	12565	460	1368	2575	1391	9026	443	1966	2363	959	595	417
LP6008267-DNA_A02_vs_LP6008266-DNA_G01__pv	911	790	1032	1287	1709	708	193	380	1226	2226	646	361	683
LP6008267-DNA_B01_vs_LP6008266-DNA_B01__pv	24450	29217	2167	244	1912	1170	7054	391	1813	857	4261	1264	881
LP6008267-DNA_B02_vs_LP6008266-DNA_H01__pv	7153	4896	997	1196	1969	989	2960	1320	3091	2032	4419	805	1520
LP6008267-DNA_C01_vs_LP6008266-DNA_C01__pv	9356	2900	736	1983	2112	3331	2747	1007	2443	2431	571	207	590
LP6008267-DNA_C02_vs_LP6008266-DNA_H01__pv	1134	417	773	1023	1923	440	91	178	1279	1152	268	274	343
LP6008267-DNA_D01_vs_LP6008201-DNA_F01__pv	1400	820	943	1720	683	695	603	797	2051	856	839	728	696
LP6008267-DNA_D02_vs_LP6008266-DNA_A02__pv	1419	590	361	4328	681	13790	568	2949	1483	2375	1815	451	750
LP6008267-DNA_E01_vs_LP6008266-DNA_D01__pv	3800	2640	432	1197	1850	820	1554	1249	2545	2306	1347	687	448
LP6008267-DNA_E02_vs_LP6008266-DNA_A02__pv	2348	1100	283	3377	970	677	280	1906	4018	2293	1167	438	921
LP6008267-DNA_F01_vs_LP6008266-DNA_E01__pv	9915	8647	1211	1380	1439	838	3309	519	2841	1129	2054	764	805
LP6008267-DNA_G01_vs_LP6008266-DNA_F01__pv	344	885	163	1323	410	0	0	2358	500	1237	1134	6657	4728
LP6008267-DNA_H01_vs_LP6008266-DNA_G01__pv	572	873	543	2025	2586	1201	597	1424	2511	2092	447	985	1150
LP6008269-DNA_A02_vs_LP6008268-DNA_C02__pv	138	170	700	657	924	441	53	136	597	740	75	178	281
LP6008269-DNA_A03_vs_LP6008268-DNA_C03__pv	62057	57535	0	0	317	306	20593	5	0	364	117	1592	0
LP6008269-DNA_A04_vs_LP6008268-DNA_C04__pv	1162	902	725	425	1049	483	202	130	696	831	325	189	334
LP6008269-DNA_A05_vs_LP6008268-DNA_C05__pv	2085	1678	871	900	3282	1691	301	180	1503	3066	13	612	502
LP6008269-DNA_A06_vs_LP6008268-DNA_B06__pv	125	247	444	866	1485	547	368	554	1631	1045	793	444	241
LP6008269-DNA_A08_vs_LP6008268-DNA_A08__pv	5936	3451	1102	477	1688	2237	1715	499	2091	2457	645	485	692
LP6008269-DNA_A09_vs_LP6008268-DNA_A09__pv	1676	1289	914	1104	2091	1024	576	380	2148	2494	482	492	463
LP6008269-DNA_A10_vs_LP6008268-DNA_A10__pv	745	1035	1125	2024	2258	846	357	504	1407	2265	810	680	2456
LP6008269-DNA_B02_vs_LP6008268-DNA_D02__pv	1217	780	599	792	1886	709	383	462	1670	1275	327	200	395
LP6008269-DNA_B03_vs_LP6008268-DNA_D03__pv	345	705	745	263	1005	360	459	0	694	505	857	92	205
LP6008269-DNA_B05_vs_LP6008268-DNA_D05__pv	7561	3747	1014	1398	1234	1539	3422	777	2049	2426	768	501	345
LP6008269-DNA_B06_vs_LP6008268-DNA_C06__pv	13920	8461	485	1019	2465	3015	8137	1859	3610	2586	702	438	384
LP6008269-DNA_B07_vs_LP6008268-DNA_B07__pv	42	84	1478	1734	934	810	0	156	1389	736	237	242	685
LP6008269-DNA_B08_vs_LP6008268-DNA_B08__pv	4456	1789	662	548	748	448	1043	280	694	800	596	331	690
LP6008269-DNA_B09_vs_LP6008268-DNA_B09__pv	931	386	1101	1482	2967	1290	645	269	1644	2702	538	502	428
LP6008269-DNA_B10_vs_LP6008268-DNA_B10__pv	1867	2780	90	1896	1096	1672	1755	3599	5226	4180	1488	659	1208
LP6008269-DNA_C04_vs_LP6008268-DNA_E04__pv	901	2000	514452	184925	124224	162997	13802	27498	0	11121	13628	8502	13144
LP6008269-DNA_C05_vs_LP6008268-DNA_E05__pv	9425	7393	85	777	1989	284	1769	1329	2672	1820	1572	476	957
LP6008269-DNA_C06_vs_LP6008268-DNA_D06__pv	661	859	1659	5060	962	645	769	647	1944	1447	551	194	3903
LP6008269-DNA_C07_vs_LP6008268-DNA_C07__pv	1988	948	1033	1585	2982	2969	1037	171	2216	2355	390	865	902
LP6008269-DNA_C08_vs_LP6008268-DNA_C08__pv	5477	8473	554	3639	1486	1317	3580	1752	3607	3748	935	433	460
LP6008269-DNA_C09_vs_LP6008268-DNA_C09__pv	7404	8985	249	967	595	632	3806	320	1084	655	1715	869	361
LP6008269-DNA_C10_vs_LP6008268-DNA_C10__pv	2250	2179	798	634	2426	673	374	98	1315	830	404	134	422
LP6008269-DNA_D02_vs_LP6008268-DNA_F02__pv	2035	1841	1284	1617	1964	1660	607	1013	2882	1683	935	976	689
LP6008269-DNA_D03_vs_LP6008268-DNA_F03__pv	3537	1793	1542	1409	4367	1250	904	0	1233	2383	320	473	634
LP6008269-DNA_D04_vs_LP6008268-DNA_F04__pv	505	260	548	171	1142	310	175	14	861	856	165	150	221
LP6008269-DNA_D05_vs_LP6008268-DNA_F05__pv	0	3010	0	1548	10343	3378	1943	35885	3850	1509	0	181	0
LP6008269-DNA_D06_vs_LP6008268-DNA_E06__pv	1805	1654	886	858	1573	729	249	539	1522	1587	1109	339	810
LP6008269-DNA_D07_vs_LP6008268-DNA_D07__pv	4666	5174	478	1548	2202	1021	1990	910	2549	3134	917	463	559
LP6008269-DNA_D08_vs_LP6008268-DNA_D08__pv	47563	44839	1123	1775	1233	495	7031	776	0	1454	2409	1375	1262
LP6008269-DNA_D09_vs_LP6008268-DNA_D09__pv	0	2435	513218	187233	125003	161317	14224	31568	0	12414	12641	9801	14083
LP6008269-DNA_D10_vs_LP6008268-DNA_D10__pv	2760	3359	405	4063	1985	1253	933	2465	3097	2805	2146	808	656
LP6008269-DNA_E01_vs_LP6008268-DNA_E01__pv	1788	928	546	1444	1395	820	646	1358	2412	2480	581	232	442
LP6008269-DNA_E02_vs_LP6008268-DNA_G02__pv	4895	5521	410	88	1668	972	964	597	2203	907	1097	1571	1417
LP6008269-DNA_E03_vs_LP6008268-DNA_G03__pv	612	1304	613	1339	2200	644	59	362	1912	1523	873	271	326
LP6008269-DNA_E04_vs_LP6008268-DNA_G04__pv	16654	12145	1046	713	1680	799	6442	673	2294	3402	940	764	38
LP6008269-DNA_E06_vs_LP6008268-DNA_F06__pv	92	210	1060	652	708	813	207	386	1581	541	470	117	526
LP6008269-DNA_E07_vs_LP6008268-DNA_E07__pv	7041	1582	10890	3227	16450	3196	3199	40293	7265	4941	1370	373	1358
LP6008269-DNA_E08_vs_LP6008268-DNA_E08__pv	2590	2986	668	2090	931	787	919	1282	1496	1209	1326	939	610
LP6008269-DNA_E09_vs_LP6008268-DNA_E09__pv	245	168	491	905	952	497	134	310	1132	336	465	278	342
LP6008269-DNA_E10_vs_LP6008268-DNA_E10__pv	5761	3361	888	2785	1537	2169	1854	770	1872	2304	1944	649	1088
LP6008269-DNA_F01_vs_LP6008268-DNA_H01__pv	542	306	575	462	665	279	175	74	481	394	119	82	130
LP6008269-DNA_F02_vs_LP6008268-DNA_H02__pv	2603	1409	823	1887	998	1235	820	737	2491	1400	707	549	815
LP6008269-DNA_F03_vs_LP6008268-DNA_H03__pv	3685	0	947	164	1197	2505	799	1271	3977	2779	0	1057	514
LP6008269-DNA_F04_vs_LP6008268-DNA_H04__pv	928	684	803	923	1936	746	71	156	1037	2165	529	751	271
LP6008269-DNA_F06_vs_LP6008268-DNA_G06__pv	1326	773	1073	1859	1498	556	356	341	1294	1304	416	393	561
LP6008269-DNA_F07_vs_LP6008268-DNA_F07__pv	0	109	560	291	1604	84	37	73	384	28	424	279	615
LP6008269-DNA_F08_vs_LP6008268-DNA_F08__pv	8892	2471	774	2094	820	1143	2834	470	1270	1243	1445	986	1486
LP6008269-DNA_F09_vs_LP6008268-DNA_F09__pv	1067	920	717	1630	1993	535	453	926	2750	1139	551	437	908
LP6008269-DNA_G01_vs_LP6008268-DNA_A02__pv	2594	6745	685	926	585	238	1634	30	328	300	369	195	376
LP6008269-DNA_G02_vs_LP6008268-DNA_A03__pv	1847	951	918	1060	1574	1943	666	251	1476	1247	535	493	404
LP6008269-DNA_G03_vs_LP6008268-DNA_A04__pv	12006	15992	443	1842	1646	502	6882	803	1351	1894	736	815	343
LP6008269-DNA_G04_vs_LP6008268-DNA_A05__pv	646	690	577	596	1812	374	362	399	1554	466	129	209	336
LP6008269-DNA_G06_vs_LP6008268-DNA_H06__pv	10702	14782	571	1444	3048	1024	4087	0	1896	1332	1460	1371	1484
LP6008269-DNA_G07_vs_LP6008268-DNA_G07__pv	7014	7172	443	654	794	357	785	503	963	499	503	316	181
LP6008269-DNA_G08_vs_LP6008268-DNA_G08__pv	2460	2572	852	1845	1571	636	1458	845	2155	1002	424	495	1148
LP6008269-DNA_G09_vs_LP6008268-DNA_G09__pv	0	4	37	12	21	7	0	13	0	7	0	0	0
LP6008269-DNA_H01_vs_LP6008268-DNA_B02__pv	52	37	389	185	341	132	0	0	157	49	0	30	132
LP6008269-DNA_H02_vs_LP6008268-DNA_B03__pv	11168	10957	305	1039	2128	1665	8521	412	2311	1029	332	321	648
LP6008269-DNA_H03_vs_LP6008268-DNA_B04__pv	968	2073	487	1007	2219	222	166	385	1631	783	993	1114	464
LP6008269-DNA_H05_vs_LP6008268-DNA_A06__pv	2817	2062	1636	2350	2794	2218	2435	812	4330	2663	890	1579	1089
LP6008269-DNA_H06_vs_LP6008268-DNA_A07__pv	5871	2255	1030	1188	1391	1331	1910	1194	3660	1783	1504	619	710
LP6008269-DNA_H07_vs_LP6008268-DNA_H07__pv	3489	9168	339	0	920	813	1726	388	2467	1040	1236	391	104
LP6008269-DNA_H08_vs_LP6008268-DNA_H08__pv	1191	740	0	1513	1141	2396	1172	639	1287	1412	10408	2334	2244
LP6008269-DNA_H09_vs_LP6008268-DNA_H09__pv	4670	18635	298	161	341	2671	22719	0	1870	142	2202	1568	1333
LP6008280-DNA_A01_vs_LP6008264-DNA_A01__pv	2158	2148	762	1386	1579	1274	775	863	2215	2460	459	606	423
LP6008280-DNA_A02_vs_LP6008264-DNA_A02__pv	3475	1953	338	2122	666	507	1753	682	752	1238	383	299	257
LP6008280-DNA_A03_vs_LP6008264-DNA_A03__pv	1098	743	861	924	4739	2726	446	459	1724	2133	628	567	1223
LP6008280-DNA_A04_vs_LP6008264-DNA_H03__pv	1459	4230	779	1358	544	343	1238	549	422	419	3764	1264	597
LP6008280-DNA_A05_vs_LP6008264-DNA_H04__pv	1815	507	588	306	681	360	194	87	545	734	479	72	313
LP6008280-DNA_A07_vs_LP6008264-DNA_H06__pv	2230	1077	542	496	763	317	686	372	766	537	189	196	99
LP6008280-DNA_B01_vs_LP6008264-DNA_B01__pv	256	1733	2504	0	7730	1424	1165	25985	861	3488	0	1372	3333
LP6008280-DNA_B02_vs_LP6008264-DNA_B02__pv	91	19	771	484	1988	613	41	479	1566	893	0	169	532
LP6008280-DNA_B03_vs_LP6008264-DNA_B03__pv	417	173	450	441	1808	1010	256	362	981	1579	681	2737	692
LP6008280-DNA_B04_vs_LP6008264-DNA_A04__pv	15	1	75	21	8	7	13	25	0	4	0	6	0
LP6008280-DNA_B05_vs_LP6008264-DNA_A05__pv	5881	4940	1790	2164	2286	1083	2030	993	2321	5237	1133	482	334
LP6008280-DNA_C01_vs_LP6008264-DNA_C01__pv	20993	9366	958	2222	2267	1929	3211	879	1833	1506	1199	642	1556
LP6008280-DNA_C02_vs_LP6008264-DNA_C02__pv	8814	8790	1207	1000	1588	1269	3081	697	1943	806	1857	2618	325
LP6008280-DNA_C03_vs_LP6008264-DNA_C03__pv	1770	1542	375	1593	1866	527	430	1699	531	6533	990	14010	2394
LP6008280-DNA_C04_vs_LP6008264-DNA_B04__pv	2	0	95	17	16	25	26	42	0	0	0	6	0
LP6008280-DNA_C05_vs_LP6008264-DNA_B05__pv	1324	997	1146	1038	2010	565	580	455	1190	999	491	299	508
LP6008280-DNA_C06_vs_LP6008264-DNA_B06__pv	3471	4321	579	420	862	300	2079	149	699	677	406	162	127
LP6008280-DNA_D02_vs_LP6008264-DNA_D02__pv	5567	3214	1131	1664	540	1874	2759	875	1395	1067	924	660	659
LP6008280-DNA_D03_vs_LP6008264-DNA_H01__pv	0	5	127	23	88	30	0	9	72	4	7	2	17
LP6008280-DNA_D05_vs_LP6008264-DNA_E04__pv	2381	2292	960	452	1230	521	813	198	564	619	443	447	275
LP6008280-DNA_E01_vs_LP6008264-DNA_E01__pv	10228	138	946	1861	1697	2103	2185	604	2310	2288	587	279	908
LP6008280-DNA_E02_vs_LP6008264-DNA_E02__pv	7891	9893	1314	3035	1997	1982	4692	834	1084	1932	1064	1823	539
LP6008280-DNA_E03_vs_LP6008264-DNA_D03__pv	4020	3296	336	466	616	818	1295	242	803	720	715	172	330
LP6008280-DNA_E04_vs_LP6008264-DNA_D04__pv	7512	3536	1313	1159	4185	855	1505	466	1950	4292	782	530	300
LP6008280-DNA_E05_vs_LP6008264-DNA_D05__pv	2341	5439	615	365	667	88	1105	0	375	152	377	242	475
LP6008280-DNA_F01_vs_LP6008264-DNA_F01__pv	9511	4610	2209	4459	1475	3280	3966	1361	3303	2624	3137	535	1648
LP6008280-DNA_F02_vs_LP6008264-DNA_F02__pv	3606	3280	1187	1930	3700	1142	884	1317	3333	2003	1421	113	624
LP6008280-DNA_F03_vs_LP6008264-DNA_E03__pv	17669	21707	916	804	1311	1625	6562	504	1548	1166	1421	835	344
LP6008280-DNA_F05_vs_LP6008264-DNA_E05__pv	1856	2317	410	914	1118	1011	754	608	1049	1211	523	192	231
LP6008280-DNA_F06_vs_LP6008264-DNA_E06__pv	3096	2137	787	795	2715	564	1458	418	1254	1565	455	150	162
LP6008280-DNA_G01_vs_LP6008264-DNA_G01__pv	295	526	330	95	63	48	102	125	0	52	66	57	44
LP6008280-DNA_G02_vs_LP6008264-DNA_G02__pv	231	249	562	968	1037	342	323	906	1918	1291	376	474	353
LP6008280-DNA_G03_vs_LP6008264-DNA_F03__pv	648	446	491	1219	1593	1389	269	742	1317	1222	260	12	354
LP6008280-DNA_G04_vs_LP6008264-DNA_F04__pv	1205	797	854	57	1208	1625	401	341	1264	924	228	715	334
LP6008280-DNA_G05_vs_LP6008264-DNA_F05__pv	2899	2263	940	603	2563	973	547	491	1802	2047	1078	337	180
LP6008280-DNA_G06_vs_LP6008264-DNA_F06__pv	56	35	430	415	543	213	32	8	519	324	31	66	118
LP6008280-DNA_H01_vs_LP6008264-DNA_H01__pv	1351	1031	502	1939	2171	806	607	1121	2179	2097	232	297	856
LP6008280-DNA_H02_vs_LP6008264-DNA_H02__pv	9682	9381	440	745	729	1235	4863	1223	3818	1580	6304	1637	893
LP6008280-DNA_H04_vs_LP6008264-DNA_G04__pv	5791	2583	1000	1152	3045	1275	1557	751	1842	1765	434	378	527
LP6008280-DNA_H05_vs_LP6008264-DNA_G05__pv	3131	796	814	719	1118	603	1090	444	693	1072	308	215	315
LP6008280-DNA_H06_vs_LP6008264-DNA_G06__pv	9004	8008	1083	1076	1272	522	3037	475	1135	3319	946	893	404
LP6008334-DNA_A01_vs_LP6008335-DNA_A01__pv	46707	40077	758	0	110	0	48273	939	0	10	1963	0	0
LP6008334-DNA_A03_vs_LP6008335-DNA_E02__pv	3753	4252	413	969	1741	2368	1092	1654	4793	3032	359	5590	836
LP6008334-DNA_A04_vs_LP6008335-DNA_E03__pv	1838	1336	616	2864	3058	986	552	1721	3592	3355	1037	399	717
LP6008334-DNA_B01_vs_LP6008335-DNA_B01__pv	3465	3095	845	1593	1961	2663	1551	299	1743	1898	510	0	719
LP6008334-DNA_B02_vs_LP6008335-DNA_F01__pv	3000	2099	812	2040	759	1186	1260	554	958	2431	1048	459	382
LP6008334-DNA_B03_vs_LP6008335-DNA_F02__pv	24015	31634	4944	2115	28012	5926	12340	80781	16531	4893	3208	0	0
LP6008334-DNA_C01_vs_LP6008335-DNA_C01__pv	3099	1717	789	2809	2298	1314	662	907	1989	2380	582	625	808
LP6008334-DNA_C02_vs_LP6008335-DNA_G01__pv	2198	3269	1102	1036	1882	4679	952	467	2223	4998	681	3063	827
LP6008334-DNA_C03_vs_LP6008335-DNA_G02__pv	2393	3466	391	2755	2988	823	498	1922	2850	823	4334	841	1461
LP6008334-DNA_D01_vs_LP6008335-DNA_D01__pv	3166	1386	697	1364	1460	990	1310	565	1345	1744	540	969	338
LP6008334-DNA_D02_vs_LP6008335-DNA_H01__pv	3882	7186	692	3820	951	420	3707	1731	4366	1834	2734	1228	543
LP6008334-DNA_D03_vs_LP6008335-DNA_H02__pv	10098	6227	1082	6096	1116	417	3650	3014	2682	10009	1675	1596	2249
LP6008334-DNA_E01_vs_LP6008335-DNA_A01__pv	2360	2486	382	507	571	62	355	203	363	318	716	1133	52
LP6008334-DNA_E02_vs_LP6008335-DNA_A02__pv	3408	2272	830	2007	1224	1511	1553	922	1746	2412	925	367	460
LP6008334-DNA_E03_vs_LP6008335-DNA_A03__pv	2301	2860	383	4883	2254	2677	1835	2246	3500	2735	1037	234	1587
LP6008334-DNA_F01_vs_LP6008335-DNA_B01__pv	548	444	862	1015	3737	738	65	617	2402	4272	729	169	420
LP6008334-DNA_F02_vs_LP6008335-DNA_B02__pv	5045	2829	473	816	1133	1422	1658	349	1070	1846	587	111	421
LP6008334-DNA_F03_vs_LP6008335-DNA_B03__pv	614	301	426	1714	2626	555	120	521	2431	1793	215	236	998
LP6008334-DNA_G01_vs_LP6008335-DNA_C01__pv	1087	685	393	475	662	351	349	338	623	817	180	105	297
LP6008334-DNA_G02_vs_LP6008335-DNA_C02__pv	2594	2660	610	2216	1100	1242	2114	662	1293	1509	779	699	752
LP6008334-DNA_G03_vs_LP6008335-DNA_C03__pv	0	15	1105	576	1515	770	12	328	1714	957	184	1001	522
LP6008334-DNA_H01_vs_LP6008335-DNA_D01__pv	1617	902	909	1590	1224	1068	693	1040	1566	1755	339	261	388
LP6008334-DNA_H02_vs_LP6008335-DNA_D02__pv	1467	1211	866	4528	2152	1780	436	1147	1844	1753	1271	196	1186
LP6008334-DNA_H03_vs_LP6008335-DNA_D03__pv	4887	7024	312	654	2102	993	2276	572	6076	959	1987	2033	1346
LP6008336-DNA_A01_vs_LP6008333-DNA_A01__pv	78	80	881	2053	1282	87	271	883	3490	1893	850	279	584
LP6008336-DNA_A02_vs_LP6008333-DNA_A02__pv	0	30	859	577	1325	525	34	238	1189	646	309	334	390
LP6008336-DNA_A03_vs_LP6008333-DNA_A03__pv	43	44	399	1036	500	428	67	176	573	728	0	226	397
LP6008336-DNA_B01_vs_LP6008333-DNA_B01__pv	436	328	679	1198	1211	727	87	224	1459	1018	217	579	455
LP6008336-DNA_B02_vs_LP6008333-DNA_B02__pv	1522	2060	676	519	1976	774	261	270	1270	420	547	721	296
LP6008336-DNA_B03_vs_LP6008333-DNA_B03__pv	42	29	422	224	418	104	14	0	340	50	13	32	132
LP6008336-DNA_C01_vs_LP6008333-DNA_C01__pv	498	202	383	2686	1034	745	306	1790	1719	4107	1362	1246	122
LP6008336-DNA_C02_vs_LP6008333-DNA_C02__pv	1974	1237	393	275	512	135	888	230	813	963	321	133	157
LP6008336-DNA_C03_vs_LP6008333-DNA_C03__pv	548	530	646	1394	1483	1212	144	1022	1576	1615	1010	1034	566
LP6008336-DNA_D01_vs_LP6008333-DNA_D01__pv	3040	0	5334	1389	11143	3746	2530	30164	7919	491	1549	32	2984
LP6008336-DNA_D02_vs_LP6008333-DNA_D02__pv	0	2	114	14	22	0	0	0	0	0	0	6	13
LP6008336-DNA_D03_vs_LP6008333-DNA_D03__pv	9751	7400	946	2049	1118	1320	1235	837	4722	2524	3167	741	2246
LP6008336-DNA_E01_vs_LP6008333-DNA_E01__pv	8784	2046	498	2729	703	1679	3160	834	2169	1673	300	533	1070
LP6008336-DNA_E02_vs_LP6008333-DNA_E02__pv	15840	17351	1413	858	2126	1098	2916	586	1106	1319	2372	700	704
LP6008336-DNA_E03_vs_LP6008333-DNA_E03__pv	260	336	518	450	701	588	201	123	1303	199	396	12	138
LP6008336-DNA_F02_vs_LP6008333-DNA_F02__pv	1157	640	361	1740	673	593	389	942	1859	1299	502	1542	743
LP6008336-DNA_F03_vs_LP6008333-DNA_F03__pv	1224	634	1279	2716	2906	4928	436	532	2853	2410	627	5704	1490
LP6008336-DNA_G01_vs_LP6008333-DNA_G01__pv	1655	429	562	1714	1483	1089	851	329	1171	1310	739	82	556
LP6008336-DNA_G02_vs_LP6008333-DNA_G02__pv	746	3077	799	2469	485	601	2962	655	690	297	1565	668	1224
LP6008336-DNA_G03_vs_LP6008333-DNA_G03__pv	2852	1242	608	3593	1141	470	982	1467	1855	3640	1909	1137	2424
LP6008336-DNA_H01_vs_LP6008333-DNA_H01__pv	2517	1920	935	2679	1749	2455	1221	1354	2141	4323	956	518	705
LP6008336-DNA_H02_vs_LP6008333-DNA_H02__pv	0	0	50	5	32	6	10	18	0	1	7	2	0
LP6008336-DNA_H03_vs_LP6008333-DNA_H03__pv	193	672	493	1236	1263	802	216	881	1072	6399	572	667	454
LP6008337-DNA_A01_vs_LP6008338-DNA_A01__pv	1178	708	426	603	475	417	533	182	588	533	252	177	74
LP6008337-DNA_A02_vs_LP6008338-DNA_A02__pv	1027	806	264	0	851	1229	488	419	0	767	783	364	2168
LP6008337-DNA_A03_vs_LP6008338-DNA_A03__pv	2469	2833	15	3657	1144	469	1719	1063	536	1025	0	1346	1650
LP6008337-DNA_A04_vs_LP6008338-DNA_A04__pv	1192	911	523	368	608	267	382	31	505	580	181	115	176
LP6008337-DNA_A06_vs_LP6008338-DNA_G05__pv	3409	2400	165	2403	1598	1698	1850	1584	1951	2849	688	741	837
LP6008337-DNA_A07_vs_LP6008338-DNA_E06__pv	0	0	294	1775	607	0	0	881	0	707	203	8388	0
LP6008337-DNA_B02_vs_LP6008338-DNA_B02__pv	233	323	678	466	782	541	75	85	548	468	234	124	255
LP6008337-DNA_B03_vs_LP6008338-DNA_B03__pv	1272	1081	502	610	946	462	572	216	1106	809	269	184	373
LP6008337-DNA_B04_vs_LP6008338-DNA_B04__pv	299	2469	529706	191708	128407	165286	16076	30351	0	11846	13118	8906	14628
LP6008337-DNA_B05_vs_LP6008338-DNA_A05__pv	2731	1832	699	543	850	480	749	82	619	818	533	195	244
LP6008337-DNA_B07_vs_LP6008338-DNA_F06__pv	1808	1213	0	3314	1708	870	1135	1852	3736	3030	378	279	1916
LP6008337-DNA_C01_vs_LP6008338-DNA_C01__pv	4363	3252	1414	1172	2363	818	1207	175	2157	1634	764	867	533
LP6008337-DNA_C02_vs_LP6008338-DNA_C02__pv	56	111	509	507	1459	289	104	421	1504	1477	544	352	261
LP6008337-DNA_C03_vs_LP6008338-DNA_C03__pv	4811	2269	720	278	2541	904	1291	678	2216	2289	370	552	327
LP6008337-DNA_C04_vs_LP6008338-DNA_C04__pv	2230	4822	478	562	814	203	1475	129	607	589	1116	417	270
LP6008337-DNA_C05_vs_LP6008338-DNA_B05__pv	3085	2071	587	1002	1063	496	689	443	1591	2139	629	164	282
LP6008337-DNA_D01_vs_LP6008338-DNA_D01__pv	583	91	426	480	1110	395	263	388	948	636	106	73	280
LP6008337-DNA_D02_vs_LP6008338-DNA_D02__pv	360	257	356	240	427	205	111	116	343	256	233	46	110
LP6008337-DNA_D03_vs_LP6008338-DNA_D03__pv	1174	717	1061	1188	2031	837	398	241	1946	1465	361	167	422
LP6008337-DNA_D04_vs_LP6008338-DNA_D04__pv	575	318	270	464	295	305	262	233	340	512	300	21	155
LP6008337-DNA_D05_vs_LP6008338-DNA_C05__pv	314	0	421	446	1149	283	51	178	860	904	25	92	236
LP6008337-DNA_D06_vs_LP6008338-DNA_A06__pv	20515	17371	1806	3319	1659	2397	8441	2013	4070	7200	2354	683	0
LP6008337-DNA_E01_vs_LP6008338-DNA_E01__pv	4945	3119	692	665	1080	454	1134	370	754	1294	217	191	184
LP6008337-DNA_E03_vs_LP6008338-DNA_E03__pv	2717	1848	770	781	986	855	1110	627	1383	1029	357	301	205
LP6008337-DNA_E04_vs_LP6008338-DNA_E04__pv	3983	3871	516	1080	1461	742	1912	706	1700	3439	688	199	112
LP6008337-DNA_E05_vs_LP6008338-DNA_D05__pv	2017	2114	489	429	1120	469	1025	225	836	686	246	91	229
LP6008337-DNA_F01_vs_LP6008338-DNA_F01__pv	233	118	323	248	338	274	36	49	353	292	46	65	201
LP6008337-DNA_F02_vs_LP6008338-DNA_F02__pv	2414	2094	854	1322	1796	787	1029	588	2450	1728	859	490	726
LP6008337-DNA_F03_vs_LP6008338-DNA_F03__pv	2618	1947	706	818	1005	1056	676	82	997	1588	533	0	132
LP6008337-DNA_F04_vs_LP6008338-DNA_F04__pv	6581	5450	852	959	3488	1014	3565	317	2799	2153	1253	0	735
LP6008337-DNA_F05_vs_LP6008338-DNA_E05__pv	3692	3267	1197	1730	3668	2206	1345	1155	3573	5147	1974	954	449
LP6008337-DNA_F06_vs_LP6008338-DNA_C06__pv	12612	9124	837	787	1221	479	4379	417	811	1506	1075	681	72
LP6008337-DNA_G01_vs_LP6008338-DNA_G01__pv	2375	1756	879	1720	2649	1157	615	543	2149	2470	411	339	334
LP6008337-DNA_G02_vs_LP6008338-DNA_G02__pv	4220	1920	683	1053	855	646	1177	365	1060	1274	226	140	330
LP6008337-DNA_G03_vs_LP6008338-DNA_G03__pv	5673	4104	586	1354	1755	848	1415	699	1961	2561	700	330	617
LP6008337-DNA_G04_vs_LP6008338-DNA_G04__pv	4387	531	889	430	1933	350	353	243	1257	916	286	192	382
LP6008337-DNA_G05_vs_LP6008338-DNA_F05__pv	2455	879	643	862	624	507	817	439	1277	973	202	319	330
LP6008337-DNA_G06_vs_LP6008338-DNA_C06__pv	13691	7457	813	1082	2426	989	4015	597	2218	2049	801	291	343
LP6008337-DNA_H01_vs_LP6008338-DNA_H01__pv	492	427	548	357	1180	329	139	66	652	716	191	70	90
LP6008337-DNA_H02_vs_LP6008338-DNA_H02__pv	36856	33792	1002	1842	1693	319	12230	847	2995	2635	2221	1090	499
LP6008337-DNA_H03_vs_LP6008338-DNA_H03__pv	1676	986	1250	1090	1088	783	265	295	763	798	235	2	404
LP6008337-DNA_H04_vs_LP6008338-DNA_H04__pv	2996	4378	524	534	950	358	1667	273	915	840	642	368	420
LP6008337-DNA_H06_vs_LP6008338-DNA_D06__pv	10172	13886	526	3040	1171	534	3900	1580	2876	2055	1688	1211	1363
