Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J	SBS96K	SBS96L	SBS96M
LP6005409-DNA_A03_vs_LP6005408-DNA_A03__pv	12319	9338	1894	2853	10965	2867	6836	0	0	1949	0	348	773
LP6005409-DNA_A04_vs_LP6005408-DNA_A04__pv	3628	4074	621	874	776	2130	1439	409	1457	1388	919	1223	493
LP6005409-DNA_B01_vs_LP6005408-DNA_B01__pv	22140	21433	455	171	719	1389	13721	605	1308	5088	2066	785	740
LP6005409-DNA_B02_vs_LP6005408-DNA_B02__pv	574	973	920	2054	2828	1179	439	397	1860	2141	161	737	993
LP6005409-DNA_B04_vs_LP6005408-DNA_B04__pv	89	621	326	1954	1030	0	106	450	41	34	2938	3425	384
LP6005409-DNA_C01_vs_LP6005408-DNA_C01__pv	914	614	390	429	2035	942	414	228	1377	661	469	828	326
LP6005409-DNA_C02_vs_LP6005408-DNA_C02__pv	949	484	305	421	742	342	244	45	697	1265	284	109	140
LP6005409-DNA_C04_vs_LP6005408-DNA_C04__pv	304	169	398	2661	645	697	337	568	1835	490	1374	408	1159
LP6005409-DNA_D01_vs_LP6005408-DNA_D01__pv	8401	11952	1100	2604	2464	2390	3470	131	1366	1477	3120	809	1085
LP6005409-DNA_D02_vs_LP6005408-DNA_D02__pv	6520	8343	1861	5208	3458	2146	1775	740	1751	1818	2006	2014	958
LP6005409-DNA_D03_vs_LP6005408-DNA_D03__pv	10617	19256	611	2220	1757	1919	5066	419	1716	1371	1703	1110	793
LP6005409-DNA_E01_vs_LP6005408-DNA_E01__pv	133	469	904	1744	1488	1003	193	250	1464	989	296	842	606
LP6005409-DNA_E02_vs_LP6005408-DNA_E02__pv	1007	772	474	465	1393	746	544	515	1622	1043	589	640	448
LP6005409-DNA_E03_vs_LP6005408-DNA_E03__pv	3823	9091	1216	4275	2358	417	2828	990	2148	1683	2771	996	1482
LP6005409-DNA_F01_vs_LP6005408-DNA_F01__pv	9387	3968	544	534	1541	525	2557	686	1107	2067	953	53	350
LP6005409-DNA_F02_vs_LP6005408-DNA_F02__pv	3119	1574	385	346	1492	1037	1044	418	2201	2202	21	1174	694
LP6005409-DNA_F03_vs_LP6005408-DNA_F03__pv	104	177	800	847	937	632	0	28	691	549	136	508	489
LP6005409-DNA_G02_vs_LP6005408-DNA_G02__pv	5812	3938	530	1595	679	975	3149	298	1198	677	562	461	908
LP6005409-DNA_G03_vs_LP6005408-DNA_G03__pv	7184	8691	470	879	1712	1399	912	428	2360	1200	1151	188	691
LP6005409-DNA_H01_vs_LP6005408-DNA_H01__pv	0	201	387	1161	2880	342	380	1469	2620	539	794	363	449
LP6005409-DNA_H02_vs_LP6005408-DNA_H02__pv	4307	2952	247	2003	1437	909	1663	911	2072	1818	709	271	824
LP6005409-DNA_H03_vs_LP6005408-DNA_H03__pv	2460	2965	507	731	472	620	1989	274	885	373	403	110	235
LP6005496-DNA_A01_vs_LP6005408-DNA_B03__pv	3710	3857	5150	522	0	0	4308	17599	4473	1250	1536	1466	1989
LP6005496-DNA_B01_vs_LP6005408-DNA_C03__pv	5849	1790	154	0	1549	2739	2067	580	2340	1553	0	1228	124
LP6005500-DNA_A01_vs_LP6005499-DNA_A01__pv	1213	902	680	1250	1308	1300	424	690	2209	1459	1300	981	685
LP6005500-DNA_A02_vs_LP6005499-DNA_A02__pv	2093	3748	1809	3793	3579	2137	2096	430	1984	1585	2154	351	1570
LP6005500-DNA_A03_vs_LP6005499-DNA_A03__pv	1806	2042	699	2359	620	912	995	920	1894	1571	813	889	610
LP6005500-DNA_B01_vs_LP6005499-DNA_B01__pv	2741	2792	1019	1660	1409	1100	890	557	1730	1020	968	738	772
LP6005500-DNA_B02_vs_LP6005499-DNA_B02__pv	8489	4058	724	2540	1802	1467	4649	1213	4755	1897	1717	893	895
LP6005500-DNA_B03_vs_LP6005499-DNA_B03__pv	3598	3245	1922	2448	341	523	1217	513	1617	644	2592	351	1186
LP6005500-DNA_C01_vs_LP6005499-DNA_C01__pv	1653	1150	728	1467	831	560	523	584	1232	2246	353	474	415
