Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J	SBS96K	SBS96L	SBS96M	SBS96N	SBS96O	SBS96P
LP6005334-DNA_A02_vs_LP6005333-DNA_A02__pv	1163	1889	354	2028	567	913	941	420	2139	600	2529	728	675	1059	499	319
LP6005334-DNA_A03_vs_LP6005333-DNA_A03__pv	4905	1742	469	2307	1298	753	1227	785	2594	1340	1925	342	960	1016	502	305
LP6005334-DNA_A04_vs_LP6005333-DNA_A04__pv	1974	1865	679	1331	551	756	445	120	1134	1414	458	769	1374	765	783	501
LP6005334-DNA_B01_vs_SM-4JPUU__pv	590	534	485	1470	114	567	1824	80	2046	225	1530	528	409	291	986	222
LP6005334-DNA_B02_vs_LP6005333-DNA_B02__pv	2365	3341	756	3473	1695	970	1105	569	3433	1261	2304	430	579	759	749	363
LP6005334-DNA_C01_vs_LP6005333-DNA_C01__pv	105	515	729	342	325	3522	514	828	836	3576	326	435	1783	290	525	1209
LP6005334-DNA_C02_vs_LP6005333-DNA_C02__pv	332	252	459	547	494	1294	137	397	597	1743	515	296	824	64	255	401
LP6005334-DNA_C03_vs_LP6005333-DNA_C03__pv	960	1144	876	3438	614	1650	628	893	886	355	2572	653	766	604	773	381
LP6005334-DNA_D01_vs_LP6005333-DNA_D01__pv	0	0	96	54	0	18	75	0	2	80	82	26	191	17	37	0
LP6005334-DNA_D02_vs_LP6005333-DNA_D02__pv	4080	11156	645	576	2101	2597	356	399	1094	1289	567	738	2481	311	905	533
LP6005334-DNA_D03_vs_LP6005333-DNA_D03__pv	209	117	162	701	174	562	833	293	2106	1009	761	0	2702	34	226	193
LP6005334-DNA_E01_vs_LP6005333-DNA_E01__pv	951	810	1025	1935	112	2160	901	684	1795	1267	2272	1050	1310	1191	573	535
LP6005334-DNA_E02_vs_LP6005333-DNA_E02__pv	810	1459	198	415	432	0	133	58	174	454	501	0	241	364	277	117
LP6005334-DNA_E03_vs_LP6005333-DNA_E03__pv	1338	982	897	592	956	3269	442	916	799	3981	519	662	2034	2742	561	920
LP6005334-DNA_F01_vs_LP6005333-DNA_F01__pv	2001	1737	824	2269	648	2268	1695	1079	5437	2011	1898	754	1530	841	670	814
LP6005334-DNA_F02_vs_LP6005333-DNA_F02__pv	5136	9804	454	398	7430	2840	1181	2599	2372	1155	2845	223	312	533	865	956
LP6005334-DNA_F03_vs_LP6005333-DNA_F03__pv	188	196	324	254	131	342	122	132	254	278	304	36	23	203	90	18
LP6005334-DNA_G01_vs_LP6005333-DNA_G01__pv	3597	3675	0	2406	2162	0	1605	1333	3341	1568	2769	340	3975	0	5579	379
LP6005334-DNA_G02_vs_LP6005333-DNA_G02__pv	7129	6052	749	1776	3072	1326	1015	715	2587	2895	2706	501	1348	1001	1033	572
LP6005334-DNA_G03_vs_LP6005333-DNA_G03__pv	2551	1040	360	871	1014	667	590	350	1212	1341	1261	25	564	134	675	0
LP6005334-DNA_H01_vs_LP6005333-DNA_H01__pv	5524	2563	636	1401	3347	1428	2648	741	2716	1749	2598	759	1003	420	2398	406
LP6005334-DNA_H02_vs_LP6005333-DNA_H02__pv	15121	10691	606	879	7397	1403	2955	902	3153	2104	2827	0	563	756	908	366
LP6005334-DNA_H03_vs_LP6005333-DNA_H03__pv	6386	18420	0	1918	3713	0	976	990	2578	2490	2694	1144	829	1819	658	417
LP6005335-DNA_A01_vs_LP6005333-DNA_A03__pv	5701	2717	589	1460	1430	1060	482	463	2132	1023	1041	532	317	410	610	172
LP6005409-DNA_A01_vs_LP6005408-DNA_A01__pv	0	77	495	700	151	454	420	495	795	573	357	357	585	0	1657	762
LP6005409-DNA_A02_vs_LP6005408-DNA_A02__pv	1006	541	232	530	77	1006	628	696	1203	2143	477	0	473	857	475	484
LP6005409-DNA_A03_vs_LP6005408-DNA_A03__pv	11340	9104	1403	10447	7041	5501	2741	0	1506	0	0	0	244	0	291	524
LP6005409-DNA_A04_vs_LP6005408-DNA_A04__pv	3456	4008	582	683	1457	774	1815	382	1192	169	1656	185	1056	569	948	499
LP6005409-DNA_B01_vs_LP6005408-DNA_B01__pv	20497	21502	267	710	14009	0	1202	716	4752	918	1934	425	634	1609	824	621
LP6005409-DNA_B02_vs_LP6005408-DNA_B02__pv	492	932	712	2630	378	1517	1002	621	1975	1651	1093	185	599	164	714	591
LP6005409-DNA_B04_vs_LP6005408-DNA_B04__pv	91	648	312	892	118	564	147	283	27	1116	499	389	3221	2165	684	242
LP6005409-DNA_C01_vs_LP6005408-DNA_C01__pv	843	582	401	1784	385	462	660	138	574	480	828	487	515	435	799	254
LP6005409-DNA_C02_vs_LP6005408-DNA_C02__pv	898	466	252	695	257	322	344	69	1170	276	691	27	124	202	142	92
LP6005409-DNA_C04_vs_LP6005408-DNA_C04__pv	239	144	419	504	290	1957	425	398	489	2168	557	555	418	1253	530	699
LP6005409-DNA_D01_vs_LP6005408-DNA_D01__pv	8012	11729	962	2177	3515	1279	2187	151	1373	2215	1110	744	1035	2520	642	718
LP6005409-DNA_D02_vs_LP6005408-DNA_D02__pv	6169	7999	1705	3133	1929	5418	1714	771	1550	1280	1241	728	1768	1529	1096	568
LP6005409-DNA_D03_vs_LP6005408-DNA_D03__pv	10011	18903	523	1565	5102	1880	1570	516	1208	1314	1424	690	983	1366	953	550
LP6005409-DNA_E01_vs_LP6005408-DNA_E01__pv	88	446	772	1378	142	868	880	365	918	1701	773	144	761	232	627	286
LP6005409-DNA_E02_vs_LP6005408-DNA_E02__pv	913	751	484	1210	517	572	472	384	930	474	1101	444	366	543	729	368
LP6005409-DNA_E03_vs_LP6005408-DNA_E03__pv	3478	8929	1150	2063	2780	3290	298	809	1597	2832	993	1006	1027	2408	545	873
LP6005409-DNA_F01_vs_LP6005408-DNA_F01__pv	8915	3836	429	1411	2837	238	528	646	1922	734	1173	283	111	764	176	269
LP6005409-DNA_F02_vs_LP6005408-DNA_F02__pv	2873	1524	287	1360	1021	158	438	553	2077	1630	842	365	489	274	1435	381
LP6005409-DNA_F03_vs_LP6005408-DNA_F03__pv	99	152	718	862	0	330	595	72	515	900	369	104	483	68	318	313
LP6005409-DNA_G02_vs_LP6005408-DNA_G02__pv	5396	3931	414	613	3218	573	757	391	677	2213	315	265	436	526	567	490
LP6005409-DNA_G03_vs_LP6005408-DNA_G03__pv	6940	8383	349	1514	995	0	1141	480	1104	2113	1595	469	207	937	672	366
LP6005409-DNA_H01_vs_LP6005408-DNA_H01__pv	0	113	687	2328	352	1405	297	551	391	147	1990	1417	295	629	450	533
LP6005409-DNA_H02_vs_LP6005408-DNA_H02__pv	4029	2861	270	1229	1737	1493	826	645	1656	1367	1580	550	373	514	399	594
LP6005409-DNA_H03_vs_LP6005408-DNA_H03__pv	2226	2996	398	463	1987	620	482	420	305	557	733	0	113	310	291	123
LP6005496-DNA_A01_vs_LP6005408-DNA_B03__pv	3117	4000	4118	304	4383	2416	0	16964	829	0	5289	670	1036	739	546	1449
LP6005496-DNA_B01_vs_LP6005408-DNA_C03__pv	5461	1743	248	1347	2114	350	1650	603	1416	486	1035	615	340	281	2079	205
