Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J	SBS96K	SBS96L	SBS96M	SBS96N	SBS96O	SBS96P
LP6008202-DNA_D02_vs_LP6008201-DNA_D02__pv	975	986	686	2074	256	1789	694	377	2067	1871	1926	755	1088	434	615	574
LP6008202-DNA_D03_vs_LP6008201-DNA_D03__pv	4056	3012	170	274	2677	1299	144	582	1109	951	330	603	1785	203	1977	300
LP6008202-DNA_E01_vs_LP6008201-DNA_E01__pv	4897	6282	13	1251	1514	522	1182	3342	2817	1976	1521	382	1753	2957	220	16225
LP6008202-DNA_E02_vs_LP6008201-DNA_E02__pv	1998	1324	2013	1490	846	665	1481	346	1192	1134	1035	213	183	217	571	142
LP6008202-DNA_E03_vs_LP6008201-DNA_D01__pv	2	115	29577	5282	1332	7642	9250	2008	1619	7074	572	0	2532	1852	819	0
LP6008202-DNA_F02_vs_LP6008201-DNA_F02__pv	1773	912	1019	1726	1034	715	2154	230	1473	816	1116	563	451	410	498	368
LP6008202-DNA_G01_vs_LP6008201-DNA_G01__pv	327	465	4468	1547	528	1679	1907	1340	3334	589	2307	531	577	5	233	289
LP6008202-DNA_G02_vs_LP6008201-DNA_G02__pv	7209	4989	1185	456	3877	2533	592	451	951	1775	609	755	938	550	727	635
LP6008202-DNA_H01_vs_LP6008201-DNA_H01__pv	3589	6583	10872	3172	4958	2917	4267	874	1237	3932	1222	538	1104	686	970	0
LP6008202-DNA_H02_vs_LP6008201-DNA_H02__pv	3779	2005	756	978	2062	1723	793	738	684	470	2330	196	842	535	1329	397
LP6008208-DNA_A01_vs_LP6008203-DNA_A01__pv	0	0	614	925	0	231	389	101	746	814	677	363	341	246	260	266
LP6008208-DNA_A02_vs_LP6005979-DNA_A01__pv	18276	14489	307	1629	9460	1474	894	1099	1542	1599	2298	665	834	1159	1203	889
LP6008208-DNA_B01_vs_LP6008203-DNA_A01__pv	4	4	102	71	0	37	29	2	40	10	84	0	70	26	36	43
LP6008208-DNA_B02_vs_LP6005979-DNA_A01__pv	0	0	41	2	0	0	0	2	0	34	1	6	1	8	0	0
LP6008208-DNA_C01_vs_LP6008203-DNA_A01__pv	0	0	561	1017	0	396	392	284	1227	724	848	487	336	277	332	268
LP6008208-DNA_C02_vs_LP6005979-DNA_A01__pv	4583	4833	134	2383	1657	485	2967	1217	1845	300	2599	870	446	670	1505	2593
LP6008208-DNA_D01_vs_LP6008203-DNA_A01__pv	0	0	637	1023	0	247	394	116	635	631	950	445	282	299	266	217
LP6008208-DNA_E01_vs_LP6008203-DNA_A01__pv	0	0	613	1058	0	321	383	158	635	499	915	412	257	267	290	236
LP6008208-DNA_F01_vs_LP6008203-DNA_A01__pv	0	0	636	1008	2	339	402	104	584	571	886	499	326	339	259	229
LP6008208-DNA_G01_vs_LP6008203-DNA_A01__pv	0	11	595	881	2	302	317	71	455	514	798	442	294	256	286	223
LP6008208-DNA_H01_vs_LP6005979-DNA_A01__pv	4462	4752	165	2342	1594	566	2969	1227	1854	99	2504	847	402	605	1362	2513
LP6008221-DNA_A01_vs_LP6008220-DNA_A01__pv	14279	9236	545	1163	4429	390	502	171	1093	791	1006	814	294	487	1049	280
LP6008221-DNA_A02_vs_LP6008220-DNA_A02__pv	56	528	1785	1483	937	2581	184	259	4795	1845	1499	1747	420	712	339	1045
LP6008221-DNA_A03_vs_LP6008220-DNA_A03__pv	1292	577	728	2668	161	621	943	402	3093	2192	1380	525	360	537	755	191
LP6008221-DNA_A04_vs_LP6008050-DNA_H01__pv	2718	2915	768	965	1523	4314	303	1352	1106	4759	103	798	641	2127	424	1417
LP6008221-DNA_B01_vs_LP6008220-DNA_B01__pv	0	88	310	246	57	112	132	92	310	312	118	30	212	123	79	40
LP6008221-DNA_B02_vs_LP6008220-DNA_B02__pv	981	2717	880	532	1044	1504	734	255	760	1238	845	405	972	789	737	141
LP6008221-DNA_B03_vs_LP6008220-DNA_B03__pv	5321	2772	763	1710	1290	906	2252	422	1433	1673	649	511	275	643	731	746
LP6008221-DNA_C01_vs_LP6008220-DNA_C01__pv	8389	8923	900	1780	3750	1293	807	691	1154	404	3322	1399	2420	2207	902	429
LP6008221-DNA_C02_vs_LP6008220-DNA_C02__pv	199	98	467	1257	12	570	423	196	672	1029	402	253	325	69	195	401
LP6008221-DNA_C03_vs_LP6008220-DNA_C03__pv	1254	1137	309	1082	738	1419	720	520	1405	1672	983	278	671	760	657	603
LP6008221-DNA_D01_vs_LP6008220-DNA_D01__pv	5257	4808	1578	2987	3386	3132	4439	434	2429	784	1913	695	1785	1385	824	756
LP6008221-DNA_D02_vs_LP6008220-DNA_D02__pv	5383	3642	725	949	1610	454	587	332	1601	1223	1767	543	2871	253	696	109
LP6008221-DNA_D03_vs_LP6008220-DNA_D03__pv	6657	14233	2027	1044	3140	1105	1222	376	142	1764	1865	1288	502	2430	1154	677
LP6008221-DNA_E01_vs_LP6008220-DNA_E01__pv	12624	7041	310	404	10953	792	1117	615	833	1982	1200	575	39	295	505	311
LP6008221-DNA_E02_vs_LP6008220-DNA_E02__pv	12863	9117	856	902	5845	1216	569	269	933	712	1609	704	478	981	586	116
LP6008221-DNA_E03_vs_LP6008220-DNA_E03__pv	11229	10644	1609	1721	4105	1631	2865	637	1531	1740	1653	1002	462	1421	840	377
LP6008221-DNA_F01_vs_LP6008220-DNA_F01__pv	1933	1003	888	532	1499	1931	902	695	998	2135	1065	302	379	385	469	562
LP6008221-DNA_F02_vs_LP6008220-DNA_F02__pv	2696	105	7918	0	663	0	731	29963	0	1037	5690	3673	1289	1889	1901	1248
LP6008221-DNA_F03_vs_LP6008220-DNA_F03__pv	6478	7403	1222	1461	4399	1944	1432	2209	2018	1894	3723	824	112	1894	732	636
LP6008221-DNA_G01_vs_LP6008220-DNA_G01__pv	5	0	1037	512	63	1442	592	51	349	1548	960	569	473	253	661	414
LP6008221-DNA_G02_vs_LP6008220-DNA_G02__pv	2941	1850	322	1467	963	1127	1197	921	3795	1422	1114	393	356	1331	669	442
LP6008221-DNA_G03_vs_LP6008220-DNA_H02__pv	427	557	355	529	233	355	198	32	409	345	253	185	192	193	222	115
LP6008221-DNA_H01_vs_LP6008220-DNA_H01__pv	1083	1530	561	2338	904	247	2052	112	911	282	1182	974	1935	404	2438	319
LP6008221-DNA_H02_vs_LP6008220-DNA_H02__pv	1266	1164	1090	1134	393	3587	610	897	2057	4016	0	804	1333	2238	519	982
LP6008221-DNA_H03_vs_LP6008220-DNA_D03__pv	1115	990	300	459	283	245	208	0	495	293	395	212	155	152	74	14
LP6008267-DNA_A01_vs_LP6008266-DNA_A01__pv	16790	12498	467	2248	9410	564	1391	163	2144	1337	1985	820	654	664	612	380
LP6008267-DNA_A02_vs_LP6008266-DNA_G01__pv	871	748	899	1575	182	417	754	389	2116	1473	874	238	449	503	257	407
LP6008267-DNA_B01_vs_LP6008266-DNA_B01__pv	23361	28507	1863	1739	7544	0	904	638	758	1295	2087	824	1070	3524	874	693
LP6008267-DNA_B02_vs_LP6008266-DNA_H01__pv	6735	4873	822	1759	3012	631	670	1278	1892	1948	2522	672	723	3786	895	1129
LP6008267-DNA_C01_vs_LP6008266-DNA_C01__pv	8909	2750	772	1789	2986	1270	3044	598	2145	1133	2365	693	479	171	746	564
LP6008267-DNA_C02_vs_LP6008266-DNA_H01__pv	1070	349	718	1717	108	659	363	121	1073	1075	640	391	203	283	365	160
LP6008267-DNA_D01_vs_LP6008201-DNA_F01__pv	1277	806	801	639	584	643	555	865	811	2172	1165	156	686	733	626	312
LP6008267-DNA_D02_vs_LP6008266-DNA_A02__pv	1612	479	347	381	184	2484	11249	2763	2117	3313	0	1240	765	1146	3180	300
LP6008267-DNA_E01_vs_LP6008266-DNA_D01__pv	3541	2592	418	1637	1604	1090	722	1010	2062	612	2415	498	613	1035	628	398
LP6008267-DNA_E02_vs_LP6008266-DNA_A02__pv	2197	959	523	623	331	1783	804	964	2092	2775	3016	1172	798	750	381	610
LP6008267-DNA_F01_vs_LP6008266-DNA_E01__pv	9397	8470	1099	1265	3505	484	746	458	1007	1885	2374	484	771	1658	694	554
LP6008267-DNA_G01_vs_LP6008266-DNA_F01__pv	387	875	0	453	0	917	0	2465	1232	571	555	63	5123	832	2263	4003
LP6008267-DNA_H01_vs_LP6008266-DNA_G01__pv	466	842	485	2315	540	1679	1016	1273	1873	1222	1939	524	822	307	825	878
LP6008269-DNA_A02_vs_LP6008268-DNA_C02__pv	129	140	691	800	44	177	405	25	717	870	154	323	179	83	204	149
LP6008269-DNA_A03_vs_LP6008268-DNA_C03__pv	58892	56203	0	246	22225	0	662	10	281	140	1479	981	1370	0	397	0
LP6008269-DNA_A04_vs_LP6008268-DNA_C04__pv	1123	843	712	913	225	203	431	16	781	543	412	339	173	266	223	250
LP6008269-DNA_A05_vs_LP6008268-DNA_C05__pv	2004	1557	774	2950	284	428	1408	162	2866	1302	766	596	382	72	848	285
LP6008269-DNA_A06_vs_LP6008268-DNA_B06__pv	64	260	405	1323	313	329	475	471	950	1059	1214	319	402	656	452	98
LP6008269-DNA_A08_vs_LP6008268-DNA_A08__pv	5657	3339	1055	1494	1833	617	1912	369	2187	110	2177	368	391	382	847	737
LP6008269-DNA_A09_vs_LP6008268-DNA_A09__pv	1558	1234	875	1865	579	930	913	234	2258	702	1862	398	402	337	606	380
LP6008269-DNA_A10_vs_LP6008268-DNA_A10__pv	724	955	1148	1928	349	1653	776	165	2142	1297	775	830	645	653	428	2044
LP6008269-DNA_B02_vs_LP6008268-DNA_D02__pv	1138	719	643	1621	386	527	619	185	1155	785	1166	602	171	264	408	306
LP6008269-DNA_B03_vs_LP6008268-DNA_D03__pv	311	702	702	899	438	569	235	0	447	0	504	237	31	748	234	178
LP6008269-DNA_B05_vs_LP6008268-DNA_D05__pv	7051	3686	1050	1022	3578	812	1285	417	2253	1419	1402	755	455	614	750	232
LP6008269-DNA_B06_vs_LP6008268-DNA_C06__pv	12866	8555	326	2276	8343	1406	2514	1915	2161	144	3872	241	320	384	1276	482
LP6008269-DNA_B07_vs_LP6008268-DNA_B07__pv	30	29	1460	698	0	701	760	0	710	1712	520	681	408	125	257	436
LP6008269-DNA_B08_vs_LP6008268-DNA_B08__pv	4265	1720	549	702	1182	274	441	342	739	589	704	51	346	439	190	552
LP6008269-DNA_B09_vs_LP6008268-DNA_B09__pv	848	346	1105	2600	626	970	1180	0	2508	1147	1048	781	466	421	562	277
LP6008269-DNA_B10_vs_LP6008268-DNA_B10__pv	1569	2820	21	974	1643	2352	1224	3295	3655	538	5112	391	477	1079	1235	1131
LP6008269-DNA_C04_vs_LP6008268-DNA_E04__pv	0	0	489593	114460	23760	164511	153434	22742	5505	29875	0	30687	27548	0	4953	10126
LP6008269-DNA_C05_vs_LP6008268-DNA_E05__pv	9035	7126	40	1725	1991	75	324	1066	1654	1483	2449	674	501	1229	422	754
LP6008269-DNA_C06_vs_LP6008268-DNA_D06__pv	570	743	1746	680	793	4665	403	123	1410	2697	164	1110	309	559	312	3017
LP6008269-DNA_C07_vs_LP6008268-DNA_C07__pv	1862	905	960	2652	962	922	2413	158	2167	1744	1191	608	631	340	1313	613
LP6008269-DNA_C08_vs_LP6008268-DNA_C08__pv	4983	8363	630	1227	3582	2540	1243	1243	3419	2345	2884	902	635	636	637	192
LP6008269-DNA_C09_vs_LP6008268-DNA_C09__pv	6946	8891	284	459	3903	364	610	116	593	911	1081	558	872	1336	436	282
LP6008269-DNA_C10_vs_LP6008268-DNA_C10__pv	2167	2077	727	2184	412	389	674	69	723	606	1130	346	164	285	257	327
LP6008269-DNA_D02_vs_LP6008268-DNA_F02__pv	1935	1758	1332	1651	618	686	1615	552	1473	1287	2597	738	1037	551	755	601
LP6008269-DNA_D03_vs_LP6008268-DNA_F03__pv	3369	1703	1269	4114	992	1274	1266	252	2151	670	1296	16	418	204	419	432
LP6008269-DNA_D04_vs_LP6008268-DNA_F04__pv	464	253	456	1068	162	63	248	115	787	453	632	42	70	162	273	130
LP6008269-DNA_D05_vs_LP6008268-DNA_F05__pv	0	2165	1966	6252	2284	2163	2208	24048	1403	0	242	17233	77	0	638	968
LP6008269-DNA_D06_vs_LP6008268-DNA_E06__pv	1732	1585	742	1453	249	671	551	630	1472	962	1106	228	256	969	478	576
LP6008269-DNA_D07_vs_LP6008268-DNA_D07__pv	4377	5062	536	1877	2029	550	1053	468	2902	1635	2162	843	564	648	505	400
LP6008269-DNA_D08_vs_LP6008268-DNA_D08__pv	45782	42928	1021	993	8493	2285	297	557	1387	1107	222	1704	1104	1955	398	1102
LP6008269-DNA_D09_vs_LP6008268-DNA_D09__pv	0	0	488588	114776	23681	166456	152046	25058	6704	29629	0	32722	28394	0	5009	10874
LP6008269-DNA_D10_vs_LP6008268-DNA_D10__pv	2572	3103	985	1288	974	2722	1009	758	2652	2878	1272	2661	904	1794	745	418
LP6008269-DNA_E01_vs_LP6008268-DNA_E01__pv	1634	902	428	1302	652	1293	719	1330	2233	810	2218	135	249	409	456	302
LP6008269-DNA_E02_vs_LP6008268-DNA_G02__pv	4688	5336	360	1453	1001	0	591	562	813	1017	1561	546	1040	941	1236	1165
LP6008269-DNA_E03_vs_LP6008268-DNA_G03__pv	588	1218	685	1874	37	570	709	0	1406	1252	1394	760	409	661	276	199
LP6008269-DNA_E04_vs_LP6008268-DNA_G04__pv	15644	11908	1032	1469	6848	570	681	387	3131	841	2155	771	553	744	773	83
LP6008269-DNA_E06_vs_LP6008268-DNA_F06__pv	71	186	1113	538	171	237	601	99	510	1089	768	584	81	444	476	395
LP6008269-DNA_E07_vs_LP6008268-DNA_E07__pv	6199	1561	8184	16004	3387	1916	2412	40625	4218	4099	7472	2871	299	1240	663	35
LP6008269-DNA_E08_vs_LP6008268-DNA_E08__pv	2431	2881	717	750	960	1550	647	923	1116	1269	964	726	890	1065	535	409
LP6008269-DNA_E09_vs_LP6008268-DNA_E09__pv	220	136	543	778	119	485	403	77	313	955	534	490	266	401	326	209
LP6008269-DNA_E10_vs_LP6008268-DNA_E10__pv	5458	3244	806	1341	1946	2071	1815	645	2127	1887	1281	578	721	1561	758	743
LP6008269-DNA_F01_vs_LP6008268-DNA_H01__pv	512	291	522	614	187	133	312	81	363	504	368	69	138	67	68	55
LP6008269-DNA_F02_vs_LP6008268-DNA_H02__pv	2421	1352	734	885	824	1121	927	719	1286	2039	1485	317	463	621	814	466
LP6008269-DNA_F03_vs_LP6008268-DNA_H03__pv	3335	0	1003	994	800	739	1405	1067	2514	1127	2169	762	214	241	2111	414
LP6008269-DNA_F04_vs_LP6008268-DNA_H04__pv	894	612	796	1646	74	298	682	0	2046	1016	509	716	653	430	482	146
LP6008269-DNA_F06_vs_LP6008268-DNA_G06__pv	1245	711	1009	1332	391	963	638	207	1218	1551	839	356	526	267	194	303
LP6008269-DNA_F07_vs_LP6008268-DNA_F07__pv	13	88	541	1405	38	355	102	0	15	109	246	355	227	349	113	532
LP6008269-DNA_F08_vs_LP6008268-DNA_F08__pv	8420	2381	732	673	3104	1291	1041	268	1167	1651	944	473	1017	1085	524	1157
LP6008269-DNA_F09_vs_LP6008268-DNA_F09__pv	960	840	834	1636	433	906	393	422	1054	1906	1499	1001	362	512	639	629
LP6008269-DNA_G01_vs_LP6008268-DNA_A02__pv	2425	6638	613	536	1623	645	218	106	289	736	109	216	216	315	116	204
LP6008269-DNA_G02_vs_LP6008268-DNA_A03__pv	1755	910	859	1408	666	928	1641	231	1087	535	1252	265	439	346	710	333
LP6008269-DNA_G03_vs_LP6008268-DNA_A04__pv	11137	15818	408	1446	7010	876	444	695	1797	1975	763	823	712	684	584	83
LP6008269-DNA_G04_vs_LP6008268-DNA_A05__pv	583	652	616	1572	358	284	387	165	390	638	1163	488	204	78	292	280
LP6008269-DNA_G06_vs_LP6008268-DNA_H06__pv	10152	14512	408	2749	4208	525	961	160	1199	1794	1699	551	1196	1135	837	1115
LP6008269-DNA_G07_vs_LP6008268-DNA_G07__pv	6766	6860	417	682	986	524	292	406	436	569	800	398	275	392	255	126
LP6008269-DNA_G08_vs_LP6008268-DNA_G08__pv	2239	2514	834	1354	1454	1065	466	657	947	2023	1034	640	415	431	614	776
LP6008269-DNA_G09_vs_LP6008268-DNA_G09__pv	1	2	41	14	0	7	7	0	7	0	0	22	0	0	0	0
LP6008269-DNA_H01_vs_LP6008268-DNA_B02__pv	54	28	369	329	0	103	135	0	46	203	70	0	32	0	43	92
LP6008269-DNA_H02_vs_LP6008268-DNA_B03__pv	10228	11127	220	1908	8618	0	1655	425	850	1438	2330	335	476	82	626	518
LP6008269-DNA_H03_vs_LP6008268-DNA_B04__pv	936	2010	460	1974	154	41	439	213	694	1123	1538	429	1121	695	367	318
LP6008269-DNA_H05_vs_LP6008268-DNA_A06__pv	2448	2095	1475	2524	2317	1435	1452	923	2467	3188	2191	649	963	990	2014	544
LP6008269-DNA_H06_vs_LP6008268-DNA_A07__pv	5496	2149	1178	1066	2009	586	899	582	1653	2017	2205	1181	416	1346	1136	527
LP6008269-DNA_H07_vs_LP6008268-DNA_H07__pv	3273	9033	270	847	1640	329	482	524	865	219	2248	196	145	1075	830	105
LP6008269-DNA_H08_vs_LP6008268-DNA_H08__pv	1199	919	0	961	982	3129	1317	613	1228	0	1764	733	1928	8366	1463	1875
LP6008269-DNA_H09_vs_LP6008268-DNA_H09__pv	2751	19884	210	432	21779	974	1080	681	161	1520	0	467	289	2588	2948	846
LP6008280-DNA_A01_vs_LP6008264-DNA_A01__pv	2011	2056	809	1354	789	1370	1043	550	2222	633	1803	604	480	303	724	357
LP6008280-DNA_A02_vs_LP6008264-DNA_A02__pv	3205	1893	444	498	1849	1558	508	279	1161	1135	320	642	421	264	133	115
LP6008280-DNA_A03_vs_LP6008264-DNA_A03__pv	1098	666	839	4196	393	1039	2441	243	1874	134	1640	856	503	372	825	1152
LP6008280-DNA_A04_vs_LP6008264-DNA_H03__pv	1401	4262	692	479	1203	414	523	478	403	843	933	295	1458	3014	121	447
LP6008280-DNA_A05_vs_LP6008264-DNA_H04__pv	1751	449	574	588	255	228	298	0	693	359	334	258	65	415	157	257
LP6008280-DNA_A07_vs_LP6008264-DNA_H06__pv	2086	1007	625	606	760	598	223	80	478	163	482	502	121	163	250	126
LP6008280-DNA_B01_vs_LP6008264-DNA_B01__pv	0	1825	291	8092	997	2622	0	27679	3026	0	1859	0	0	0	1282	2178
LP6008280-DNA_B02_vs_LP6008264-DNA_B02__pv	53	0	762	1754	18	447	521	331	780	443	1162	425	93	0	392	465
LP6008280-DNA_B03_vs_LP6008264-DNA_B03__pv	382	178	407	1642	220	338	735	371	1446	226	795	303	1998	550	1386	610
LP6008280-DNA_B04_vs_LP6008264-DNA_A04__pv	12	0	73	0	14	33	0	0	1	0	0	36	0	0	6	0
LP6008280-DNA_B05_vs_LP6008264-DNA_A05__pv	5540	4772	1850	1939	2185	1398	1219	319	4858	1221	2295	1037	650	754	332	305
LP6008280-DNA_C01_vs_LP6008264-DNA_C01__pv	20133	8710	1115	1786	3948	2077	1668	82	1359	1332	1342	1533	682	801	602	1391
LP6008280-DNA_C02_vs_LP6008264-DNA_C02__pv	8333	8557	1282	1319	3267	996	936	338	666	364	1714	936	2007	1466	1445	369
LP6008280-DNA_C03_vs_LP6008264-DNA_C03__pv	1640	1555	232	1809	494	0	477	1663	6155	489	1375	237	10863	305	4879	2087
LP6008280-DNA_C04_vs_LP6008264-DNA_B04__pv	0	0	93	6	27	24	17	11	0	0	0	40	3	0	6	2
LP6008280-DNA_C05_vs_LP6008264-DNA_B05__pv	1233	936	1170	1729	612	830	520	155	906	670	794	670	280	386	296	415
LP6008280-DNA_C06_vs_LP6008264-DNA_B06__pv	3213	4267	607	719	2123	312	276	0	618	310	556	449	155	326	190	131
LP6008280-DNA_D02_vs_LP6008264-DNA_D02__pv	5203	3171	1171	387	2868	1185	1584	543	960	1031	1020	635	675	665	677	554
LP6008280-DNA_D03_vs_LP6008264-DNA_H01__pv	0	3	126	78	0	9	36	0	0	14	66	20	10	0	4	18
LP6008280-DNA_D05_vs_LP6008264-DNA_E04__pv	2268	2219	933	1085	875	300	510	86	562	275	505	350	405	329	247	246
LP6008280-DNA_E01_vs_LP6008264-DNA_E01__pv	9725	0	879	1481	2524	1267	1821	406	2085	1622	1749	453	353	374	707	688
LP6008280-DNA_E02_vs_LP6008264-DNA_E02__pv	7346	9737	1401	1691	4834	2854	1906	370	1681	285	1411	935	1764	564	762	539
LP6008280-DNA_E03_vs_LP6008264-DNA_D03__pv	3830	3243	203	597	1354	0	694	412	669	888	656	0	191	594	319	179
LP6008280-DNA_E04_vs_LP6008264-DNA_D04__pv	7142	3311	1269	3725	1729	879	843	146	3991	1022	1559	956	404	658	537	214
LP6008280-DNA_E05_vs_LP6008264-DNA_D05__pv	2224	5341	574	594	1112	88	115	0	150	545	252	231	231	318	112	354
LP6008280-DNA_F01_vs_LP6008264-DNA_F01__pv	8941	4501	2158	1188	4143	2940	2814	908	2434	3414	2111	1101	887	2504	958	1116
LP6008280-DNA_F02_vs_LP6008264-DNA_F02__pv	3430	3089	1399	3081	961	1256	1197	404	1767	1315	2785	1532	358	1007	378	581
LP6008280-DNA_F03_vs_LP6008264-DNA_E03__pv	16720	21196	954	1069	6866	823	1213	287	1039	820	1262	1100	589	1185	954	335
LP6008280-DNA_F05_vs_LP6008264-DNA_E05__pv	1757	2239	465	938	768	763	914	340	1087	361	938	500	248	356	295	225
LP6008280-DNA_F06_vs_LP6008264-DNA_E06__pv	2885	2077	827	2379	1530	562	652	98	1413	380	1185	681	215	312	175	185
LP6008280-DNA_G01_vs_LP6008264-DNA_G01__pv	279	503	317	49	116	165	36	81	44	0	0	80	53	32	7	41
LP6008280-DNA_G02_vs_LP6008264-DNA_G02__pv	164	226	676	822	313	688	310	452	1157	683	1490	642	418	255	416	318
LP6008280-DNA_G03_vs_LP6008264-DNA_F03__pv	613	400	521	1368	251	800	1295	475	1082	696	1126	489	160	102	291	293
LP6008280-DNA_G04_vs_LP6008264-DNA_F04__pv	1142	741	915	987	375	172	1111	114	839	434	542	657	332	268	1007	317
LP6008280-DNA_G05_vs_LP6008264-DNA_F05__pv	2771	2134	995	2208	596	473	821	127	1873	608	1390	851	248	905	546	177
LP6008280-DNA_G06_vs_LP6008264-DNA_F06__pv	44	22	408	475	31	337	191	0	286	256	345	121	70	17	110	77
LP6008280-DNA_H01_vs_LP6008264-DNA_H01__pv	1225	946	602	1826	597	1214	675	650	1966	1809	1106	958	283	238	520	574
LP6008280-DNA_H02_vs_LP6008264-DNA_H02__pv	9049	9422	139	705	4856	0	791	1481	1443	2682	3320	289	1485	5167	1325	376
LP6008280-DNA_H04_vs_LP6008264-DNA_G04__pv	5486	2423	1041	2641	1718	1018	1126	360	1585	725	1396	913	315	318	563	472
LP6008280-DNA_H05_vs_LP6008264-DNA_G05__pv	2944	753	809	977	1201	791	559	263	963	106	691	345	217	192	193	314
LP6008280-DNA_H06_vs_LP6008264-DNA_G06__pv	8519	7802	1056	1115	3267	733	555	231	3106	730	1201	591	794	706	424	344
LP6008334-DNA_A01_vs_LP6008335-DNA_A01__pv	41701	41779	886	24	48724	308	0	497	0	0	1587	1392	66	1503	370	0
LP6008334-DNA_A03_vs_LP6008335-DNA_E02__pv	3421	4090	563	1425	1005	732	1035	1318	2777	2191	2331	1264	3499	609	4031	561
LP6008334-DNA_A04_vs_LP6008335-DNA_E03__pv	1682	1246	635	2678	555	1804	1109	1235	3047	1959	3087	815	644	681	423	471
LP6008334-DNA_B01_vs_LP6008335-DNA_B01__pv	3296	3018	792	1712	1530	473	2395	181	1765	1902	1106	540	197	342	638	455
LP6008334-DNA_B02_vs_LP6008335-DNA_F01__pv	2821	2054	736	686	1307	1125	1130	476	2309	1562	636	294	614	801	306	131
LP6008334-DNA_B03_vs_LP6008335-DNA_F02__pv	21782	30191	6051	22703	12708	0	5031	66607	3902	8923	11878	22035	0	1679	909	0
LP6008334-DNA_C01_vs_LP6008335-DNA_C01__pv	2925	1568	836	1960	729	1977	1151	507	2213	1964	1063	899	641	456	600	490
LP6008334-DNA_C02_vs_LP6008335-DNA_G01__pv	2053	3144	1047	1678	762	1519	2914	645	4692	1638	0	926	1540	1007	3332	480
LP6008334-DNA_C03_vs_LP6008335-DNA_G02__pv	2330	3259	800	2264	500	1811	684	604	785	2146	1702	2338	988	3594	558	1182
LP6008334-DNA_D01_vs_LP6008335-DNA_D01__pv	2942	1306	873	1146	1387	1075	795	0	1612	807	735	999	769	424	701	303
LP6008334-DNA_D02_vs_LP6008335-DNA_H01__pv	3441	7227	830	686	3693	1998	768	1024	1582	2492	4168	854	1653	1924	433	321
LP6008334-DNA_D03_vs_LP6008335-DNA_H02__pv	9400	6021	1029	963	3953	4900	603	2284	9412	3090	2314	1046	1685	1193	426	1592
LP6008334-DNA_E01_vs_LP6008335-DNA_A01__pv	2296	2415	368	504	442	0	257	98	267	206	730	131	1102	434	189	69
LP6008334-DNA_E02_vs_LP6008335-DNA_A02__pv	3185	2193	933	970	1604	1271	1352	418	2246	1452	1171	870	486	678	494	314
LP6008334-DNA_E03_vs_LP6008335-DNA_A03__pv	1980	2821	121	2153	1756	5880	1868	2583	2307	1072	2751	31	110	845	1142	1112
LP6008334-DNA_F01_vs_LP6008335-DNA_B01__pv	504	394	794	3380	36	693	907	388	3928	575	2497	517	256	493	281	375
LP6008334-DNA_F02_vs_LP6008335-DNA_B02__pv	4799	2740	459	973	1754	246	1273	190	1730	1025	793	441	192	442	393	310
LP6008334-DNA_F03_vs_LP6008335-DNA_B03__pv	542	243	354	2355	73	869	524	452	1669	2013	1470	452	250	209	465	610
LP6008334-DNA_G01_vs_LP6008335-DNA_C01__pv	1017	660	332	621	367	508	278	374	745	248	503	66	70	159	187	227
LP6008334-DNA_G02_vs_LP6008335-DNA_C02__pv	2343	2674	542	971	2089	1042	1068	610	1447	2177	502	424	716	658	593	374
LP6008334-DNA_G03_vs_LP6008335-DNA_C03__pv	0	0	1008	1393	0	295	619	364	860	747	1223	174	735	134	768	379
LP6008334-DNA_H01_vs_LP6008335-DNA_D01__pv	1496	844	935	1025	713	994	938	703	1625	1259	988	631	312	243	412	234
LP6008334-DNA_H02_vs_LP6008335-DNA_D02__pv	1376	1077	926	1790	449	3291	1626	665	1632	2679	752	1034	555	987	313	685
LP6008334-DNA_H03_vs_LP6008335-DNA_D03__pv	4505	6959	79	1914	2153	0	527	847	758	3281	4446	201	1481	1470	1949	651
LP6008336-DNA_A01_vs_LP6008333-DNA_A01__pv	0	62	786	1171	227	1283	269	751	1663	1542	3181	86	471	561	290	368
LP6008336-DNA_A02_vs_LP6008333-DNA_A02__pv	0	0	882	1130	13	306	433	38	594	698	671	473	257	278	383	300
LP6008336-DNA_A03_vs_LP6008333-DNA_A03__pv	26	18	407	414	54	640	334	72	703	932	40	283	200	31	243	220
LP6008336-DNA_B01_vs_LP6008333-DNA_B01__pv	393	289	637	1081	64	649	600	184	946	1245	790	276	481	196	540	247
LP6008336-DNA_B02_vs_LP6008333-DNA_B02__pv	1455	1939	730	1684	265	548	504	50	367	562	599	717	437	523	705	227
LP6008336-DNA_B03_vs_LP6008333-DNA_B03__pv	36	19	397	360	16	78	112	0	42	259	186	118	53	3	47	94
LP6008336-DNA_C01_vs_LP6008333-DNA_C01__pv	432	162	575	785	349	1898	1018	965	3787	610	2152	854	1449	783	217	164
LP6008336-DNA_C02_vs_LP6008333-DNA_C02__pv	1838	1227	360	467	928	149	136	193	889	348	722	113	118	261	162	120
LP6008336-DNA_C03_vs_LP6008333-DNA_C03__pv	517	477	702	1241	121	1016	963	670	1487	975	1001	741	848	822	774	425
