Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F
LP6008334-DNA_E03_vs_LP6008335-DNA_A03__pv	4084	7212	3740	3552	7588	2356
LP6008334-DNA_F01_vs_LP6008335-DNA_B01__pv	0	0	4843	1217	9158	800
LP6008334-DNA_F02_vs_LP6008335-DNA_B02__pv	8147	1387	1277	2037	4123	789
LP6008334-DNA_F03_vs_LP6008335-DNA_B03__pv	112	1237	4039	1052	5042	1068
LP6008334-DNA_G01_vs_LP6008335-DNA_C01__pv	1647	805	1034	657	1882	337
LP6008334-DNA_G02_vs_LP6008335-DNA_C02__pv	5135	3751	1335	2572	3718	1719
LP6008334-DNA_G03_vs_LP6008335-DNA_C03__pv	0	1293	2815	80	2494	2017
LP6008334-DNA_H01_vs_LP6008335-DNA_D01__pv	2595	2689	2273	736	4026	1033
LP6008334-DNA_H02_vs_LP6008335-DNA_D02__pv	1404	6044	3258	2262	5238	1631
LP6008334-DNA_H03_vs_LP6008335-DNA_D03__pv	7464	3949	2429	9240	3938	4201
LP6008336-DNA_A01_vs_LP6008333-DNA_A01__pv	0	4120	2039	404	5097	1051
LP6008336-DNA_A02_vs_LP6008333-DNA_A02__pv	0	1090	2480	120	1837	929
LP6008336-DNA_A03_vs_LP6008333-DNA_A03__pv	0	1410	638	141	1800	628
LP6008336-DNA_B01_vs_LP6008333-DNA_B01__pv	259	1732	1824	728	2660	1415
LP6008336-DNA_B02_vs_LP6008333-DNA_B02__pv	1375	440	3234	3344	1382	1537
LP6008336-DNA_B03_vs_LP6008333-DNA_B03__pv	0	458	834	101	278	149
LP6008336-DNA_C01_vs_LP6008333-DNA_C01__pv	688	3930	581	303	8488	2210
LP6008336-DNA_C02_vs_LP6008333-DNA_C02__pv	3403	810	596	881	2102	239
LP6008336-DNA_C03_vs_LP6008333-DNA_C03__pv	424	2613	2492	1080	3892	2279
LP6008336-DNA_D01_vs_LP6008333-DNA_D01__pv	4898	12020	48749	0	3277	1377
LP6008336-DNA_D02_vs_LP6008333-DNA_D02__pv	0	104	64	3	0	0
LP6008336-DNA_D03_vs_LP6008333-DNA_D03__pv	13647	6824	0	8326	7187	2072
LP6008336-DNA_E01_vs_LP6008333-DNA_E01__pv	13819	4829	1141	0	4679	1710
LP6008336-DNA_E02_vs_LP6008333-DNA_E02__pv	21687	1745	268	21551	2589	549
LP6008336-DNA_E03_vs_LP6008333-DNA_E03__pv	255	1430	1447	632	885	576
LP6008336-DNA_F02_vs_LP6008333-DNA_F02__pv	1867	2950	925	552	3412	2734
LP6008336-DNA_F03_vs_LP6008333-DNA_F03__pv	1461	4022	4322	1047	5937	10950
LP6008336-DNA_G01_vs_LP6008333-DNA_G01__pv	2613	2435	2305	212	3511	894
LP6008336-DNA_G02_vs_LP6008333-DNA_G02__pv	3412	6045	571	3558	1318	1334
LP6008336-DNA_G03_vs_LP6008333-DNA_G03__pv	4744	6561	236	825	9008	1946
LP6008336-DNA_H01_vs_LP6008333-DNA_H01__pv	4167	4335	1865	1851	9181	2074
LP6008336-DNA_H02_vs_LP6008333-DNA_H02__pv	0	34	92	3	0	2
LP6008336-DNA_H03_vs_LP6008333-DNA_H03__pv	496	748	0	678	11964	1034
LP6008337-DNA_A01_vs_LP6008338-DNA_A01__pv	1939	1104	761	576	1268	498
LP6008337-DNA_A02_vs_LP6008338-DNA_A02__pv	2028	1595	1329	709	2471	1034
LP6008337-DNA_A03_vs_LP6008338-DNA_A03__pv	4671	3616	1068	3102	3299	2170
LP6008337-DNA_A04_vs_LP6008338-DNA_A04__pv	1735	686	812	1000	1319	287
LP6008337-DNA_A06_vs_LP6008338-DNA_G05__pv	6117	3228	2245	1920	6610	2053
LP6008337-DNA_A07_vs_LP6008338-DNA_E06__pv	0	413	17	0	733	11692
LP6008337-DNA_B02_vs_LP6008338-DNA_B02__pv	110	1018	1358	648	1168	510
LP6008337-DNA_B03_vs_LP6008338-DNA_B03__pv	1951	1101	1434	1240	2071	605
LP6008337-DNA_B04_vs_LP6008338-DNA_B04__pv	0	618162	419838	10991	0	63809
LP6008337-DNA_B05_vs_LP6008338-DNA_A05__pv	4024	1136	1044	1843	1877	451
LP6008337-DNA_B07_vs_LP6008338-DNA_F06__pv	3390	4733	2452	963	8255	1446
LP6008337-DNA_C01_vs_LP6008338-DNA_C01__pv	6057	1825	3293	3777	4048	1719
LP6008337-DNA_C02_vs_LP6008338-DNA_C02__pv	0	723	2242	314	3467	848
LP6008337-DNA_C03_vs_LP6008338-DNA_C03__pv	7019	0	3943	1796	5210	1278
LP6008337-DNA_C04_vs_LP6008338-DNA_C04__pv	3493	1610	222	6676	1174	537
LP6008337-DNA_C05_vs_LP6008338-DNA_B05__pv	4433	1586	885	2131	4689	517
LP6008337-DNA_D01_vs_LP6008338-DNA_D01__pv	781	579	2146	89	1742	442
LP6008337-DNA_D02_vs_LP6008338-DNA_D02__pv	435	612	774	378	661	200
LP6008337-DNA_D03_vs_LP6008338-DNA_D03__pv	1279	1643	3262	1169	3721	934
LP6008337-DNA_D04_vs_LP6008338-DNA_D04__pv	952	986	463	260	1185	204
LP6008337-DNA_D05_vs_LP6008338-DNA_C05__pv	168	231	1841	167	2168	384
LP6008337-DNA_D06_vs_LP6008338-DNA_A06__pv	34878	6179	0	15766	13712	1293
LP6008337-DNA_E01_vs_LP6008338-DNA_E01__pv	7338	597	1282	2823	2768	291
LP6008337-DNA_E03_vs_LP6008338-DNA_E03__pv	4461	1750	1845	1585	2413	915
LP6008337-DNA_E04_vs_LP6008338-DNA_E04__pv	6599	1476	873	4038	6899	524
LP6008337-DNA_E05_vs_LP6008338-DNA_D05__pv	3226	597	1699	2439	1651	364
LP6008337-DNA_F01_vs_LP6008338-DNA_F01__pv	274	550	577	164	742	269
LP6008337-DNA_F02_vs_LP6008338-DNA_F02__pv	3616	2541	2620	2522	4465	1373
LP6008337-DNA_F03_vs_LP6008338-DNA_F03__pv	3726	1414	984	2127	3394	513
LP6008337-DNA_F04_vs_LP6008338-DNA_F04__pv	10933	1354	5067	5638	5649	525
LP6008337-DNA_F05_vs_LP6008338-DNA_E05__pv	4918	2852	4484	4337	11071	2695
LP6008337-DNA_F06_vs_LP6008338-DNA_C06__pv	20531	1123	678	8027	3077	565
LP6008337-DNA_G01_vs_LP6008338-DNA_G01__pv	2813	1350	3762	2465	5723	1284
LP6008337-DNA_G02_vs_LP6008338-DNA_G02__pv	6677	1526	1176	1070	3013	487
LP6008337-DNA_G03_vs_LP6008338-DNA_G03__pv	8357	1610	1745	4231	5810	850
LP6008337-DNA_G04_vs_LP6008338-DNA_G04__pv	5478	161	3405	0	2619	486
LP6008337-DNA_G05_vs_LP6008338-DNA_F05__pv	4081	1742	1134	161	2415	794
LP6008337-DNA_G06_vs_LP6008338-DNA_C06__pv	21587	712	3288	5437	5113	635
LP6008337-DNA_H01_vs_LP6008338-DNA_H01__pv	355	226	1860	823	1666	327
LP6008337-DNA_H02_vs_LP6008338-DNA_H02__pv	59487	390	0	34174	3970	0
LP6008337-DNA_H03_vs_LP6008338-DNA_H03__pv	2150	2009	1968	1144	1960	404
LP6008337-DNA_H04_vs_LP6008338-DNA_H04__pv	4973	1308	782	5397	1831	574
LP6008337-DNA_H06_vs_LP6008338-DNA_D06__pv	16099	4717	0	17013	4531	1642
LP6008341-DNA_A01_vs_LP6008340-DNA_A01__pv	3950	130	2928	4110	4714	607
LP6008341-DNA_A03_vs_LP6008340-DNA_F02__pv	0	618765	417131	18764	0	64124
LP6008341-DNA_B01_vs_LP6008340-DNA_B01__pv	11706	4048	0	14281	1888	2391
LP6008341-DNA_B03_vs_LP6008340-DNA_G02__pv	1047	608	1922	702	1388	544
LP6008341-DNA_C01_vs_LP6008340-DNA_C01__pv	8978	809	2237	2291	2877	1570
LP6008341-DNA_D01_vs_LP6008340-DNA_D01__pv	18457	4183	3454	8624	6847	3190
LP6008341-DNA_D02_vs_LP6008340-DNA_A02__pv	0	74	106	11	16	21
LP6008341-DNA_E01_vs_LP6008340-DNA_E01__pv	4029	1234	43	4755	1586	982
LP6008341-DNA_E02_vs_LP6008340-DNA_B02__pv	12571	1734	409	4131	4170	504
LP6008341-DNA_F01_vs_LP6008340-DNA_F01__pv	2924	1234	1157	2880	3475	417
LP6008341-DNA_F02_vs_LP6008340-DNA_C02__pv	2542	3533	2092	2536	3235	1780
LP6008341-DNA_G01_vs_LP6008340-DNA_G01__pv	4139	2218	3709	3538	4429	1235
LP6008341-DNA_G02_vs_LP6008340-DNA_D02__pv	757	885	1813	1037	1631	654
LP6008341-DNA_H01_vs_LP6008340-DNA_H01__pv	12179	5682	2458	12032	8138	3873
LP6008341-DNA_H02_vs_LP6008340-DNA_E02__pv	2988	843	918	5550	1796	438
LP6008460-DNA_A01_vs_LP6008340-DNA_A02__pv	3085	1429	5047	3125	2487	1908
LP6008460-DNA_A02_vs_LP6008340-DNA_C04__pv	8418	1020	3489	4794	4043	1871
LP6008460-DNA_A03_vs_LP6008340-DNA_G04__pv	4946	3386	1054	2827	5162	3023
LP6008460-DNA_A04_vs_LP6008340-DNA_D05__pv	1677	2958	5109	2063	4884	1848
LP6008460-DNA_B01_vs_LP6008340-DNA_A03__pv	0	0	6219	1893	3624	2233
LP6008460-DNA_B02_vs_LP6008340-DNA_D02__pv	6765	7603	4143	1912	6806	2684
LP6008460-DNA_B03_vs_LP6008340-DNA_H03__pv	800	1403	2933	859	3580	2162
LP6008460-DNA_B04_vs_LP6008340-DNA_F02__pv	0	557024	354113	17238	0	57022
LP6008460-DNA_C01_vs_LP6008340-DNA_B03__pv	2869	6491	1580	1238	6862	7332
LP6008460-DNA_C02_vs_LP6008340-DNA_D03__pv	167	1649	1450	234	2432	1549
LP6008460-DNA_C03_vs_LP6008340-DNA_H05__pv	3804	1923	2465	2009	1938	1022
LP6008460-DNA_C04_vs_LP6008340-DNA_F03__pv	6145	22604	82315	0	0	0
LP6008460-DNA_D01_vs_LP6008340-DNA_E02__pv	0	2960	0	25201	318	2937
LP6008460-DNA_D02_vs_LP6008340-DNA_E03__pv	862	4924	0	0	3924	1213
LP6008460-DNA_D03_vs_LP6008340-DNA_A05__pv	2024	1929	3123	1814	2314	2060
LP6008460-DNA_E01_vs_LP6008340-DNA_F04__pv	906	2515	1472	1731	3338	1257
LP6008460-DNA_E02_vs_LP6008340-DNA_E04__pv	759	5670	1132	69	8437	2995
LP6008460-DNA_E03_vs_LP6008340-DNA_B06__pv	2255	4978	3269	1607	12718	2655
LP6008460-DNA_E04_vs_LP6008340-DNA_H02__pv	4206	2973	2922	1900	5643	2227
LP6008460-DNA_F01_vs_LP6008340-DNA_B02__pv	13611	2805	2223	4494	4913	1087
LP6008460-DNA_F02_vs_LP6008340-DNA_E05__pv	4845	3777	2726	4321	17720	2037
LP6008460-DNA_F03_vs_LP6008340-DNA_C03__pv	45041	1397	0	16198	2688	0
LP6008460-DNA_F04_vs_LP6008340-DNA_H04__pv	4093	7940	2600	2426	7522	2168
LP6008460-DNA_G01_vs_LP6008340-DNA_B04__pv	13740	14683	72358	95	0	0
LP6008460-DNA_G02_vs_LP6008340-DNA_G02__pv	3952	3270	2610	2260	5414	1839
LP6008460-DNA_G03_vs_LP6008340-DNA_C05__pv	10841	4732	1719	9466	3970	1861
LP6008460-DNA_H01_vs_LP6008340-DNA_C02__pv	2935	2717	2381	3149	3196	2055
LP6008460-DNA_H02_vs_LP6008340-DNA_G03__pv	6019	1264	1491	2100	1914	607
LP6008460-DNA_H03_vs_LP6008340-DNA_D04__pv	10419	2661	1370	6773	3964	1408
PD44724a_vs_PD44724b__pv	10898	1413	4455	6476	5303	3522
PD44725a_vs_PD44725b__pv	3279	1788	3098	3350	2991	956
PD44726a_vs_PD44726b__pv	2753	456	1212	557	2577	752
PD44727a_vs_PD44727b__pv	12163	4583	2926	3703	2781	1781
PD44728a_vs_PD44728b__pv	2114	4099	3117	530	4966	3028
PD44729a_vs_PD44729b__pv	0	1354	4272	856	5289	1441
PD44730a_vs_PD44730b__pv	5578	3271	2355	3100	3812	1716
PD44731a_vs_PD44731b__pv	0	170	4930	1632	3095	1605
PD44732a_vs_PD44732b__pv	0	736	2832	463	2322	1590
PD44733a_vs_PD44733b__pv	2563	15436	72705	0	0	0
PD44734a_vs_PD44734b__pv	8324	4861	2487	2454	5371	2524
PD44735a_vs_PD44735b__pv	4163	1130	5587	2595	6904	2118
PD44736a_vs_PD44736b__pv	1921	4346	3257	4169	5410	1634
PD44737a_vs_PD44737b__pv	2951	2883	3414	2786	7191	2107
PD44738a_vs_PD44738b__pv	12468	8151	2590	9540	6330	2051
PD44739a_vs_PD44739b__pv	6583	3113	2077	2479	5102	1056
PD44740a_vs_PD44740b__pv	52866	6642	1527	13206	4470	1971
PD44741a_vs_PD44741b__pv	878	3482	3046	804	2664	2420
PD44742a_vs_PD44742b__pv	3292	6778	1464	7129	4779	5083
PD44743a_vs_PD44743b__pv	2826	2466	2824	617	4906	1476
PD44744a_vs_PD44744b__pv	21154	0	2619	9136	2758	6266
PD44745a_vs_PD44745b__pv	23218	5812	3915	6696	7077	5033
PD44746a_vs_PD44746b__pv	171	1326	1626	361	2520	891
PD44747a_vs_PD44747b__pv	4341	1824	1585	3598	3325	1025
PD44749a_vs_PD44749b__pv	3278	2131	456	3083	1070	1449
PD44751a_vs_PD44751b__pv	1335	77	1081	747	1126	191
PD44752a_vs_PD44752b__pv	2895	868	1917	365	8807	1378
PD44753a_vs_PD44753b__pv	630	3711	2474	741	2471	1662
PD44758a_vs_PD44758b__pv	7933	1827	1767	2912	1776	776
PD44759a_vs_PD44759b__pv	3357	3310	1834	2152	4953	1196
PD44760a_vs_PD44760b__pv	1771	3317	2056	4101	2675	1221
PD44761a_vs_PD44761b__pv	0	2787	5028	1598	4712	1292
PD44762a_vs_PD44762b__pv	0	1444	2448	423	1480	1259
PD44763a_vs_PD44763b__pv	4176	2474	3025	2145	4999	1775
PD44764a_vs_PD44764b__pv	497	3075	2051	1607	2132	3582
PD44765a_vs_PD44765b__pv	19268	3682	0	32010	2683	2709
PD44766a_vs_PD44766b__pv	4345	0	85826	0	1576	0
PD44767a_vs_PD44767b__pv	7774	5806	789	18848	1663	1733
PD44769a_vs_PD44769b__pv	113	2329	2168	265	3047	1261
PD44770a_vs_PD44770b__pv	3676	0	32673	4760	1364	346
PD44772a_vs_PD44772b__pv	4879	6046	1943	866	7968	4467
PD44773a_vs_PD44773b__pv	4508	88	9556	3648	4148	1568
PD44774a_vs_PD44774b__pv	0	474	3998	576	1283	1767
PD44775a_vs_PD44775b__pv	0	0	98298	1413	7239	0
PD44776a_vs_PD44776b__pv	12445	6543	0	19470	834	2472
PD44777a_vs_PD44777b__pv	1023	1821	3539	595	6326	996
PD44778a_vs_PD44778b__pv	1210	5571	3257	8327	2122	2246
PD44780a_vs_PD44780b__pv	0	724	1258	197	3059	643
PD44781a_vs_PD44781b__pv	23043	3403	3986	4853	3549	3369
PD44782a_vs_PD44782b__pv	24062	2328	0	17501	3293	4064
PD44783a_vs_PD44783b__pv	4570	9589	402	1490	4229	840
PD44784a_vs_PD44784b__pv	451	4328	3299	1161	8982	1554
PD44785a_vs_PD44785b__pv	16738	4467	1782	4565	2788	1375
PD44786a_vs_PD44786b__pv	1254	854	1822	338	1182	870
PD44787a_vs_PD44787b__pv	555	1740	2381	1985	7318	1369
PD44788a_vs_PD44788b__pv	4069	3987	1145	1347	8720	3042
PD44789a_vs_PD44789b__pv	6143	5471	2918	4174	5528	3838
PD44790a_vs_PD44790b__pv	6312	3092	355	6975	3791	1314
PD44791a_vs_PD44791b__pv	4830	400	980	2122	1436	38
PD44792a_vs_PD44792b__pv	14712	3126	0	13070	2869	1915
PD44793a_vs_PD44793b__pv	150	979	3124	799	3175	1237
PD44794a_vs_PD44794b__pv	497	4587	1140	237	4388	2741
PD44795a_vs_PD44795b__pv	17689	1139	0	13832	2183	345
PD44796a_vs_PD44796b__pv	2997	7671	4027	2580	5653	2488
PD44797a_vs_PD44797b__pv	6135	4704	4213	2427	10649	2856
PD44798a_vs_PD44798b__pv	1662	1332	2267	791	3708	961
PD44799a_vs_PD44799b__pv	1871	1704	3474	965	4606	1284
PD44800a_vs_PD44800b__pv	4569	2325	2738	1881	6129	2129
PD44801a_vs_PD44801b__pv	5835	83	3487	2965	5741	775
PD44802a_vs_PD44802b__pv	0	1074	1501	490	1283	527
PD44803a_vs_PD44803b__pv	6568	4806	3415	5174	10595	1668
PD44804a_vs_PD44804b__pv	1490	1161	1129	853	1507	401
PD44805a_vs_PD44805b__pv	15875	1485	0	26020	1220	4098
PD44807a_vs_PD44807b__pv	226	2143	1685	418	1291	1690
PD44808a_vs_PD44808b__pv	599	4210	1945	953	3273	3955
PD44809a_vs_PD44809b__pv	1423	3923	2668	2192	4469	1773
PD44810a_vs_PD44810b__pv	9465	3274	5530	4762	2834	5366
PD44811a_vs_PD44811b__pv	4314	2151	1845	1426	3355	1347
PD44813a_vs_PD44813b__pv	3279	2695	2579	4619	2208	1375
PD44814a_vs_PD44814b__pv	557	5358	2715	1298	5383	1512
PD44815a_vs_PD44815b__pv	2954	3597	1079	1657	2447	2262
PD44816a_vs_PD44816b__pv	1425	901	5173	1675	5323	1458
PD44817a_vs_PD44817b__pv	136	4096	219	0	6265	1867
PD44818a_vs_PD44818b__pv	7761	2500	1052	7500	2824	1037
PD44819a_vs_PD44819b__pv	24724	5195	1243	14295	6143	1847
PD44820a_vs_PD44820b__pv	1612	1336	2766	1807	3800	1304
PD44821a_vs_PD44821b__pv	6404	2389	2614	4173	4644	1819
PD44823a_vs_PD44823b__pv	1313	2026	2006	484	2158	1419
PD44824a_vs_PD44824b__pv	3376	1440	4705	5379	5430	3291
PD44825a_vs_PD44825b__pv	4307	10222	86759	10377	5587	3780
PD44826a_vs_PD44826b__pv	2814	2543	3627	2135	5423	1924
PD44827a_vs_PD44827b__pv	1823	2563	1898	1105	3370	1110
PD44828a_vs_PD44828b__pv	13883	898	3169	6819	5430	1114
PD44829a_vs_PD44829b__pv	4921	6412	6291	1700	14110	3007
PD44830a_vs_PD44830b__pv	4518	634	2738	2102	10626	1342
PD44831a_vs_PD44831b__pv	34526	4651	4317	7285	703	3036
PD44832a_vs_PD44832b__pv	1309	0	62313	5401	6593	2087
PD44833a_vs_PD44833b__pv	21861	4146	330	10126	4232	839
PD44834a_vs_PD44834b__pv	2444	4301	2460	2242	2146	2245
PD44835a_vs_PD44835b__pv	3386	2675	117	689	6768	2162
PD44836a_vs_PD44836b__pv	1815	5552	7304	4794	5882	2769
PD44837a_vs_PD44837b__pv	1080	713	895	479	1626	480
PD44838a_vs_PD44838b__pv	460	6249	4032	1147	7623	3810
PD44839a_vs_PD44839b__pv	0	2024	3191	2491	2765	3435
PD44840a_vs_PD44840b__pv	5150	2649	2318	3827	3178	1014
PD44841a_vs_PD44841b__pv	13691	10595	65605	3705	1646	876
PD44842a_vs_PD44842b__pv	298	1033	2329	857	2944	1376
PD44843a_vs_PD44843b__pv	5154	4875	2841	13263	5934	2767
PD44844a_vs_PD44844b__pv	0	1193	2083	651	4370	1094
PD44845a_vs_PD44845b__pv	4212	1670	3072	470	5594	2167
PD44846a_vs_PD44846b__pv	10131	2532	2053	0	3844	640
PD44847a_vs_PD44847b__pv	2341	1159	3788	3399	3290	1196
PD44848a_vs_PD44848b__pv	10274	12403	1621	17015	4586	5188
PD44849a_vs_PD44849b__pv	812	3857	3303	483	8229	2764
PD44850a_vs_PD44850b__pv	4577	2304	4705	9809	3149	1867
PD44851a_vs_PD44851b__pv	3182	1014	3631	2044	3318	3254
PD44852a_vs_PD44852b__pv	2722	5865	3557	4526	4915	1339
PD44853a_vs_PD44853b__pv	2539	0	2667	2395	6010	869
PD44854a_vs_PD44854b__pv	3115	2735	2896	2401	4227	2311
PD44855a_vs_PD44855b__pv	6254	2463	2189	1063	5261	1404
PD44856a_vs_PD44856b__pv	18749	1587	3734	5170	3875	1402
PD44857a_vs_PD44857b__pv	18107	2279	853	13350	2350	596
PD44859a_vs_PD44859b__pv	10434	7339	30745	5908	611	1598
PD44861a_vs_PD44861b__pv	5519	4866	2602	1900	5452	2287
PD44862a_vs_PD44862b__pv	1572	4277	1102	2242	413	7524
PD44863a_vs_PD44863b__pv	5515	37	1476	5815	6086	2982
PD44864a_vs_PD44864b__pv	9337	2863	1240	6237	3091	2099
PD44904a_vs_PD44904b__pv	18090	12315	2933	5160	5913	1561
PD44905a_vs_PD44905b__pv	1533	6730	2461	957	2612	3777
PD44906a_vs_PD44906b__pv	3106	4339	1395	1822	2413	1110
PD44908a_vs_PD44908b__pv	6624	2881	2324	8959	2170	1304
PD44909a_vs_PD44909b__pv	0	0	3345	639	3860	525
PD44910a_vs_PD44910b__pv	7131	1358	3593	2082	6508	1824
PD44912a_vs_PD44912b__pv	33226	3524	949	8675	6745	2849
PD44913a_vs_PD44913b__pv	1061	4727	1953	1793	3548	1272
PD44914a_vs_PD44914b__pv	659	8024	2077	3558	3375	3042
PD44915a_vs_PD44915b__pv	3160	2169	270	3809	4692	1005
PD44916a_vs_PD44916b__pv	411	2313	2330	1347	2567	1891
PD44917a_vs_PD44917b__pv	0	1098	634	129	870	779
PD44918a_vs_PD44918b__pv	4765	676	2117	3476	3398	1882
PD44919a_vs_PD44919b__pv	8619	1151	3214	0	3121	1167
PD44920a_vs_PD44920b__pv	11990	2520	1693	3698	2276	905
PD44921a_vs_PD44921b__pv	1336	1307	974	1512	814	434
PD44922a_vs_PD44922b__pv	44559	8865	0	10859	4180	4437
PD44923a_vs_PD44923b__pv	3317	11029	4709	1862	8167	5029
PD44924a_vs_PD44924b__pv	0	518	5391	1752	4113	1631
PD44925a_vs_PD44925b__pv	4874	5729	712	1873	9496	2627
PD44926a_vs_PD44926b__pv	519	550	4090	1465	4527	1154
PD44927a_vs_PD44927b__pv	11120	773	3088	3194	3722	1396
PD44928a_vs_PD44928b__pv	5457	1194	4193	754	7365	941
PD44929a_vs_PD44929b__pv	9555	2159	3603	2278	3242	1598
PD44930a_vs_PD44930b__pv	3842	8014	0	13888	4194	5338
PD44931a_vs_PD44931b__pv	17972	1783	66198	11011	1151	0
PD44932a_vs_PD44932b__pv	12632	1819	2147	0	4341	654
PD44933a_vs_PD44933b__pv	0	1267	1606	163	453	5729
PD44934a_vs_PD44934b__pv	57737	2555	2830	0	5371	1420
PD44935a_vs_PD44935b__pv	2088	4818	1444	883	5536	1383
PD44936a_vs_PD44936b__pv	936	1104	2179	1432	1357	707
PD44937a_vs_PD44937b__pv	4513	5447	2865	5207	4794	4236
PD44938a_vs_PD44938b__pv	7740	4956	2331	2244	4149	1109
PD44939a_vs_PD44939b__pv	1822	2321	3631	1146	5186	2169
PD44941a_vs_PD44941b__pv	1097	3834	2259	996	4952	1349
PD44942a_vs_PD44942b__pv	6087	662	3541	2361	4154	1014
PD44943a_vs_PD44943b__pv	239	2010	1886	527	3214	496
PD44944a_vs_PD44944b__pv	5658	2878	2889	1254	4845	1008
PD44945a_vs_PD44945b__pv	22584	2690	0	13201	4413	1509
PD44946a_vs_PD44946b__pv	2758	2353	2511	3442	3987	1307
PD44947a_vs_PD44947b__pv	688	824	610	249	1310	463
PD44948a_vs_PD44948b__pv	8631	2288	1003	8350	2177	5617
PD44949a_vs_PD44949b__pv	4067	0	3166	1405	2626	3871
PD44950a_vs_PD44950b__pv	984	608	703	308	2320	532
PD46225a_vs_PD46225b__pv	2584	1679	2770	3732	7724	3072
PD46226a_vs_PD46226b__pv	1629	1689	6556	947	5716	3016
PD46227a_vs_PD46227b__pv	3297	16761	0	26865	788	2199
PD46228a_vs_PD46228b__pv	10999	0	1139	3839	7067	794
PD46229a_vs_PD46229b__pv	13273	3411	1071	12687	5137	1882
PD46230a_vs_PD46230b__pv	3707	2184	1435	1100	5039	8097
PD46231a_vs_PD46231b__pv	188	1165	1186	132	1887	1737
PD46232a_vs_PD46232b__pv	3175	2437	1737	1560	3831	1366
PD46233a_vs_PD46233b__pv	3342	10953	2291	8229	3634	3241
PD46234a_vs_PD46234b__pv	164	2776	1605	128	2516	1076
PD46235a_vs_PD46235b__pv	5011	0	6077	2610	5657	2292
PD46236a_vs_PD46236b__pv	2036	1608	3862	1686	7146	1140
PD46237a_vs_PD46237b__pv	19668	7258	4466	0	6133	1969
PD46238a_vs_PD46238b__pv	2282	8712	0	436	3287	1451
PD46239a_vs_PD46239b__pv	3419	1396	2835	2331	2950	1141
PD46240a_vs_PD46240b__pv	552	2612	2376	992	2061	739
PD46241a_vs_PD46241b__pv	21751	3416	5284	4663	8396	1749
PD46242a_vs_PD46242b__pv	10102	0	0	84287	0	2296
PD46243a_vs_PD46243b__pv	1035	3096	4798	1233	3715	3929
PD46244a_vs_PD46244b__pv	0	0	4007	335	4412	1012
PD46245a_vs_PD46245b__pv	0	7099	65	393	6182	2894
PD46246a_vs_PD46246b__pv	2985	9308	3910	7020	4684	3450
PD46247a_vs_PD46247b__pv	1409	1245	7921	6043	4613	2601
PD46248a_vs_PD46248b__pv	28161	1609	3359	5380	2904	1149
PD46249a_vs_PD46249b__pv	18734	1588	4336	4715	7542	828
PD46250a_vs_PD46250b__pv	104	4091	550	212	1247	4629
PD46251a_vs_PD46251b__pv	1570	1458	38155	0	2304	0
PD46252a_vs_PD46252b__pv	2718	0	0	436	30948	0
PD46253a_vs_PD46253b__pv	6435	2390	4498	9322	4582	3274
PD46254a_vs_PD46254b__pv	7841	1724	2637	3938	4112	1564
PD46255a_vs_PD46255b__pv	1182	847	4157	630	4573	1989
PD46256a_vs_PD46256b__pv	523	1214	3753	5759	2497	853
PD46257a_vs_PD46257b__pv	0	0	4484	290	4273	1020
PD46258a_vs_PD46258b__pv	5859	3847	1388	2445	4434	1936
PD46259a_vs_PD46259b__pv	3313	5091	1395	2288	2948	2687
PD46260a_vs_PD46260b__pv	310	1534	1583	439	2642	4684
PD46261a_vs_PD46261b__pv	450	1570	1949	564	2068	912
PD46262a_vs_PD46262b__pv	597	987	1236	1051	1381	1254
PD46263a_vs_PD46263b__pv	8190	980	541	114	5610	441
PD46264a_vs_PD46264b__pv	4678	3702	325	2113	3690	1908
PD46265a_vs_PD46265b__pv	8751	1772	2940	5025	4205	1823
PD46267a_vs_PD46267b__pv	1	282	111	36	90	82
PD46268a_vs_PD46268b__pv	2272	2015	2686	0	3842	1448
SLX-16751	2374	407	1415	1451	1734	430
SLX-16752	9233	1974	139	10641	1182	163
SLX-18929	210496	134655	84610	132900	171561	69558
SLX-18949	25054	2200	2037	12116	4278	739
SLX-18950	735	851	887	137	814	200
SM-4AX82_vs_SM-4AWN8__pv	2803	3148	2466	1771	7002	910
SM-4AX83_vs_SM-4AWN9__pv	2269	1803	612	79	1572	962
SM-4AX84_vs_SM-4AWNA__pv	13179	1252	1648	5179	5996	796
SM-4AX85_vs_SM-4AWNB__pv	200	3812	3851	699	4864	1954
SM-4AX86_vs_SM-4AWNC__pv	6058	3034	938	4043	3615	2460
SM-4AX87_vs_SM-4AWND__pv	0	794	611	301	2917	347
SM-4B295_vs_SM-4AWNE__pv	10264	6193	1457	5294	4347	2405
SM-4B296_vs_SM-4AWNF__pv	11622	14532	0	7125	4441	9808
SM-4JPP6_vs_SM-4JPUS__pv	2068	6053	753	1095	8884	1541
SM-4JPP7_vs_SM-4JPUT__pv	1347	2200	2269	1374	2047	1655
SM-4JPP9_vs_SM-4JPUT__pv	1611	2099	2143	1283	1946	1557
SM-4JPPA_vs_LP6005333-DNA_B01__pv	3349	2856	6582	1983	11272	3680
SM-4JPPB_vs_LP6005333-DNA_B01__pv	2606	2713	6496	2217	11148	3692
SM-4JPPC_vs_LP6005333-DNA_B01__pv	3622	2692	6680	1819	11269	3710
