Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F
LP6005500-DNA_B01_vs_LP6005499-DNA_B01__pv	3880	3270	2049	3579	2873	1745
LP6005500-DNA_B02_vs_LP6005499-DNA_B02__pv	15754	5933	3359	1486	5915	2652
LP6005500-DNA_B03_vs_LP6005499-DNA_B03__pv	5493	7557	106	3860	2321	860
LP6005500-DNA_C01_vs_LP6005499-DNA_C01__pv	2517	2248	607	1124	4773	947
LP6005500-DNA_C02_vs_LP6005499-DNA_C02__pv	2619	1742	10831	2130	5037	1861
LP6005500-DNA_C03_vs_LP6005499-DNA_C03__pv	12847	1459	3512	2933	3220	1431
LP6005500-DNA_D01_vs_LP6005499-DNA_D01__pv	5060	2664	1748	907	3896	1210
LP6005500-DNA_D02_vs_LP6005499-DNA_D02__pv	9089	602	1733	2515	11619	944
LP6005500-DNA_D03_vs_LP6005499-DNA_D03__pv	5352	3079	2537	2666	3099	1635
LP6005500-DNA_E02_vs_LP6005499-DNA_E02__pv	20921	2299	0	14490	2139	724
LP6005500-DNA_E03_vs_LP6005499-DNA_E03__pv	32991	6463	0	40718	0	721
LP6005500-DNA_F01_vs_LP6005499-DNA_F01__pv	8182	4475	591	1336	4317	2955
LP6005500-DNA_F02_vs_LP6005499-DNA_F02__pv	4840	3060	5340	705	6945	10031
LP6005500-DNA_F03_vs_LP6005499-DNA_F03__pv	0	1397	10623	4551	8545	2187
LP6005500-DNA_G01_vs_LP6005499-DNA_G01__pv	20385	347	0	24669	1373	316
LP6005500-DNA_G02_vs_LP6005499-DNA_G02__pv	0	0	2483	60	613	833
LP6005500-DNA_G03_vs_LP6005499-DNA_G03__pv	17045	762	3542	0	3473	469
LP6005500-DNA_H01_vs_LP6005499-DNA_H01__pv	2014	2714	3523	6492	3950	2953
LP6005500-DNA_H02_vs_LP6005499-DNA_H02__pv	628	1524	3414	7004	1622	4038
LP6005500-DNA_H03_vs_LP6005499-DNA_H03__pv	3544	5146	2233	7001	3252	1927
LP6005501-DNA_A01_vs_LP6005499-DNA_A01__pv	370	815	652	161	1382	339
LP6005501-DNA_B01_vs_LP6005499-DNA_B01__pv	3673	3775	2000	3176	2941	1767
LP6005501-DNA_C01_vs_LP6005499-DNA_C01__pv	2259	1710	4828	1860	8150	1510
LP6005501-DNA_D01_vs_LP6005499-DNA_D01__pv	3174	1809	3625	1378	5384	2253
LP6005501-DNA_E01_vs_LP6005499-DNA_E01__pv	938	548	720	220	708	412
LP6005501-DNA_F01_vs_LP6005499-DNA_F01__pv	16103	3311	872	0	4143	2677
LP6005690-DNA_A02_vs_LP6005689-DNA_A02__pv	766	2116	1797	489	6742	1155
LP6005690-DNA_B01_vs_LP6005689-DNA_B01__pv	4841	2308	722	4478	3965	1010
LP6005690-DNA_B03_vs_LP6005777-DNA_A01__pv	17269	2694	2392	3060	3248	1320
LP6005690-DNA_C02_vs_LP6005689-DNA_C02__pv	0	1823	4486	720	6804	1995
LP6005690-DNA_C03_vs_LP6005689-DNA_C03__pv	17014	2941	1695	2595	7987	1988
LP6005690-DNA_D02_vs_LP6005689-DNA_D02__pv	18006	2963	1651	11322	2743	2859
LP6005690-DNA_D03_vs_LP6005689-DNA_D03__pv	13454	2643	0	11337	2285	1978
LP6005690-DNA_E01_vs_LP6005689-DNA_E01__pv	10673	3899	709	4908	11327	2592
LP6005690-DNA_E02_vs_LP6005689-DNA_E02__pv	0	0	29	4	1	10
LP6005690-DNA_E03_vs_LP6005689-DNA_E03__pv	2435	1811	2720	854	4861	933
LP6005690-DNA_F01_vs_LP6005689-DNA_F01__pv	10844	3959	2224	6416	4611	1831
LP6005690-DNA_F02_vs_LP6005689-DNA_F02__pv	31942	2144	1586	0	3134	1990
LP6005690-DNA_F03_vs_LP6005689-DNA_F03__pv	3410	2380	2916	892	4656	2685
LP6005690-DNA_G02_vs_LP6005689-DNA_G02__pv	12757	2045	1985	2369	5387	1635
LP6005690-DNA_H02_vs_LP6005689-DNA_H02__pv	36726	0	948	12438	4095	831
LP6005691-DNA_A01_vs_LP6005689-DNA_C01__pv	1562	239	2715	993	4860	587
LP6005691-DNA_A02_vs_LP6005689-DNA_F03__pv	873	603	1439	474	1603	700
LP6005691-DNA_B01_vs_LP6005689-DNA_E01__pv	12172	3928	612	4745	11580	2215
LP6005691-DNA_C01_vs_LP6005689-DNA_A02__pv	122	617	2211	714	5389	1177
LP6005691-DNA_D01_vs_LP6005689-DNA_B02__pv	47432	185	0	21199	1295	0
LP6005691-DNA_E01_vs_LP6005689-DNA_D01__pv	2284	2051	1017	593	939	260
LP6005691-DNA_F01_vs_LP6005689-DNA_F01__pv	10777	1487	1103	5965	2922	597
LP6005691-DNA_G01_vs_LP6005689-DNA_G01__pv	5	44	145	0	51	28
LP6005691-DNA_H01_vs_LP6005689-DNA_H01__pv	2580	538	317	1271	1311	358
LP6005935-DNA_A01_vs_LP6005979-DNA_A01__pv	19557	4165	4922	5271	10168	2852
LP6005935-DNA_A02_vs_LP6005934-DNA_A02__pv	4694	2859	614	17216	1400	2154
LP6005935-DNA_A03_vs_LP6005934-DNA_A03__pv	0	880	4089	620	4573	985
LP6005935-DNA_B01_vs_LP6005934-DNA_B01__pv	1058	6137	502	869	3603	1275
LP6005935-DNA_B02_vs_LP6005934-DNA_B02__pv	10604	7938	0	6979	4496	2733
LP6005935-DNA_B03_vs_LP6005934-DNA_B03__pv	15217	2622	0	24300	4421	2517
LP6005935-DNA_B04_vs_LP6005934-DNA_B04__pv	457	720	5197	1822	7656	1583
LP6005935-DNA_C01_vs_LP6005934-DNA_C01__pv	18925	36898	123668	0	0	3853
LP6005935-DNA_C02_vs_LP6005979-DNA_B01__pv	10951	4403	3468	5639	5645	2828
