Samples	SBS96A	SBS96B	SBS96C
PD44725a_vs_PD44725b__pv	5829	4758	4875
PD44726a_vs_PD44726b__pv	2831	1946	3530
PD44727a_vs_PD44727b__pv	14819	5777	7341
PD44728a_vs_PD44728b__pv	2362	5090	10402
PD44729a_vs_PD44729b__pv	594	5672	6946
PD44730a_vs_PD44730b__pv	7878	4509	7445
PD44731a_vs_PD44731b__pv	1193	5524	4715
PD44732a_vs_PD44732b__pv	299	3336	4308
PD44733a_vs_PD44733b__pv	1371	89333	0
PD44734a_vs_PD44734b__pv	9939	5328	10754
PD44735a_vs_PD44735b__pv	5603	7539	9355
PD44736a_vs_PD44736b__pv	5504	6027	9206
PD44737a_vs_PD44737b__pv	4942	5868	10522
PD44738a_vs_PD44738b__pv	20519	7660	12951
PD44739a_vs_PD44739b__pv	8237	4554	7619
PD44740a_vs_PD44740b__pv	61412	7864	11406
PD44741a_vs_PD44741b__pv	1508	4567	7219
PD44742a_vs_PD44742b__pv	9591	4134	14800
PD44743a_vs_PD44743b__pv	3021	4644	7450
PD44744a_vs_PD44744b__pv	26178	3880	11875
PD44745a_vs_PD44745b__pv	27120	8000	16631
PD44746a_vs_PD44746b__pv	437	2490	3968
PD44747a_vs_PD44747b__pv	7038	3232	5428
PD44749a_vs_PD44749b__pv	5851	1462	4154
PD44751a_vs_PD44751b__pv	1758	1482	1317
PD44752a_vs_PD44752b__pv	2643	3801	9786
PD44753a_vs_PD44753b__pv	1292	4194	6203
PD44758a_vs_PD44758b__pv	9920	3355	3716
PD44759a_vs_PD44759b__pv	5017	4086	7699
PD44760a_vs_PD44760b__pv	5370	4016	5755
PD44761a_vs_PD44761b__pv	1303	7126	6988
PD44762a_vs_PD44762b__pv	316	3164	3574
PD44763a_vs_PD44763b__pv	5559	4987	8048
PD44764a_vs_PD44764b__pv	1859	2917	8168
PD44765a_vs_PD44765b__pv	44966	4459	10927
PD44766a_vs_PD44766b__pv	2075	89672	0
PD44767a_vs_PD44767b__pv	24130	4676	7807
PD44769a_vs_PD44769b__pv	304	3460	5419
PD44770a_vs_PD44770b__pv	6851	35607	361
PD44772a_vs_PD44772b__pv	5246	4763	16160
PD44773a_vs_PD44773b__pv	6643	11191	5682
PD44774a_vs_PD44774b__pv	330	4275	3493
PD44775a_vs_PD44775b__pv	0	106950	0
PD44776a_vs_PD44776b__pv	29483	2695	9586
PD44777a_vs_PD44777b__pv	1309	5409	7582
PD44778a_vs_PD44778b__pv	8785	6095	7853
PD44780a_vs_PD44780b__pv	114	2010	3757
PD44781a_vs_PD44781b__pv	25405	6890	9908
PD44782a_vs_PD44782b__pv	36786	2910	11552
PD44783a_vs_PD44783b__pv	6548	4581	9991
PD44784a_vs_PD44784b__pv	1378	6404	11993
PD44785a_vs_PD44785b__pv	20013	4821	6881
PD44786a_vs_PD44786b__pv	1379	2372	2569
PD44787a_vs_PD44787b__pv	2082	4325	8941
PD44788a_vs_PD44788b__pv	4803	3692	13815
PD44789a_vs_PD44789b__pv	9382	5734	12956
PD44790a_vs_PD44790b__pv	11988	2686	7165
PD44791a_vs_PD44791b__pv	6179	1907	1720
PD44792a_vs_PD44792b__pv	25137	1988	8567
PD44793a_vs_PD44793b__pv	722	4008	4734
PD44794a_vs_PD44794b__pv	701	2914	9975
PD44795a_vs_PD44795b__pv	28132	2263	4793
PD44796a_vs_PD44796b__pv	5328	7914	12174
PD44797a_vs_PD44797b__pv	7549	7886	15549
PD44798a_vs_PD44798b__pv	2090	3488	5143
PD44799a_vs_PD44799b__pv	2394	5036	6474
PD44800a_vs_PD44800b__pv	5607	4747	9417
PD44801a_vs_PD44801b__pv	7380	5193	6313
PD44802a_vs_PD44802b__pv	412	2165	2298
PD44803a_vs_PD44803b__pv	10422	7655	14149
PD44804a_vs_PD44804b__pv	2126	1962	2453
PD44805a_vs_PD44805b__pv	36087	2879	9732
PD44807a_vs_PD44807b__pv	573	2463	4417
PD44808a_vs_PD44808b__pv	1401	3240	10294
PD44809a_vs_PD44809b__pv	3280	4893	8275
PD44810a_vs_PD44810b__pv	12526	7204	11501
PD44811a_vs_PD44811b__pv	5183	3339	5916
PD44813a_vs_PD44813b__pv	7107	4363	5285
PD44814a_vs_PD44814b__pv	1757	5610	9456
PD44815a_vs_PD44815b__pv	4340	2532	7124
PD44816a_vs_PD44816b__pv	2474	6618	6863
PD44817a_vs_PD44817b__pv	134	2253	10196
PD44818a_vs_PD44818b__pv	13690	3297	5687
PD44819a_vs_PD44819b__pv	35411	6232	11804
PD44820a_vs_PD44820b__pv	2896	4031	5698
PD44821a_vs_PD44821b__pv	9336	4752	7955
PD44823a_vs_PD44823b__pv	1609	3051	4746
PD44824a_vs_PD44824b__pv	7308	6375	9938
PD44825a_vs_PD44825b__pv	11699	98443	10890
PD44826a_vs_PD44826b__pv	4284	5625	8557
PD44827a_vs_PD44827b__pv	2677	3469	5723
PD44828a_vs_PD44828b__pv	18087	5821	7405
PD44829a_vs_PD44829b__pv	5777	11235	19429
PD44830a_vs_PD44830b__pv	5433	5157	11370
PD44831a_vs_PD44831b__pv	38879	8046	7593
PD44832a_vs_PD44832b__pv	4645	66886	6172
PD44833a_vs_PD44833b__pv	29400	4241	7893
PD44834a_vs_PD44834b__pv	4415	4348	7075
PD44835a_vs_PD44835b__pv	3612	1927	10258
PD44836a_vs_PD44836b__pv	5855	10780	11481
PD44837a_vs_PD44837b__pv	1357	1493	2423
PD44838a_vs_PD44838b__pv	1401	7102	14818
PD44839a_vs_PD44839b__pv	2050	3985	7871
PD44840a_vs_PD44840b__pv	8118	4358	5660
PD44841a_vs_PD44841b__pv	15066	77333	3719
PD44842a_vs_PD44842b__pv	924	3127	4786
PD44843a_vs_PD44843b__pv	16239	6560	12035
PD44844a_vs_PD44844b__pv	480	3200	5711
PD44845a_vs_PD44845b__pv	3981	4656	8548
PD44846a_vs_PD44846b__pv	9392	4252	5556
PD44847a_vs_PD44847b__pv	4863	5200	5110
PD44848a_vs_PD44848b__pv	25662	7331	18094
PD44849a_vs_PD44849b__pv	1062	5738	12648
PD44850a_vs_PD44850b__pv	12439	7108	6864
PD44851a_vs_PD44851b__pv	4353	4407	7683
PD44852a_vs_PD44852b__pv	6768	7047	9109
PD44853a_vs_PD44853b__pv	3999	4053	6428
PD44854a_vs_PD44854b__pv	4854	4644	8187
PD44855a_vs_PD44855b__pv	6557	4254	7823
PD44856a_vs_PD44856b__pv	21402	6440	6675
PD44857a_vs_PD44857b__pv	28225	4068	5242
PD44859a_vs_PD44859b__pv	14812	37278	4545
PD44861a_vs_PD44861b__pv	6866	5346	10414
PD44862a_vs_PD44862b__pv	3415	1082	12633
PD44863a_vs_PD44863b__pv	9353	2896	9662
PD44864a_vs_PD44864b__pv	14017	3374	7476
PD44904a_vs_PD44904b__pv	22924	9428	13620
PD44905a_vs_PD44905b__pv	2463	4713	10894
PD44906a_vs_PD44906b__pv	4817	3500	5868
PD44908a_vs_PD44908b__pv	13926	4693	5643
PD44909a_vs_PD44909b__pv	399	4119	3851
PD44910a_vs_PD44910b__pv	7925	5640	8931
PD44912a_vs_PD44912b__pv	38009	5145	12814
PD44913a_vs_PD44913b__pv	2760	4357	7237
PD44914a_vs_PD44914b__pv	4206	5222	11307
PD44915a_vs_PD44915b__pv	6181	2107	6817
PD44916a_vs_PD44916b__pv	1530	3460	5869
PD44917a_vs_PD44917b__pv	108	1051	2351
PD44918a_vs_PD44918b__pv	7011	3255	6048
PD44919a_vs_PD44919b__pv	7661	4722	4889
PD44920a_vs_PD44920b__pv	14478	3819	4785
PD44921a_vs_PD44921b__pv	2630	1758	1989
PD44922a_vs_PD44922b__pv	52104	5215	15581
PD44923a_vs_PD44923b__pv	4955	9569	19589
PD44924a_vs_PD44924b__pv	1278	6352	5775
PD44925a_vs_PD44925b__pv	6204	4096	15011
PD44926a_vs_PD44926b__pv	1532	5209	5564
PD44927a_vs_PD44927b__pv	12573	4834	5886
PD44928a_vs_PD44928b__pv	5265	6386	8253
PD44929a_vs_PD44929b__pv	10640	5590	6205
PD44930a_vs_PD44930b__pv	16280	2849	16147
PD44931a_vs_PD44931b__pv	24781	73334	0
PD44932a_vs_PD44932b__pv	11553	4269	5771
PD44933a_vs_PD44933b__pv	40	909	8269
PD44934a_vs_PD44934b__pv	53746	7498	8669
PD44935a_vs_PD44935b__pv	2839	4052	9261
PD44936a_vs_PD44936b__pv	2066	2996	2653
PD44937a_vs_PD44937b__pv	8786	5477	12799
PD44938a_vs_PD44938b__pv	9494	5263	7772
PD44939a_vs_PD44939b__pv	2508	5320	8447
PD44941a_vs_PD44941b__pv	1913	4499	8075
PD44942a_vs_PD44942b__pv	7241	5102	5476
PD44943a_vs_PD44943b__pv	674	3287	4411
PD44944a_vs_PD44944b__pv	6269	5172	7091
PD44945a_vs_PD44945b__pv	32365	2512	9520
PD44946a_vs_PD44946b__pv	5454	4387	6517
PD44947a_vs_PD44947b__pv	838	1128	2178
PD44948a_vs_PD44948b__pv	14752	2106	11208
PD44949a_vs_PD44949b__pv	4449	3315	7371
PD44950a_vs_PD44950b__pv	1098	1325	3032
PD46225a_vs_PD46225b__pv	5245	4647	11669
PD46226a_vs_PD46226b__pv	2007	8022	9524
PD46227a_vs_PD46227b__pv	29966	4731	15213
PD46228a_vs_PD46228b__pv	12759	3346	7733
PD46229a_vs_PD46229b__pv	23089	4567	9805
PD46230a_vs_PD46230b__pv	3969	1583	16010
PD46231a_vs_PD46231b__pv	240	1605	4450
PD46232a_vs_PD46232b__pv	4246	3389	6471
PD46233a_vs_PD46233b__pv	11379	6932	13379
PD46234a_vs_PD46234b__pv	276	2967	5022
PD46235a_vs_PD46235b__pv	6218	7469	7960
PD46236a_vs_PD46236b__pv	3084	5944	8450
PD46237a_vs_PD46237b__pv	18709	9099	11686
PD46238a_vs_PD46238b__pv	3156	2984	10028
PD46239a_vs_PD46239b__pv	5011	4207	4854
PD46240a_vs_PD46240b__pv	1434	3873	4025
PD46241a_vs_PD46241b__pv	23702	9612	11945
PD46242a_vs_PD46242b__pv	84431	0	12254
PD46243a_vs_PD46243b__pv	1885	6099	9822
PD46244a_vs_PD46244b__pv	103	4789	4874
PD46245a_vs_PD46245b__pv	448	2782	13403
PD46246a_vs_PD46246b__pv	9525	8213	13619
PD46247a_vs_PD46247b__pv	6090	9661	8081
PD46248a_vs_PD46248b__pv	30553	6392	5617
PD46249a_vs_PD46249b__pv	20784	7844	9115
PD46250a_vs_PD46250b__pv	313	986	9534
PD46251a_vs_PD46251b__pv	681	42115	691
PD46252a_vs_PD46252b__pv	2944	0	31158
PD46253a_vs_PD46253b__pv	13545	6878	10078
PD46254a_vs_PD46254b__pv	10365	4597	6854
PD46255a_vs_PD46255b__pv	1392	5177	6809
PD46256a_vs_PD46256b__pv	5304	5192	4103
PD46257a_vs_PD46257b__pv	40	5310	4717
PD46258a_vs_PD46258b__pv	7654	3627	8628
PD46259a_vs_PD46259b__pv	5343	3442	8937
PD46260a_vs_PD46260b__pv	553	1621	9018
PD46261a_vs_PD46261b__pv	880	2905	3728
PD46262a_vs_PD46262b__pv	1411	1732	3363
PD46263a_vs_PD46263b__pv	7379	2264	6233
PD46264a_vs_PD46264b__pv	6351	2139	7926
PD46265a_vs_PD46265b__pv	12098	5027	7391
PD46267a_vs_PD46267b__pv	41	229	332
PD46268a_vs_PD46268b__pv	1966	4090	6207
SLX-16751	3291	2141	2379
SLX-16752	17835	2429	3068
SLX-18929	311503	174471	317806
SLX-18949	33381	5947	7096
SLX-18950	811	1452	1361
SM-4AX82_vs_SM-4AWN8__pv	4048	5122	8930
SM-4AX83_vs_SM-4AWN9__pv	2228	1440	3629
SM-4AX84_vs_SM-4AWNA__pv	16203	4284	7563
SM-4AX85_vs_SM-4AWNB__pv	758	6058	8564
SM-4AX86_vs_SM-4AWNC__pv	9100	2758	8290
SM-4AX87_vs_SM-4AWND__pv	236	1393	3341
SM-4B295_vs_SM-4AWNE__pv	14611	4820	10529
SM-4B296_vs_SM-4AWNF__pv	18200	3992	25336
SM-4JPP6_vs_SM-4JPUS__pv	3006	4252	13136
SM-4JPP7_vs_SM-4JPUT__pv	2432	3391	5069
SM-4JPP9_vs_SM-4JPUT__pv	2595	3232	4812
SM-4JPPA_vs_LP6005333-DNA_B01__pv	4351	9515	15856
SM-4JPPB_vs_LP6005333-DNA_B01__pv	3897	9315	15660
SM-4JPPC_vs_LP6005333-DNA_B01__pv	4432	9556	15804
SM-4JPUV_vs_SM-4JPUS__pv	391	1928	2794
SM-4JPUW_vs_SM-4JPUS__pv	8	71	71
SM-4JPUX_vs_SM-4JPUT__pv	1301	2980	4410
SM-4JPUY_vs_LP6005333-DNA_B01__pv	6543	9797	16291
SM-4JPUZ_vs_LP6005333-DNA_B01__pv	6430	9105	15973
SM-4JPV1_vs_SM-4JPUS__pv	2673	3742	11177
SM-4JPV2_vs_SM-4JPUS__pv	3869	4141	12966
SS6003109_vs_SS6003108__pv	9739	1927	11748
SS6003111_vs_SS6003110__pv	6282	6606	11480
SS6003113_vs_SS6003112__pv	11139	1862	4464
SS6003115_vs_SS6003114__pv	20001	3744	7520
SS6003117_vs_SS6003116__pv	0	226	10610
SS6003119_vs_SS6003118__pv	483	2586	3512
SS6003121_vs_SS6003120__pv	37891	2640	8317
SS6003125_vs_SS6003124__pv	10957	2523	6000
SS6003129_vs_SS6003128__pv	14313	7112	11800
SS6003131_vs_SS6003130__pv	514	2875	4099
SS6003133_vs_SS6003132__pv	369	0	14826
SS6003135_vs_SS6003134__pv	26824	3265	5675
SS6003137_vs_SS6003136__pv	2927	4481	6997
SS6003149_vs_SS6003148__pv	50179	6591	14009
SS6003302_vs_SS6003301__pv	6896	3757	7847
SS6003303_vs_SS6003301__pv	4743	2380	5659
SS6003305_vs_SS6003304__pv	630	3198	9260
SS6003306_vs_SS6003304__pv	671	2706	5350
SS6003308_vs_SS6003307__pv	1340	2710	4718
SS6003309_vs_SS6003307__pv	1461	3216	6634
SS6003311_vs_SS6003310__pv	153	2911	18170
SS6003312_vs_SS6003310__pv	0	2446	16887
SS6003314_vs_SS6003313__pv	11401	2634	6214
SS6003315_vs_SS6003313__pv	11483	2652	6185
SS6003317_vs_SS6003316__pv	26737	4501	6717
SS6003318_vs_SS6003316__pv	26824	4608	6952
SS6003320_vs_SS6003319__pv	13021	5890	7360
SS6003321_vs_SS6003319__pv	12618	5477	6840
SS6003323_vs_SS6003322__pv	6765	6034	6804
SS6003324_vs_SS6003322__pv	4978	5098	6167
