Samples	SBS96A	SBS96B
LP6005500-DNA_E02_vs_LP6005499-DNA_E02__pv	6565	34008
LP6005500-DNA_E03_vs_LP6005499-DNA_E03__pv	9208	71685
LP6005500-DNA_F01_vs_LP6005499-DNA_F01__pv	12161	9695
LP6005500-DNA_F02_vs_LP6005499-DNA_F02__pv	25835	5086
LP6005500-DNA_F03_vs_LP6005499-DNA_F03__pv	23372	3931
LP6005500-DNA_G01_vs_LP6005499-DNA_G01__pv	5575	41515
LP6005500-DNA_G02_vs_LP6005499-DNA_G02__pv	3989	0
LP6005500-DNA_G03_vs_LP6005499-DNA_G03__pv	9123	16168
LP6005500-DNA_H01_vs_LP6005499-DNA_H01__pv	13722	7924
LP6005500-DNA_H02_vs_LP6005499-DNA_H02__pv	11324	6906
LP6005500-DNA_H03_vs_LP6005499-DNA_H03__pv	12595	10508
LP6005501-DNA_A01_vs_LP6005499-DNA_A01__pv	3190	529
LP6005501-DNA_B01_vs_LP6005499-DNA_B01__pv	10493	6839
LP6005501-DNA_C01_vs_LP6005499-DNA_C01__pv	16575	3742
LP6005501-DNA_D01_vs_LP6005499-DNA_D01__pv	13393	4230
LP6005501-DNA_E01_vs_LP6005499-DNA_E01__pv	2430	1116
LP6005501-DNA_F01_vs_LP6005499-DNA_F01__pv	11032	16074
LP6005690-DNA_A02_vs_LP6005689-DNA_A02__pv	11849	1216
LP6005690-DNA_B01_vs_LP6005689-DNA_B01__pv	8351	8973
LP6005690-DNA_B03_vs_LP6005777-DNA_A01__pv	10155	19828
LP6005690-DNA_C02_vs_LP6005689-DNA_C02__pv	15205	623
LP6005690-DNA_C03_vs_LP6005689-DNA_C03__pv	15263	18957
LP6005690-DNA_D02_vs_LP6005689-DNA_D02__pv	11573	27971
LP6005690-DNA_D03_vs_LP6005689-DNA_D03__pv	7880	23817
LP6005690-DNA_E01_vs_LP6005689-DNA_E01__pv	19112	14996
LP6005690-DNA_E02_vs_LP6005689-DNA_E02__pv	41	3
LP6005690-DNA_E03_vs_LP6005689-DNA_E03__pv	10510	3104
LP6005690-DNA_F01_vs_LP6005689-DNA_F01__pv	13153	16732
LP6005690-DNA_F02_vs_LP6005689-DNA_F02__pv	9368	31428
LP6005690-DNA_F03_vs_LP6005689-DNA_F03__pv	12845	4094
LP6005690-DNA_G02_vs_LP6005689-DNA_G02__pv	11683	14495
LP6005690-DNA_H02_vs_LP6005689-DNA_H02__pv	8577	46461
LP6005691-DNA_A01_vs_LP6005689-DNA_C01__pv	8715	2241
LP6005691-DNA_A02_vs_LP6005689-DNA_F03__pv	4451	1241
LP6005691-DNA_B01_vs_LP6005689-DNA_E01__pv	18953	16299
LP6005691-DNA_C01_vs_LP6005689-DNA_A02__pv	9510	720
LP6005691-DNA_D01_vs_LP6005689-DNA_B02__pv	4729	65382
LP6005691-DNA_E01_vs_LP6005689-DNA_D01__pv	4134	3010
LP6005691-DNA_F01_vs_LP6005689-DNA_F01__pv	6968	15883
LP6005691-DNA_G01_vs_LP6005689-DNA_G01__pv	269	4
LP6005691-DNA_H01_vs_LP6005689-DNA_H01__pv	2710	3665
LP6005935-DNA_A01_vs_LP6005979-DNA_A01__pv	23250	23685
LP6005935-DNA_A02_vs_LP6005934-DNA_A02__pv	8545	20392
LP6005935-DNA_A03_vs_LP6005934-DNA_A03__pv	10626	521
LP6005935-DNA_B01_vs_LP6005934-DNA_B01__pv	11119	2325
LP6005935-DNA_B02_vs_LP6005934-DNA_B02__pv	14424	18326
LP6005935-DNA_B03_vs_LP6005934-DNA_B03__pv	11387	37690
LP6005935-DNA_B04_vs_LP6005934-DNA_B04__pv	15471	1964
LP6005935-DNA_C01_vs_LP6005934-DNA_C01__pv	164207	19137
LP6005935-DNA_C02_vs_LP6005979-DNA_B01__pv	16922	16012
LP6005935-DNA_C03_vs_LP6005934-DNA_C03__pv	4742	865
LP6005935-DNA_C04_vs_LP6005934-DNA_C04__pv	21635	35293
LP6005935-DNA_D01_vs_LP6005934-DNA_D01__pv	15889	21743
LP6005935-DNA_D02_vs_LP6005934-DNA_D02__pv	9790	17061
LP6005935-DNA_D04_vs_LP6005934-DNA_C03__pv	5535	2383
LP6005935-DNA_E01_vs_LP6005934-DNA_E01__pv	13743	30025
LP6005935-DNA_E02_vs_LP6005934-DNA_E02__pv	11615	10767
LP6005935-DNA_E03_vs_LP6005934-DNA_E03__pv	12547	7687
LP6005935-DNA_E04_vs_LP6005934-DNA_E02__pv	5004	4862
LP6005935-DNA_F01_vs_LP6005934-DNA_F01__pv	8284	493
LP6005935-DNA_F02_vs_LP6005934-DNA_F02__pv	20384	82804
LP6005935-DNA_F03_vs_LP6005934-DNA_F03__pv	60132	1455
LP6005935-DNA_F04_vs_LP6007426-DNA_A01__pv	11091	49985
LP6005935-DNA_G01_vs_LP6005934-DNA_G01__pv	11841	20831
LP6005935-DNA_G02_vs_LP6005979-DNA_C01__pv	19289	1692
LP6005935-DNA_G03_vs_LP6005934-DNA_G03__pv	8479	1653
LP6005935-DNA_H01_vs_LP6005934-DNA_H01__pv	18317	13936
LP6005935-DNA_H02_vs_LP6005934-DNA_H02__pv	17147	7373
LP6005935-DNA_H03_vs_LP6005934-DNA_H03__pv	63763	1904
LP6007358-DNA_A01_vs_LP6007553-DNA_A01__pv	11325	4705
LP6007394-DNA_A01_vs_LP6007393-DNA_A01__pv	7046	6299
LP6007396-DNA_A01_vs_LP6007395-DNA_A01__pv	13282	7324
LP6007398-DNA_A01_vs_LP6007397-DNA_A01__pv	11301	3363
LP6007399-DNA_A01_vs_LP6007397-DNA_A01__pv	10920	3370
LP6007401-DNA_A01_vs_LP6007400-DNA_A01__pv	15637	23700
LP6007402-DNA_A01_vs_LP6007400-DNA_A01__pv	5016	12291
LP6007404-DNA_A01_vs_LP6007403-DNA_A01__pv	10839	1689
LP6007405-DNA_A01_vs_LP6007403-DNA_A01__pv	3136	2743
LP6007407-DNA_A01_vs_LP6007406-DNA_A01__pv	17663	16548
LP6007409-DNA_A01_vs_LP6007408-DNA_A01__pv	11697	2390
LP6007410-DNA_A01_vs_LP6007408-DNA_A01__pv	11056	9086
LP6007414-DNA_A02_vs_LP6007413-DNA_A02__pv	10230	768
LP6007416-DNA_A01_vs_LP6007415-DNA_A01__pv	15577	3153
LP6007418-DNA_A02_vs_LP6007417-DNA_A02__pv	15131	10775
LP6007420-DNA_A01_vs_LP6007419-DNA_A01__pv	12334	33884
LP6007422-DNA_A01_vs_LP6007421-DNA_A01__pv	10086	3191
LP6007424-DNA_A01_vs_LP6007423-DNA_A01__pv	15739	9805
LP6007425-DNA_A01_vs_LP6007423-DNA_A01__pv	15360	9982
LP6007427-DNA_A01_vs_LP6007426-DNA_A01__pv	14564	64079
LP6007428-DNA_A01_vs_LP6007426-DNA_A01__pv	2787	568
LP6007430-DNA_A01_vs_LP6007429-DNA_A01__pv	15871	5411
LP6007432-DNA_A01_vs_LP6007431-DNA_A01__pv	6207	39917
LP6007434-DNA_A01_vs_LP6007433-DNA_A01__pv	12792	12287
LP6007436-DNA_A01_vs_LP6007435-DNA_A01__pv	11700	25615
