Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E
LP6008336-DNA_H02_vs_LP6008333-DNA_H02__pv	1	33	95	0	2
LP6008336-DNA_H03_vs_LP6008333-DNA_H03__pv	862	889	0	12411	758
LP6008337-DNA_A01_vs_LP6008338-DNA_A01__pv	2158	1293	824	1341	530
LP6008337-DNA_A02_vs_LP6008338-DNA_A02__pv	2321	1831	1313	2644	1057
LP6008337-DNA_A03_vs_LP6008338-DNA_A03__pv	6695	3858	1389	3583	2401
LP6008337-DNA_A04_vs_LP6008338-DNA_A04__pv	2368	763	923	1462	323
LP6008337-DNA_A06_vs_LP6008338-DNA_G05__pv	6878	3964	2239	6985	2107
LP6008337-DNA_A07_vs_LP6008338-DNA_E06__pv	0	170	0	301	12384
LP6008337-DNA_B02_vs_LP6008338-DNA_B02__pv	628	925	1395	1332	532
LP6008337-DNA_B03_vs_LP6008338-DNA_B03__pv	2748	1188	1534	2285	647
LP6008337-DNA_B04_vs_LP6008338-DNA_B04__pv	0	598181	444608	0	70011
LP6008337-DNA_B05_vs_LP6008338-DNA_A05__pv	5090	1393	1291	2067	534
LP6008337-DNA_B07_vs_LP6008338-DNA_F06__pv	3591	5355	2239	8686	1368
LP6008337-DNA_C01_vs_LP6008338-DNA_C01__pv	8532	2024	3698	4559	1906
LP6008337-DNA_C02_vs_LP6008338-DNA_C02__pv	184	764	2082	3753	811
LP6008337-DNA_C03_vs_LP6008338-DNA_C03__pv	7679	559	4052	5643	1313
LP6008337-DNA_C04_vs_LP6008338-DNA_C04__pv	8928	953	1128	1805	898
LP6008337-DNA_C05_vs_LP6008338-DNA_B05__pv	5666	1952	1029	5046	548
LP6008337-DNA_D01_vs_LP6008338-DNA_D01__pv	713	697	2079	1876	414
LP6008337-DNA_D02_vs_LP6008338-DNA_D02__pv	691	610	810	736	213
LP6008337-DNA_D03_vs_LP6008338-DNA_D03__pv	2054	1645	3265	4111	933
LP6008337-DNA_D04_vs_LP6008338-DNA_D04__pv	1024	1107	473	1242	204
LP6008337-DNA_D05_vs_LP6008338-DNA_C05__pv	249	251	1749	2368	342
LP6008337-DNA_D06_vs_LP6008338-DNA_A06__pv	44127	9347	1038	15329	1987
LP6008337-DNA_E01_vs_LP6008338-DNA_E01__pv	8854	1153	1670	3024	398
LP6008337-DNA_E03_vs_LP6008338-DNA_E03__pv	5224	2137	2025	2591	992
LP6008337-DNA_E04_vs_LP6008338-DNA_E04__pv	9230	1891	1173	7525	590
LP6008337-DNA_E05_vs_LP6008338-DNA_D05__pv	4941	627	1999	1946	463
LP6008337-DNA_F01_vs_LP6008338-DNA_F01__pv	359	566	571	810	270
LP6008337-DNA_F02_vs_LP6008338-DNA_F02__pv	5272	2701	2799	4897	1468
LP6008337-DNA_F03_vs_LP6008338-DNA_F03__pv	5063	1612	1185	3735	563
LP6008337-DNA_F04_vs_LP6008338-DNA_F04__pv	14421	1906	5767	6372	700
LP6008337-DNA_F05_vs_LP6008338-DNA_E05__pv	7922	3037	4518	12123	2757
LP6008337-DNA_F06_vs_LP6008338-DNA_C06__pv	24944	2590	2021	3423	1023
LP6008337-DNA_G01_vs_LP6008338-DNA_G01__pv	4524	1393	3830	6342	1308
LP6008337-DNA_G02_vs_LP6008338-DNA_G02__pv	6694	2319	1325	3095	516
LP6008337-DNA_G03_vs_LP6008338-DNA_G03__pv	10934	2164	2167	6359	979
LP6008337-DNA_G04_vs_LP6008338-DNA_G04__pv	4710	907	3388	2699	445
LP6008337-DNA_G05_vs_LP6008338-DNA_F05__pv	3628	2335	1129	2434	801
LP6008337-DNA_G06_vs_LP6008338-DNA_C06__pv	23538	2784	4190	5376	884
LP6008337-DNA_H01_vs_LP6008338-DNA_H01__pv	1006	132	1888	1902	329
LP6008337-DNA_H02_vs_LP6008338-DNA_H02__pv	82117	4588	2556	7051	1709
LP6008337-DNA_H03_vs_LP6008338-DNA_H03__pv	2817	2113	2112	2157	436
LP6008337-DNA_H04_vs_LP6008338-DNA_H04__pv	9080	1089	1502	2343	851
LP6008337-DNA_H06_vs_LP6008338-DNA_D06__pv	29002	4667	1496	6251	2586
LP6008341-DNA_A01_vs_LP6008340-DNA_A01__pv	7025	11	3280	5415	708
LP6008341-DNA_A03_vs_LP6008340-DNA_F02__pv	2127	602476	443510	0	70671
LP6008341-DNA_B01_vs_LP6008340-DNA_B01__pv	22786	3905	893	3440	3290
LP6008341-DNA_B03_vs_LP6008340-DNA_G02__pv	1498	629	1962	1558	564
LP6008341-DNA_C01_vs_LP6008340-DNA_C01__pv	9794	1677	2527	3053	1711
LP6008341-DNA_D01_vs_LP6008340-DNA_D01__pv	23554	5352	4561	7640	3648
LP6008341-DNA_D02_vs_LP6008340-DNA_A02__pv	7	71	109	18	23
LP6008341-DNA_E01_vs_LP6008340-DNA_E01__pv	7694	1003	654	2021	1257
LP6008341-DNA_E02_vs_LP6008340-DNA_B02__pv	14534	2863	1019	4409	694
LP6008341-DNA_F01_vs_LP6008340-DNA_F01__pv	5040	1216	1426	3903	502
LP6008341-DNA_F02_vs_LP6008340-DNA_C02__pv	4341	3477	2331	3653	1916
LP6008341-DNA_G01_vs_LP6008340-DNA_G01__pv	6638	2267	4021	4981	1361
LP6008341-DNA_G02_vs_LP6008340-DNA_D02__pv	1534	809	1888	1855	691
LP6008341-DNA_H01_vs_LP6008340-DNA_H01__pv	21096	5560	3801	9333	4572
LP6008341-DNA_H02_vs_LP6008340-DNA_E02__pv	7498	312	1612	2408	703
LP6008460-DNA_A01_vs_LP6008340-DNA_A02__pv	5375	1226	5382	2999	2099
LP6008460-DNA_A02_vs_LP6008340-DNA_C04__pv	11511	1403	4010	4605	2106
LP6008460-DNA_A03_vs_LP6008340-DNA_G04__pv	6690	3756	1200	5534	3218
LP6008460-DNA_A04_vs_LP6008340-DNA_D05__pv	3143	2926	5154	5399	1917
LP6008460-DNA_B01_vs_LP6008340-DNA_A03__pv	1538	0	6034	4157	2240
LP6008460-DNA_B02_vs_LP6008340-DNA_D02__pv	7324	8377	4281	7125	2806
LP6008460-DNA_B03_vs_LP6008340-DNA_H03__pv	1359	1395	2823	3961	2199
LP6008460-DNA_B04_vs_LP6008340-DNA_F02__pv	2236	542502	377669	0	62990
LP6008460-DNA_C01_vs_LP6008340-DNA_B03__pv	3348	6950	1267	7174	7633
LP6008460-DNA_C02_vs_LP6008340-DNA_D03__pv	276	1710	1328	2583	1584
LP6008460-DNA_C03_vs_LP6008340-DNA_H05__pv	5025	2113	2717	2170	1136
LP6008460-DNA_C04_vs_LP6008340-DNA_F03__pv	4608	24667	81789	0	0
LP6008460-DNA_D01_vs_LP6008340-DNA_E02__pv	22298	0	1013	3670	4435
LP6008460-DNA_D02_vs_LP6008340-DNA_E03__pv	583	5192	0	3952	1196
LP6008460-DNA_D03_vs_LP6008340-DNA_A05__pv	3289	1902	3248	2634	2191
LP6008460-DNA_E01_vs_LP6008340-DNA_F04__pv	2224	2405	1569	3687	1334
LP6008460-DNA_E02_vs_LP6008340-DNA_E04__pv	469	6057	734	8827	2975
LP6008460-DNA_E03_vs_LP6008340-DNA_B06__pv	3094	5398	2853	13603	2534
LP6008460-DNA_E04_vs_LP6008340-DNA_H02__pv	5204	3371	2939	6050	2307
LP6008460-DNA_F01_vs_LP6008340-DNA_B02__pv	15724	4008	2867	5234	1300
LP6008460-DNA_F02_vs_LP6008340-DNA_E05__pv	7762	4419	2349	18977	1919
LP6008460-DNA_F03_vs_LP6008340-DNA_C03__pv	53532	5090	2653	3227	822
LP6008460-DNA_F04_vs_LP6008340-DNA_H04__pv	5441	8289	2753	7997	2269
LP6008460-DNA_G01_vs_LP6008340-DNA_B04__pv	11740	17799	71337	0	0
LP6008460-DNA_G02_vs_LP6008340-DNA_G02__pv	5303	3598	2683	5850	1911
LP6008460-DNA_G03_vs_LP6008340-DNA_C05__pv	17704	4735	3007	4719	2424
LP6008460-DNA_H01_vs_LP6008340-DNA_C02__pv	5244	2598	2671	3692	2228
LP6008460-DNA_H02_vs_LP6008340-DNA_G03__pv	7056	1738	1808	2077	716
LP6008460-DNA_H03_vs_LP6008340-DNA_D04__pv	14989	2986	2272	4606	1742
PD44724a_vs_PD44724b__pv	15129	1900	5111	6017	3910
PD44725a_vs_PD44725b__pv	5754	1705	3452	3450	1101
PD44726a_vs_PD44726b__pv	2844	787	1183	2747	746
PD44727a_vs_PD44727b__pv	13719	5626	3600	2913	2079
PD44728a_vs_PD44728b__pv	2141	4440	2946	5209	3118
PD44729a_vs_PD44729b__pv	625	1300	4077	5824	1386
PD44730a_vs_PD44730b__pv	7487	3559	2701	4197	1888
PD44731a_vs_PD44731b__pv	1360	0	4869	3561	1642
PD44732a_vs_PD44732b__pv	340	666	2715	2634	1588
PD44733a_vs_PD44733b__pv	1767	17325	71612	0	0
PD44734a_vs_PD44734b__pv	9245	5713	2708	5696	2659
PD44735a_vs_PD44735b__pv	5796	1369	5576	7612	2144
PD44736a_vs_PD44736b__pv	5211	4076	3576	6066	1808
PD44737a_vs_PD44737b__pv	4880	2945	3464	7851	2192
PD44738a_vs_PD44738b__pv	19070	8352	3933	7172	2603
PD44739a_vs_PD44739b__pv	7805	3714	2309	5452	1130
PD44740a_vs_PD44740b__pv	57549	11607	4265	4421	2840
PD44741a_vs_PD44741b__pv	1349	3495	3028	2908	2514
PD44742a_vs_PD44742b__pv	9020	6252	2138	5420	5695
PD44743a_vs_PD44743b__pv	2876	2858	2709	5225	1447
PD44744a_vs_PD44744b__pv	26605	1043	3890	3380	7015
PD44745a_vs_PD44745b__pv	25927	7971	4853	7431	5569
PD44746a_vs_PD44746b__pv	399	1366	1532	2709	889
PD44747a_vs_PD44747b__pv	6896	1872	1972	3762	1196
PD44749a_vs_PD44749b__pv	5536	2063	870	1319	1679
PD44751a_vs_PD44751b__pv	1809	150	1139	1251	208
PD44752a_vs_PD44752b__pv	2699	1431	1517	9357	1226
PD44753a_vs_PD44753b__pv	1082	3712	2488	2687	1720
PD44758a_vs_PD44758b__pv	9435	2431	2244	1917	964
PD44759a_vs_PD44759b__pv	4699	3552	1953	5345	1253
PD44760a_vs_PD44760b__pv	5082	2882	2537	3193	1447
PD44761a_vs_PD44761b__pv	1265	2536	5044	5262	1310
PD44762a_vs_PD44762b__pv	300	1389	2408	1662	1295
PD44763a_vs_PD44763b__pv	5413	2823	3097	5417	1844
PD44764a_vs_PD44764b__pv	1753	2923	2097	2324	3847
PD44765a_vs_PD44765b__pv	45111	1216	3721	5863	4441
PD44766a_vs_PD44766b__pv	3790	0	86379	1578	0
PD44767a_vs_PD44767b__pv	23408	3658	3387	3343	2817
PD44769a_vs_PD44769b__pv	226	2355	2057	3295	1250
PD44770a_vs_PD44770b__pv	7505	0	33079	1748	487
PD44772a_vs_PD44772b__pv	4769	6845	1713	8228	4614
PD44773a_vs_PD44773b__pv	7045	0	9855	4958	1658
PD44774a_vs_PD44774b__pv	419	340	3964	1539	1836
PD44775a_vs_PD44775b__pv	53	0	97945	8952	0
PD44776a_vs_PD44776b__pv	28004	5775	1387	2895	3703
PD44777a_vs_PD44777b__pv	1277	2042	3294	6791	896
PD44778a_vs_PD44778b__pv	8302	4300	4327	3032	2772
PD44780a_vs_PD44780b__pv	99	754	1120	3315	593
PD44781a_vs_PD44781b__pv	24239	5841	4824	3543	3756
PD44782a_vs_PD44782b__pv	36413	2902	2127	4611	5195
PD44783a_vs_PD44783b__pv	5049	10168	719	4214	970
PD44784a_vs_PD44784b__pv	1189	4445	3032	9639	1470
PD44785a_vs_PD44785b__pv	18502	6039	2653	2832	1689
PD44786a_vs_PD44786b__pv	1350	982	1810	1280	898
PD44787a_vs_PD44787b__pv	2100	1658	2248	8009	1333
PD44788a_vs_PD44788b__pv	4537	4633	898	9153	3089
PD44789a_vs_PD44789b__pv	8856	5751	3258	6098	4109
PD44790a_vs_PD44790b__pv	11592	2883	1211	4475	1678
PD44791a_vs_PD44791b__pv	6065	712	1294	1608	127
PD44792a_vs_PD44792b__pv	24337	3683	685	4316	2671
PD44793a_vs_PD44793b__pv	758	909	3034	3532	1231
PD44794a_vs_PD44794b__pv	469	4763	955	4606	2797
PD44795a_vs_PD44795b__pv	27650	1671	1360	3415	1092
PD44796a_vs_PD44796b__pv	4651	7785	4247	6065	2668
PD44797a_vs_PD44797b__pv	7256	5464	4069	11306	2889
PD44798a_vs_PD44798b__pv	2061	1502	2200	4008	950
PD44799a_vs_PD44799b__pv	2374	1877	3388	4996	1269
PD44800a_vs_PD44800b__pv	5515	2778	2721	6568	2189
PD44801a_vs_PD44801b__pv	7635	481	3647	6327	796
PD44802a_vs_PD44802b__pv	384	1006	1507	1439	539
PD44803a_vs_PD44803b__pv	10082	5079	3721	11588	1756
PD44804a_vs_PD44804b__pv	2009	1250	1204	1653	425
PD44805a_vs_PD44805b__pv	36578	0	3056	3574	5490
PD44807a_vs_PD44807b__pv	492	2110	1669	1415	1767
PD44808a_vs_PD44808b__pv	1219	4218	1863	3456	4179
PD44809a_vs_PD44809b__pv	3028	3842	2784	4918	1876
PD44810a_vs_PD44810b__pv	12340	3824	5987	3343	5737
PD44811a_vs_PD44811b__pv	4935	2630	1922	3520	1431
PD44813a_vs_PD44813b__pv	6873	2381	3142	2716	1643
PD44814a_vs_PD44814b__pv	1438	5347	2711	5776	1551
PD44815a_vs_PD44815b__pv	3935	3808	1228	2573	2452
PD44816a_vs_PD44816b__pv	2613	880	5099	5919	1444
PD44817a_vs_PD44817b__pv	0	4243	0	6544	1796
PD44818a_vs_PD44818b__pv	13335	2318	2060	3537	1424
PD44819a_vs_PD44819b__pv	34045	6229	3372	7174	2627
PD44820a_vs_PD44820b__pv	2923	1330	2809	4202	1361
PD44821a_vs_PD44821b__pv	9169	2638	3023	5204	2009
PD44823a_vs_PD44823b__pv	1492	2164	1980	2298	1472
PD44824a_vs_PD44824b__pv	7606	1048	5083	6288	3596
PD44825a_vs_PD44825b__pv	12609	11134	86773	6524	3992
PD44826a_vs_PD44826b__pv	4208	2692	3648	5937	1981
PD44827a_vs_PD44827b__pv	2471	2769	1902	3571	1156
PD44828a_vs_PD44828b__pv	18066	1718	4029	6095	1405
PD44829a_vs_PD44829b__pv	5439	7167	5921	15011	2903
PD44830a_vs_PD44830b__pv	5641	1194	2472	11435	1218
PD44831a_vs_PD44831b__pv	36421	8076	5945	431	3645
PD44832a_vs_PD44832b__pv	5891	0	62244	7567	2001
PD44833a_vs_PD44833b__pv	27902	5494	1976	4762	1400
PD44834a_vs_PD44834b__pv	3994	4266	2731	2387	2460
PD44835a_vs_PD44835b__pv	3419	3206	0	6999	2173
PD44836a_vs_PD44836b__pv	5616	5089	7668	6752	2991
PD44837a_vs_PD44837b__pv	1324	800	894	1775	480
PD44838a_vs_PD44838b__pv	1144	6285	3797	8253	3842
PD44839a_vs_PD44839b__pv	2105	1647	3282	3171	3701
PD44840a_vs_PD44840b__pv	7785	2764	2777	3618	1192
PD44841a_vs_PD44841b__pv	14984	13272	65758	1252	852
PD44842a_vs_PD44842b__pv	947	985	2256	3248	1401
PD44843a_vs_PD44843b__pv	16098	3410	4369	7507	3450
PD44844a_vs_PD44844b__pv	470	1189	1921	4749	1062
PD44845a_vs_PD44845b__pv	3955	2242	2882	5982	2124
PD44846a_vs_PD44846b__pv	8671	4032	2142	3759	596
PD44847a_vs_PD44847b__pv	4979	898	4095	3865	1336
PD44848a_vs_PD44848b__pv	23778	11007	3933	6012	6357
PD44849a_vs_PD44849b__pv	917	4145	2899	8796	2691
PD44850a_vs_PD44850b__pv	12610	1206	5901	4312	2382
PD44851a_vs_PD44851b__pv	4502	1168	3662	3677	3434
PD44852a_vs_PD44852b__pv	6195	5553	4066	5561	1549
PD44853a_vs_PD44853b__pv	4263	53	2666	6648	850
PD44854a_vs_PD44854b__pv	4720	2842	3022	4654	2447
PD44855a_vs_PD44855b__pv	6264	3280	2186	5486	1418
PD44856a_vs_PD44856b__pv	20819	3242	4590	4198	1668
PD44857a_vs_PD44857b__pv	27546	2498	2878	3280	1333
PD44859a_vs_PD44859b__pv	14229	8771	31282	413	1940
PD44861a_vs_PD44861b__pv	6315	5469	2692	5771	2379
PD44862a_vs_PD44862b__pv	3244	4151	1188	506	8041
PD44863a_vs_PD44863b__pv	9872	0	1859	6934	3246
PD44864a_vs_PD44864b__pv	13569	3112	2072	3642	2472
PD44904a_vs_PD44904b__pv	19997	14048	3993	6031	1903
PD44905a_vs_PD44905b__pv	1992	6830	2518	2729	4001
PD44906a_vs_PD44906b__pv	4197	4524	1643	2598	1223
PD44908a_vs_PD44908b__pv	13634	2273	3518	3058	1779
PD44909a_vs_PD44909b__pv	476	0	3186	4264	443
PD44910a_vs_PD44910b__pv	7942	2144	3608	6941	1861
PD44912a_vs_PD44912b__pv	36467	6713	2425	6913	3450
PD44913a_vs_PD44913b__pv	2365	4647	2115	3853	1374
PD44914a_vs_PD44914b__pv	3517	7578	2499	3767	3374
PD44915a_vs_PD44915b__pv	6040	2098	587	5231	1149
PD44916a_vs_PD44916b__pv	1455	2173	2367	2868	1996
PD44917a_vs_PD44917b__pv	69	1093	606	933	809
PD44918a_vs_PD44918b__pv	7175	784	2417	3880	2058
PD44919a_vs_PD44919b__pv	7406	2323	3257	3130	1156
PD44920a_vs_PD44920b__pv	13644	3567	2344	2390	1137
PD44921a_vs_PD44921b__pv	2467	1238	1176	973	523
PD44922a_vs_PD44922b__pv	48187	13385	1882	4107	5339
PD44923a_vs_PD44923b__pv	4167	11339	4691	8722	5194
PD44924a_vs_PD44924b__pv	1442	208	5373	4712	1670
PD44925a_vs_PD44925b__pv	5663	6442	558	10007	2641
PD44926a_vs_PD44926b__pv	1660	411	4029	5068	1137
PD44927a_vs_PD44927b__pv	12454	1804	3499	3967	1569
PD44928a_vs_PD44928b__pv	5288	1977	4002	7817	820
PD44929a_vs_PD44929b__pv	10248	3105	3928	3410	1744
PD44930a_vs_PD44930b__pv	15472	6668	1073	5704	6359
PD44931a_vs_PD44931b__pv	25487	4830	66660	1138	0
PD44932a_vs_PD44932b__pv	10887	3644	2226	4216	620
PD44933a_vs_PD44933b__pv	82	1224	1401	454	6057
PD44934a_vs_PD44934b__pv	50083	10509	3911	3776	1634
PD44935a_vs_PD44935b__pv	2423	5159	1368	5821	1381
PD44936a_vs_PD44936b__pv	2040	991	2315	1588	781
PD44937a_vs_PD44937b__pv	8366	5254	3359	5461	4622
PD44938a_vs_PD44938b__pv	8571	5802	2612	4357	1187
PD44939a_vs_PD44939b__pv	2466	2476	3517	5619	2197
PD44941a_vs_PD44941b__pv	1677	3927	2206	5323	1354
PD44942a_vs_PD44942b__pv	7320	1125	3736	4566	1072
PD44943a_vs_PD44943b__pv	582	2045	1822	3460	463
PD44944a_vs_PD44944b__pv	5913	3575	2939	5091	1014
PD44945a_vs_PD44945b__pv	31298	4387	694	5698	2320
PD44946a_vs_PD44946b__pv	5351	2186	2835	4517	1469
PD44947a_vs_PD44947b__pv	782	906	594	1391	471
PD44948a_vs_PD44948b__pv	14845	2092	1953	2885	6291
PD44949a_vs_PD44949b__pv	4758	228	3149	2944	4056
PD44950a_vs_PD44950b__pv	1085	757	630	2462	521
PD46225a_vs_PD46225b__pv	5420	1590	2796	8544	3211
PD46226a_vs_PD46226b__pv	2104	1832	6325	6234	3058
PD46227a_vs_PD46227b__pv	26391	14489	989	4085	3956
PD46228a_vs_PD46228b__pv	13116	397	1630	7764	931
PD46229a_vs_PD46229b__pv	22700	3197	2715	6307	2542
PD46230a_vs_PD46230b__pv	4074	2696	1085	5183	8524
PD46231a_vs_PD46231b__pv	218	1223	1058	2016	1780
PD46232a_vs_PD46232b__pv	4041	2667	1818	4163	1417
PD46233a_vs_PD46233b__pv	9950	10082	3449	4338	3871
PD46234a_vs_PD46234b__pv	155	2859	1518	2655	1078
PD46235a_vs_PD46235b__pv	6602	170	6170	6332	2373
PD46236a_vs_PD46236b__pv	3125	1742	3743	7785	1083
PD46237a_vs_PD46237b__pv	16838	10072	4741	5802	2041
PD46238a_vs_PD46238b__pv	2150	9195	0	3271	1552
PD46239a_vs_PD46239b__pv	4975	1503	3044	3305	1245
PD46240a_vs_PD46240b__pv	1271	2548	2450	2290	773
PD46241a_vs_PD46241b__pv	22892	5707	5963	8737	1960
PD46242a_vs_PD46242b__pv	84352	0	0	4622	7711
PD46243a_vs_PD46243b__pv	1848	3109	4670	4116	4063
PD46244a_vs_PD46244b__pv	175	0	3781	4894	916
PD46245a_vs_PD46245b__pv	77	7246	0	6303	3007
PD46246a_vs_PD46246b__pv	8570	8624	4760	5464	3939
PD46247a_vs_PD46247b__pv	6479	328	8433	5726	2866
PD46248a_vs_PD46248b__pv	29225	4548	4502	2783	1504
PD46249a_vs_PD46249b__pv	20377	3499	4941	7973	953
PD46250a_vs_PD46250b__pv	164	4102	453	1180	4934
PD46251a_vs_PD46251b__pv	1255	2472	37596	2164	0
PD46252a_vs_PD46252b__pv	2599	0	0	31503	0
PD46253a_vs_PD46253b__pv	13763	1663	5512	5810	3753
PD46254a_vs_PD46254b__pv	10232	2164	3076	4608	1736
PD46255a_vs_PD46255b__pv	1481	948	3969	5015	1965
PD46256a_vs_PD46256b__pv	5511	298	4368	3325	1097
PD46257a_vs_PD46257b__pv	116	0	4279	4725	947
PD46258a_vs_PD46258b__pv	7133	4347	1621	4725	2083
PD46259a_vs_PD46259b__pv	4765	5227	1633	3199	2898
PD46260a_vs_PD46260b__pv	570	1610	1323	2796	4893
PD46261a_vs_PD46261b__pv	823	1572	1930	2253	935
PD46262a_vs_PD46262b__pv	1405	907	1286	1569	1339
PD46263a_vs_PD46263b__pv	7146	2239	434	5716	341
PD46264a_vs_PD46264b__pv	5825	4101	521	3914	2055
PD46265a_vs_PD46265b__pv	11990	2172	3517	4764	2073
PD46267a_vs_PD46267b__pv	25	278	117	93	89
PD46268a_vs_PD46268b__pv	1859	2435	2524	4019	1426
SLX-16751	3322	499	1558	1950	482
SLX-16752	17443	1405	1708	2060	716
SLX-18929	296401	144779	97937	188284	76379
SLX-18949	32483	3594	3952	5022	1373
SLX-18950	731	936	900	857	200
SM-4AX82_vs_SM-4AWN8__pv	3847	3384	2449	7547	873
SM-4AX83_vs_SM-4AWN9__pv	1986	2135	606	1570	1000
SM-4AX84_vs_SM-4AWNA__pv	15989	2306	2281	6489	985
SM-4AX85_vs_SM-4AWNB__pv	629	3829	3718	5244	1960
SM-4AX86_vs_SM-4AWNC__pv	8759	3224	1393	4037	2735
SM-4AX87_vs_SM-4AWND__pv	205	819	502	3148	296
SM-4B295_vs_SM-4AWNE__pv	13450	6754	2232	4765	2759
SM-4B296_vs_SM-4AWNF__pv	16085	15117	912	4645	10769
SM-4JPP6_vs_SM-4JPUS__pv	2521	6480	556	9359	1478
SM-4JPP7_vs_SM-4JPUT__pv	2312	2182	2360	2268	1770
SM-4JPP9_vs_SM-4JPUT__pv	2464	2129	2237	2143	1666
SM-4JPPA_vs_LP6005333-DNA_B01__pv	4423	3173	6212	12325	3589
SM-4JPPB_vs_LP6005333-DNA_B01__pv	3989	2885	6143	12243	3612
SM-4JPPC_vs_LP6005333-DNA_B01__pv	4518	3071	6291	12300	3612
SM-4JPUV_vs_SM-4JPUS__pv	324	1444	1088	1736	521
SM-4JPUW_vs_SM-4JPUS__pv	3	89	31	18	9
SM-4JPUX_vs_SM-4JPUT__pv	1138	2556	1823	1856	1318
SM-4JPUY_vs_LP6005333-DNA_B01__pv	6602	3585	6296	12542	3606
SM-4JPUZ_vs_LP6005333-DNA_B01__pv	6417	3947	5607	12041	3496
SM-4JPV1_vs_SM-4JPUS__pv	2258	5516	597	7926	1295
SM-4JPV2_vs_SM-4JPUS__pv	3375	6159	542	9443	1457
SS6003109_vs_SS6003108__pv	9279	4524	756	3795	5060
SS6003111_vs_SS6003110__pv	5959	4741	3602	7862	2204
SS6003113_vs_SS6003112__pv	11391	0	1058	4234	782
SS6003115_vs_SS6003114__pv	19272	3667	1944	4694	1688
SS6003117_vs_SS6003116__pv	27	0	992	1659	8158
SS6003119_vs_SS6003118__pv	384	2045	1474	2003	675
SS6003121_vs_SS6003120__pv	38183	0	2438	4475	3752
SS6003125_vs_SS6003124__pv	10747	1968	1153	4546	1066
SS6003129_vs_SS6003128__pv	13997	4168	4442	7789	2829
SS6003131_vs_SS6003130__pv	516	936	1926	3269	841
SS6003133_vs_SS6003132__pv	349	0	0	10655	4191
SS6003135_vs_SS6003134__pv	25776	3562	1977	2723	1726
SS6003137_vs_SS6003136__pv	2864	2080	2407	6492	562
SS6003149_vs_SS6003148__pv	47332	10264	4477	2058	6648
SS6003302_vs_SS6003301__pv	6570	3358	1911	4915	1746
SS6003303_vs_SS6003301__pv	4579	2070	1148	3688	1297
SS6003305_vs_SS6003304__pv	357	5473	1239	3235	2784
SS6003306_vs_SS6003304__pv	521	2990	1477	2093	1646
SS6003308_vs_SS6003307__pv	1334	1284	1974	2439	1737
SS6003309_vs_SS6003307__pv	1420	1993	2182	3310	2406
SS6003311_vs_SS6003310__pv	0	1034	0	20200	0
SS6003312_vs_SS6003310__pv	0	110	0	19223	0
SS6003314_vs_SS6003313__pv	10966	2800	1681	2366	2436
SS6003315_vs_SS6003313__pv	11054	2767	1718	2329	2452
SS6003317_vs_SS6003316__pv	25730	3937	2620	4321	1347
SS6003318_vs_SS6003316__pv	25773	4138	2669	4385	1419
SS6003320_vs_SS6003319__pv	12984	1962	4454	4622	2249
SS6003321_vs_SS6003319__pv	12523	2021	4023	4465	1903
SS6003323_vs_SS6003322__pv	6491	3225	4174	3875	1838
SS6003324_vs_SS6003322__pv	4752	2906	3466	3418	1701
