Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E
LP6008017-DNA_A03_vs_LP6008018-DNA_C01__pv	34918	3751	2165	8147	1299
LP6008017-DNA_A04_vs_LP6008018-DNA_A01__pv	10108	1723	3683	5301	8927
LP6008017-DNA_B01_vs_LP6008018-DNA_B01__pv	41943	3231	2040	4911	366
LP6008017-DNA_B02_vs_LP6008018-DNA_B01__pv	30636	3105	1643	4614	482
LP6008017-DNA_B03_vs_LP6008018-DNA_C01__pv	35379	4003	2401	8465	1334
LP6008017-DNA_B04_vs_LP6008018-DNA_A01__pv	4991	1455	1437	2750	1594
LP6008017-DNA_C01_vs_LP6008018-DNA_B01__pv	55257	3351	1557	5674	442
LP6008017-DNA_C02_vs_LP6008018-DNA_C01__pv	34118	3873	1833	8030	1127
LP6008017-DNA_C03_vs_LP6008018-DNA_C01__pv	35153	3811	2148	8109	1256
LP6008017-DNA_C04_vs_LP6008018-DNA_C01__pv	6	38	53	13	25
LP6008017-DNA_D01_vs_LP6008018-DNA_B01__pv	44413	3285	1857	5375	370
LP6008017-DNA_D02_vs_LP6008018-DNA_C01__pv	35123	5087	1963	8655	1296
LP6008017-DNA_D03_vs_LP6008018-DNA_A01__pv	9693	2475	3813	5526	4757
LP6008017-DNA_E01_vs_LP6008018-DNA_B01__pv	52283	3899	1666	5592	419
LP6008017-DNA_E02_vs_LP6008018-DNA_C01__pv	35181	6037	1539	9284	1394
LP6008017-DNA_E03_vs_LP6008018-DNA_A01__pv	9407	2481	3145	5298	3607
LP6008017-DNA_F01_vs_LP6008018-DNA_B01__pv	34514	3646	1640	5907	463
LP6008017-DNA_F02_vs_LP6008018-DNA_C01__pv	36615	4800	2009	8612	1321
LP6008017-DNA_F03_vs_LP6008018-DNA_A01__pv	6927	1585	1619	3246	3604
LP6008017-DNA_G01_vs_LP6008018-DNA_B01__pv	35580	3561	2116	5140	475
LP6008017-DNA_G02_vs_LP6008018-DNA_C01__pv	39255	6051	1794	9400	1683
LP6008017-DNA_G03_vs_LP6008018-DNA_A01__pv	9539	2767	2982	5992	5381
LP6008017-DNA_H01_vs_LP6008018-DNA_B01__pv	45762	3386	1612	5571	460
LP6008017-DNA_H02_vs_LP6008018-DNA_C01__pv	34833	5191	1574	8989	1318
LP6008017-DNA_H03_vs_LP6008018-DNA_A01__pv	11578	1845	3855	5166	8895
LP6008031-DNA_A01_vs_LP6008032-DNA_A01__pv	4926	8968	413	4979	6438
LP6008031-DNA_A02_vs_LP6008032-DNA_C02__pv	5501	4748	2664	12161	6352
LP6008031-DNA_A03_vs_LP6008032-DNA_E03__pv	1682	1035	2111	5338	1803
LP6008031-DNA_A04_vs_LP6008032-DNA_D03__pv	19891	2904	2685	3702	2113
LP6008031-DNA_B01_vs_LP6008032-DNA_B01__pv	5234	789	2465	2448	1593
LP6008031-DNA_B02_vs_LP6008032-DNA_D02__pv	1673	2072	1238	11146	1168
LP6008031-DNA_B03_vs_LP6008032-DNA_F03__pv	509	908	2981	4458	1994
LP6008031-DNA_B04_vs_LP6008032-DNA_C02__pv	407	1134	864	2103	400
LP6008031-DNA_C01_vs_LP6008032-DNA_C01__pv	13047	1398	5667	8812	3606
LP6008031-DNA_C02_vs_LP6008032-DNA_E02__pv	6914	3137	3745	7432	996
LP6008031-DNA_C03_vs_LP6008032-DNA_G03__pv	0	0	109	66	6
LP6008031-DNA_D01_vs_LP6008032-DNA_D01__pv	4731	4269	669	3972	1595
LP6008031-DNA_D02_vs_LP6008032-DNA_F02__pv	9796	2965	2935	4499	983
LP6008031-DNA_D03_vs_LP6008032-DNA_H03__pv	1046	4761	929	5929	3142
LP6008031-DNA_E01_vs_LP6008032-DNA_E01__pv	8001	15963	36504	5772	0
LP6008031-DNA_E02_vs_LP6008032-DNA_G02__pv	12670	4934	713	11438	1529
LP6008031-DNA_E03_vs_LP6008032-DNA_A04__pv	14281	15220	64354	1110	0
LP6008031-DNA_F01_vs_LP6008032-DNA_F01__pv	5729	2750	1963	5932	1055
LP6008031-DNA_F02_vs_LP6008032-DNA_H02__pv	4398	1491	1604	1079	856
